"id","stats_varcount","stats_var_bool","stats_var_discrete","stats_dom_0","stats_dom_25","stats_dom_50","stats_dom_75","stats_dom_100","stats_dom_mean","stats_dom_not2_2_ratio","stats_branchingvars","stats_conscount","stats_arity_0","stats_arity_25","stats_arity_50","stats_arity_75","stats_arity_100","stats_arity_mean","stats_arity_mean_normalised","stats_cts_per_var_mean","stats_cts_per_var_mean_normalised","stats_alldiff_count","stats_alldiff_proportion","stats_sums_count","stats_sums_proportion","stats_or_atleastk_count","stats_or_atleastk_proportion","stats_binary_count","stats_binary_proportion","stats_table_count","stats_table_proportion","stats_lex_count","stats_lex_proportion","stats_unary_count","stats_unary_proportion","stats_multi_shared_vars","stats_edge_density","stats_Local_Variance","clustering_coefficient","minimum_degree","normalised_minimum_degree","maximum_degree","normalised_maximum_degree","median_degree","normalised_median_degree","mean_degree","normalised_mean_degree","width_of_ordering","normalised_width_of_ordering","width_of_graph","normalised_width_of_graph","SAC_literals","normalised_SAC_literals","stats_tightness_0","stats_tightness_25","stats_tightness_50","stats_tightness_75","stats_tightness_100","stats_tightness_mean","stats_tightness_mean_normalised","stats_literal_tightness_0","stats_literal_tightness_25","stats_literal_tightness_50","stats_literal_tightness_75","stats_literal_tightness_100","stats_literal_tightness_mean","stats_literal_tightness_coeff_of_variation","Class"
"1-insertions-5-5.xml.watchless.minion.gz",202,0,202,5,5,5,5,5,5,0,202,1227,2,2,2,2,2,2,0.009901,12.148515,0.009901,0,0,0,0,0,0,1227,1,0,0,0,0,0,0,0,0.06044,0.243809,0,5,0.024752,67,0.331683,10,0.049505,12.148515,0.060141,67,0.331683,8,0.039604,0,0,184,184,184,184,184,184,0.149959,16,17,21,23,23,20,0.148324,"standard"
"1-insertions-5-6.xml.watchless.minion.gz",202,0,202,6,6,6,6,6,6,0,202,1227,2,2,2,2,2,2,0.009901,12.148515,0.009901,0,0,0,0,0,0,1227,1,0,0,0,0,0,0,0,0.06044,0.243809,0,5,0.024752,67,0.331683,10,0.049505,12.148515,0.060141,67,0.331683,8,0.039604,0,0,169,169,169,169,169,169,0.137734,13,14,18,19,20,16.666667,0.153623,"standard"
"1-insertions-6-4.xml.watchless.minion.gz",607,0,607,4,4,4,4,4,4,0,607,6337,2,2,2,2,2,2,0.003295,20.879736,0.003295,0,0,0,0,0,0,6337,1,0,0,0,0,0,0,0,0.034455,0.159787,0,6,0.009885,202,0.332784,18,0.029654,20.879736,0.034398,202,0.332784,14,0.023064,0,0,263,263,263,263,263,263,0.041502,20,26,27,27,27,25,0.116619,"standard"
"1-insertions-6-5.xml.watchless.minion.gz",607,0,607,5,5,5,5,5,5,0,607,6337,2,2,2,2,2,2,0.003295,20.879736,0.003295,0,0,0,0,0,0,6337,1,0,0,0,0,0,0,0,0.034455,0.159787,0,6,0.009885,202,0.332784,18,0.029654,20.879736,0.034398,202,0.332784,14,0.023064,0,0,184,184,184,184,184,184,0.029036,16,17,21,23,23,20,0.148324,"standard"
"1-insertions-6-6.xml.watchless.minion.gz",607,0,607,6,6,6,6,6,6,0,607,6337,2,2,2,2,2,2,0.003295,20.879736,0.003295,0,0,0,0,0,0,6337,1,0,0,0,0,0,0,0,0.034455,0.159787,0,6,0.009885,202,0.332784,18,0.029654,20.879736,0.034398,202,0.332784,14,0.023064,0,0,169,169,169,169,169,169,0.026669,13,14,18,19,20,16.666667,0.153623,"standard"
"1-insertions-6-7.xml.watchless.minion.gz",607,0,607,7,7,7,7,7,7,0,607,6337,2,2,2,2,2,2,0.003295,20.879736,0.003295,0,0,0,0,0,0,6337,1,0,0,0,0,0,0,0,0.034455,0.159787,0,6,0.009885,202,0.332784,18,0.029654,20.879736,0.034398,202,0.332784,14,0.023064,0,0,154,154,154,154,154,154,0.024302,12,13,13,16,19,14.285714,0.15748,"standard"
"2-fullins-3-4.xml.watchless.minion.gz",52,0,52,4,4,4,4,4,4,0,52,201,2,2,2,2,2,2,0.038462,7.730769,0.038462,0,0,0,0,0,0,201,1,0,0,0,0,0,0,0,0.151584,0.331856,0.063836,4,0.076923,15,0.288462,7,0.134615,7.730769,0.148669,15,0.288462,5,0.096154,0,0,263,263,263,263,263,263,1.308458,20,26,27,27,27,25,0.116619,"standard"
"2-fullins-3-5.xml.watchless.minion.gz",52,0,52,5,5,5,5,5,5,0,52,201,2,2,2,2,2,2,0.038462,7.730769,0.038462,0,0,0,0,0,0,201,1,0,0,0,0,0,0,0,0.151584,0.331856,0.063836,4,0.076923,15,0.288462,7,0.134615,7.730769,0.148669,15,0.288462,5,0.096154,0,0,184,184,184,184,184,184,0.915423,16,17,21,23,23,20,0.148324,"standard"
"2-fullins-4-4.xml.watchless.minion.gz",212,0,212,4,4,4,4,4,4,0,212,1621,2,2,2,2,2,2,0.009434,15.292453,0.009434,0,0,0,0,0,0,1621,1,0,0,0,0,0,0,0,0.072476,0.205428,0.021882,6,0.028302,55,0.259434,13,0.061321,15.292453,0.072134,55,0.259434,10,0.04717,0,0,263,263,263,263,263,263,0.162246,20,26,27,27,27,25,0.116619,"standard"
"2-fullins-4-5.xml.watchless.minion.gz",212,0,212,5,5,5,5,5,5,0,212,1621,2,2,2,2,2,2,0.009434,15.292453,0.009434,0,0,0,0,0,0,1621,1,0,0,0,0,0,0,0,0.072476,0.205428,0.021882,6,0.028302,55,0.259434,13,0.061321,15.292453,0.072134,55,0.259434,10,0.04717,0,0,184,184,184,184,184,184,0.11351,16,17,21,23,23,20,0.148324,"standard"
"2-fullins-4-6.xml.watchless.minion.gz",212,0,212,6,6,6,6,6,6,0,212,1621,2,2,2,2,2,2,0.009434,15.292453,0.009434,0,0,0,0,0,0,1621,1,0,0,0,0,0,0,0,0.072476,0.205428,0.021882,6,0.028302,55,0.259434,13,0.061321,15.292453,0.072134,55,0.259434,10,0.04717,0,0,169,169,169,169,169,169,0.104257,13,14,18,19,20,16.666667,0.153623,"standard"
"2-fullins-5-4.xml.watchless.minion.gz",852,0,852,4,4,4,4,4,4,0,852,12201,2,2,2,2,2,2,0.002347,28.640845,0.002347,0,0,0,0,0,0,12201,1,0,0,0,0,0,0,0,0.033656,0.122158,0.007851,8,0.00939,215,0.252347,25,0.029343,28.640845,0.033616,215,0.252347,18,0.021127,0,0,263,263,263,263,263,263,0.021556,20,26,27,27,27,25,0.116619,"standard"
"2-fullins-5-5.xml.watchless.minion.gz",852,0,852,5,5,5,5,5,5,0,852,12201,2,2,2,2,2,2,0.002347,28.640845,0.002347,0,0,0,0,0,0,12201,1,0,0,0,0,0,0,0,0.033656,0.122158,0.007851,8,0.00939,215,0.252347,25,0.029343,28.640845,0.033616,215,0.252347,18,0.021127,0,0,184,184,184,184,184,184,0.015081,16,17,21,23,23,20,0.148324,"standard"
"2-fullins-5-6.xml.watchless.minion.gz",852,0,852,6,6,6,6,6,6,0,852,12201,2,2,2,2,2,2,0.002347,28.640845,0.002347,0,0,0,0,0,0,12201,1,0,0,0,0,0,0,0,0.033656,0.122158,0.007851,8,0.00939,215,0.252347,25,0.029343,28.640845,0.033616,215,0.252347,18,0.021127,0,0,169,169,169,169,169,169,0.013851,13,14,18,19,20,16.666667,0.153623,"standard"
"2-fullins-5-7.xml.watchless.minion.gz",852,0,852,7,7,7,7,7,7,0,852,12201,2,2,2,2,2,2,0.002347,28.640845,0.002347,0,0,0,0,0,0,12201,1,0,0,0,0,0,0,0,0.033656,0.122158,0.007851,8,0.00939,215,0.252347,25,0.029343,28.640845,0.033616,215,0.252347,18,0.021127,0,0,154,154,154,154,154,154,0.012622,12,13,13,16,19,14.285714,0.15748,"standard"
"2-insertions-3-3.xml.watchless.minion.gz",37,0,37,3,3,3,3,3,3,0,37,72,2,2,2,2,2,2,0.054054,3.891892,0.054054,0,0,0,0,0,0,72,1,0,0,0,0,0,0,0,0.108108,0.458347,0,3,0.081081,9,0.243243,4,0.108108,3.891892,0.105186,9,0.243243,3,0.081081,0,0,324,324,324,324,324,324,4.5,32,32,33,35,35,33.333333,0.037417,"standard"
"2-insertions-3-4.xml.watchless.minion.gz",37,0,37,4,4,4,4,4,4,0,37,72,2,2,2,2,2,2,0.054054,3.891892,0.054054,0,0,0,0,0,0,72,1,0,0,0,0,0,0,0,0.108108,0.458347,0,3,0.081081,9,0.243243,4,0.108108,3.891892,0.105186,9,0.243243,3,0.081081,0,0,263,263,263,263,263,263,3.652778,20,26,27,27,27,25,0.116619,"standard"
"2-insertions-4-3.xml.watchless.minion.gz",149,0,149,3,3,3,3,3,3,0,149,541,2,2,2,2,2,2,0.013423,7.261745,0.013423,0,0,0,0,0,0,541,1,0,0,0,0,0,0,0,0.049066,0.340533,0,4,0.026846,37,0.248322,8,0.053691,7.261745,0.048737,37,0.248322,5,0.033557,0,0,324,324,324,324,324,324,0.598891,32,32,33,35,35,33.333333,0.037417,"standard"
"2-insertions-4-4.xml.watchless.minion.gz",149,0,149,4,4,4,4,4,4,0,149,541,2,2,2,2,2,2,0.013423,7.261745,0.013423,0,0,0,0,0,0,541,1,0,0,0,0,0,0,0,0.049066,0.340533,0,4,0.026846,37,0.248322,8,0.053691,7.261745,0.048737,37,0.248322,5,0.033557,0,0,263,263,263,263,263,263,0.486137,20,26,27,27,27,25,0.116619,"standard"
"2-insertions-4-5.xml.watchless.minion.gz",149,0,149,5,5,5,5,5,5,0,149,541,2,2,2,2,2,2,0.013423,7.261745,0.013423,0,0,0,0,0,0,541,1,0,0,0,0,0,0,0,0.049066,0.340533,0,4,0.026846,37,0.248322,8,0.053691,7.261745,0.048737,37,0.248322,5,0.033557,0,0,184,184,184,184,184,184,0.340111,16,17,21,23,23,20,0.148324,"standard"
"2-insertions-5-3.xml.watchless.minion.gz",597,0,597,3,3,3,3,3,3,0,597,3936,2,2,2,2,2,2,0.00335,13.18593,0.00335,0,0,0,0,0,0,3936,1,0,0,0,0,0,0,0,0.022124,0.229052,0,5,0.008375,149,0.249581,12,0.020101,13.18593,0.022087,149,0.249581,9,0.015075,0,0,324,324,324,324,324,324,0.082317,32,32,33,35,35,33.333333,0.037417,"standard"
"2-insertions-5-4.xml.watchless.minion.gz",597,0,597,4,4,4,4,4,4,0,597,3936,2,2,2,2,2,2,0.00335,13.18593,0.00335,0,0,0,0,0,0,3936,1,0,0,0,0,0,0,0,0.022124,0.229052,0,5,0.008375,149,0.249581,12,0.020101,13.18593,0.022087,149,0.249581,9,0.015075,0,0,263,263,263,263,263,263,0.066819,20,26,27,27,27,25,0.116619,"standard"
"2-insertions-5-5.xml.watchless.minion.gz",597,0,597,5,5,5,5,5,5,0,597,3936,2,2,2,2,2,2,0.00335,13.18593,0.00335,0,0,0,0,0,0,3936,1,0,0,0,0,0,0,0,0.022124,0.229052,0,5,0.008375,149,0.249581,12,0.020101,13.18593,0.022087,149,0.249581,9,0.015075,0,0,184,184,184,184,184,184,0.046748,16,17,21,23,23,20,0.148324,"standard"
"2-insertions-5-6.xml.watchless.minion.gz",597,0,597,6,6,6,6,6,6,0,597,3936,2,2,2,2,2,2,0.00335,13.18593,0.00335,0,0,0,0,0,0,3936,1,0,0,0,0,0,0,0,0.022124,0.229052,0,5,0.008375,149,0.249581,12,0.020101,13.18593,0.022087,149,0.249581,9,0.015075,0,0,169,169,169,169,169,169,0.042937,13,14,18,19,20,16.666667,0.153623,"standard"
"3-fullins-3-5.xml.watchless.minion.gz",80,0,80,5,5,5,5,5,5,0,80,346,2,2,2,2,2,2,0.025,8.65,0.025,0,0,0,0,0,0,346,1,0,0,0,0,0,0,0,0.109494,0.3083,0.051742,4,0.05,19,0.2375,7,0.0875,8.65,0.108125,19,0.2375,6,0.075,0,0,184,184,184,184,184,184,0.531792,16,17,21,23,23,20,0.148324,"standard"
"3-fullins-3-6.xml.watchless.minion.gz",80,0,80,6,6,6,6,6,6,0,80,346,2,2,2,2,2,2,0.025,8.65,0.025,0,0,0,0,0,0,346,1,0,0,0,0,0,0,0,0.109494,0.3083,0.051742,4,0.05,19,0.2375,7,0.0875,8.65,0.108125,19,0.2375,6,0.075,0,0,169,169,169,169,169,169,0.488439,13,14,18,19,20,16.666667,0.153623,"standard"
"3-fullins-4-5.xml.watchless.minion.gz",405,0,405,5,5,5,5,5,5,0,405,3524,2,2,2,2,2,2,0.004938,17.402469,0.004938,0,0,0,0,0,0,3524,1,0,0,0,0,0,0,0,0.043075,0.185323,0.01485,6,0.014815,84,0.207407,15,0.037037,17.402469,0.042969,84,0.207407,11,0.02716,0,0,184,184,184,184,184,184,0.052213,16,17,21,23,23,20,0.148324,"standard"
"3-fullins-4-6.xml.watchless.minion.gz",405,0,405,6,6,6,6,6,6,0,405,3524,2,2,2,2,2,2,0.004938,17.402469,0.004938,0,0,0,0,0,0,3524,1,0,0,0,0,0,0,0,0.043075,0.185323,0.01485,6,0.014815,84,0.207407,15,0.037037,17.402469,0.042969,84,0.207407,11,0.02716,0,0,169,169,169,169,169,169,0.047957,13,14,18,19,20,16.666667,0.153623,"standard"
"3-fullins-4-7.xml.watchless.minion.gz",405,0,405,7,7,7,7,7,7,0,405,3524,2,2,2,2,2,2,0.004938,17.402469,0.004938,0,0,0,0,0,0,3524,1,0,0,0,0,0,0,0,0.043075,0.185323,0.01485,6,0.014815,84,0.207407,15,0.037037,17.402469,0.042969,84,0.207407,11,0.02716,0,0,154,154,154,154,154,154,0.0437,12,13,13,16,19,14.285714,0.15748,"standard"
"3-fullins-5-5.xml.watchless.minion.gz",2030,0,2030,5,5,5,5,5,5,0,2030,33751,2,2,2,2,2,2,0.000985,33.252217,0.000985,0,0,0,0,0,0,33751,1,0,0,0,0,0,0,0,0.016388,0.10708,0.004678,8,0.003941,409,0.201478,29,0.014286,33.252217,0.01638,409,0.201478,21,0.010345,0,0,184,184,184,184,184,184,0.005452,16,17,21,23,23,20,0.148324,"learning"
"3-fullins-5-6.xml.watchless.minion.gz",2030,0,2030,6,6,6,6,6,6,0,2030,33751,2,2,2,2,2,2,0.000985,33.252217,0.000985,0,0,0,0,0,0,33751,1,0,0,0,0,0,0,0,0.016388,0.10708,0.004678,8,0.003941,409,0.201478,29,0.014286,33.252217,0.01638,409,0.201478,21,0.010345,0,0,169,169,169,169,169,169,0.005007,13,14,18,19,20,16.666667,0.153623,"standard"
"3-fullins-5-7.xml.watchless.minion.gz",2030,0,2030,7,7,7,7,7,7,0,2030,33751,2,2,2,2,2,2,0.000985,33.252217,0.000985,0,0,0,0,0,0,33751,1,0,0,0,0,0,0,0,0.016388,0.10708,0.004678,8,0.003941,409,0.201478,29,0.014286,33.252217,0.01638,409,0.201478,21,0.010345,0,0,154,154,154,154,154,154,0.004563,12,13,13,16,19,14.285714,0.15748,"standard"
"3-fullins-5-8.xml.watchless.minion.gz",2030,0,2030,8,8,8,8,8,8,0,2030,33751,2,2,2,2,2,2,0.000985,33.252217,0.000985,0,0,0,0,0,0,33751,1,0,0,0,0,0,0,0,0.016388,0.10708,0.004678,8,0.003941,409,0.201478,29,0.014286,33.252217,0.01638,409,0.201478,21,0.010345,0,0,136,136,136,136,136,136,0.00403,6,9,13,20,20,12.5,0.401995,"standard"
"3-insertions-3-3.xml.watchless.minion.gz",56,0,56,3,3,3,3,3,3,0,56,110,2,2,2,2,2,2,0.035714,3.928571,0.035714,0,0,0,0,0,0,110,1,0,0,0,0,0,0,0,0.071429,0.453656,0,3,0.053571,11,0.196429,4,0.071429,3.928571,0.070153,11,0.196429,3,0.053571,0,0,324,324,324,324,324,324,2.945455,32,32,33,35,35,33.333333,0.037417,"standard"
"3-insertions-3-4.xml.watchless.minion.gz",56,0,56,4,4,4,4,4,4,0,56,110,2,2,2,2,2,2,0.035714,3.928571,0.035714,0,0,0,0,0,0,110,1,0,0,0,0,0,0,0,0.071429,0.453656,0,3,0.053571,11,0.196429,4,0.071429,3.928571,0.070153,11,0.196429,3,0.053571,0,0,263,263,263,263,263,263,2.390909,20,26,27,27,27,25,0.116619,"standard"
"3-insertions-4-3.xml.watchless.minion.gz",281,0,281,3,3,3,3,3,3,0,281,1046,2,2,2,2,2,2,0.007117,7.44484,0.007117,0,0,0,0,0,0,1046,1,0,0,0,0,0,0,0,0.026589,0.334833,0,4,0.014235,56,0.199288,8,0.02847,7.44484,0.026494,56,0.199288,5,0.017794,0,0,324,324,324,324,324,324,0.309751,32,32,33,35,35,33.333333,0.037417,"standard"
"3-insertions-4-4.xml.watchless.minion.gz",281,0,281,4,4,4,4,4,4,0,281,1046,2,2,2,2,2,2,0.007117,7.44484,0.007117,0,0,0,0,0,0,1046,1,0,0,0,0,0,0,0,0.026589,0.334833,0,4,0.014235,56,0.199288,8,0.02847,7.44484,0.026494,56,0.199288,5,0.017794,0,0,263,263,263,263,263,263,0.251434,20,26,27,27,27,25,0.116619,"standard"
"3-insertions-4-5.xml.watchless.minion.gz",281,0,281,5,5,5,5,5,5,0,281,1046,2,2,2,2,2,2,0.007117,7.44484,0.007117,0,0,0,0,0,0,1046,1,0,0,0,0,0,0,0,0.026589,0.334833,0,4,0.014235,56,0.199288,8,0.02847,7.44484,0.026494,56,0.199288,5,0.017794,0,0,184,184,184,184,184,184,0.175908,16,17,21,23,23,20,0.148324,"standard"
"3-insertions-5-3.xml.watchless.minion.gz",1406,0,1406,3,3,3,3,3,3,0,1406,9695,2,2,2,2,2,2,0.001422,13.790896,0.001422,0,0,0,0,0,0,9695,1,0,0,0,0,0,0,0,0.009816,0.221368,0,5,0.003556,281,0.199858,16,0.01138,13.790896,0.009809,281,0.199858,9,0.006401,0,0,324,324,324,324,324,324,0.033419,32,32,33,35,35,33.333333,0.037417,"standard"
"3-insertions-5-4.xml.watchless.minion.gz",1406,0,1406,4,4,4,4,4,4,0,1406,9695,2,2,2,2,2,2,0.001422,13.790896,0.001422,0,0,0,0,0,0,9695,1,0,0,0,0,0,0,0,0.009816,0.221368,0,5,0.003556,281,0.199858,16,0.01138,13.790896,0.009809,281,0.199858,9,0.006401,0,0,263,263,263,263,263,263,0.027127,20,26,27,27,27,25,0.116619,"standard"
"3-insertions-5-5.xml.watchless.minion.gz",1406,0,1406,5,5,5,5,5,5,0,1406,9695,2,2,2,2,2,2,0.001422,13.790896,0.001422,0,0,0,0,0,0,9695,1,0,0,0,0,0,0,0,0.009816,0.221368,0,5,0.003556,281,0.199858,16,0.01138,13.790896,0.009809,281,0.199858,9,0.006401,0,0,184,184,184,184,184,184,0.018979,16,17,21,23,23,20,0.148324,"standard"
"3-insertions-5-6.xml.watchless.minion.gz",1406,0,1406,6,6,6,6,6,6,0,1406,9695,2,2,2,2,2,2,0.001422,13.790896,0.001422,0,0,0,0,0,0,9695,1,0,0,0,0,0,0,0,0.009816,0.221368,0,5,0.003556,281,0.199858,16,0.01138,13.790896,0.009809,281,0.199858,9,0.006401,0,0,169,169,169,169,169,169,0.017432,13,14,18,19,20,16.666667,0.153623,"standard"
"4-fullins-3-6.xml.watchless.minion.gz",114,0,114,6,6,6,6,6,6,0,114,541,2,2,2,2,2,2,0.017544,9.491228,0.017544,0,0,0,0,0,0,541,1,0,0,0,0,0,0,0,0.083993,0.289676,0.044685,4,0.035088,23,0.201754,7,0.061404,9.491228,0.083256,23,0.201754,7,0.061404,0,0,169,169,169,169,169,169,0.312384,13,14,18,19,20,16.666667,0.153623,"standard"
"4-fullins-3-7.xml.watchless.minion.gz",114,0,114,7,7,7,7,7,7,0,114,541,2,2,2,2,2,2,0.017544,9.491228,0.017544,0,0,0,0,0,0,541,1,0,0,0,0,0,0,0,0.083993,0.289676,0.044685,4,0.035088,23,0.201754,7,0.061404,9.491228,0.083256,23,0.201754,7,0.061404,0,0,154,154,154,154,154,154,0.284658,12,13,13,16,19,14.285714,0.15748,"standard"
"4-fullins-4-6.xml.watchless.minion.gz",690,0,690,6,6,6,6,6,6,0,690,6650,2,2,2,2,2,2,0.002899,19.275362,0.002899,0,0,0,0,0,0,6650,1,0,0,0,0,0,0,0,0.027976,0.170563,0.011068,6,0.008696,119,0.172464,15,0.021739,19.275362,0.027935,119,0.172464,13,0.018841,0,0,169,169,169,169,169,169,0.025414,13,14,18,19,20,16.666667,0.153623,"standard"
"4-fullins-4-7.xml.watchless.minion.gz",690,0,690,7,7,7,7,7,7,0,690,6650,2,2,2,2,2,2,0.002899,19.275362,0.002899,0,0,0,0,0,0,6650,1,0,0,0,0,0,0,0,0.027976,0.170563,0.011068,6,0.008696,119,0.172464,15,0.021739,19.275362,0.027935,119,0.172464,13,0.018841,0,0,154,154,154,154,154,154,0.023158,12,13,13,16,19,14.285714,0.15748,"standard"
"4-fullins-4-8.xml.watchless.minion.gz",690,0,690,8,8,8,8,8,8,0,690,6650,2,2,2,2,2,2,0.002899,19.275362,0.002899,0,0,0,0,0,0,6650,1,0,0,0,0,0,0,0,0.027976,0.170563,0.011068,6,0.008696,119,0.172464,15,0.021739,19.275362,0.027935,119,0.172464,13,0.018841,0,0,136,136,136,136,136,136,0.020451,6,9,13,20,20,12.5,0.401995,"standard"
"4-fullins-5-5.xml.watchless.minion.gz",4146,0,4146,5,5,5,5,5,5,0,4146,77305,2,2,2,2,2,2,0.000482,37.291365,0.000482,0,0,0,0,0,0,77305,1,0,0,0,0,0,0,0,0.008997,0.27407,0.003157,8,0.00193,695,0.167631,31,0.007477,37.291365,0.008995,695,0.167631,25,0.00603,0,0,184,184,184,184,184,184,0.00238,16,17,21,23,23,20,0.148324,"standard"
"4-fullins-5-6.xml.watchless.minion.gz",4146,0,4146,6,6,6,6,6,6,0,4146,77305,2,2,2,2,2,2,0.000482,37.291365,0.000482,0,0,0,0,0,0,77305,1,0,0,0,0,0,0,0,0.008997,0.27407,0.003157,8,0.00193,695,0.167631,31,0.007477,37.291365,0.008995,695,0.167631,25,0.00603,0,0,169,169,169,169,169,169,0.002186,13,14,18,19,20,16.666667,0.153623,"learning"
"4-fullins-5-7.xml.watchless.minion.gz",4146,0,4146,7,7,7,7,7,7,0,4146,77305,2,2,2,2,2,2,0.000482,37.291365,0.000482,0,0,0,0,0,0,77305,1,0,0,0,0,0,0,0,0.008997,0.27407,0.003157,8,0.00193,695,0.167631,31,0.007477,37.291365,0.008995,695,0.167631,25,0.00603,0,0,154,154,154,154,154,154,0.001992,12,13,13,16,19,14.285714,0.15748,"standard"
