"id","EXIST_VARS","FORALL_VARS","TOTAL_VARS","CLAUSES","LITERALS","EXIST_SET","FORALL_SET","TOTAL_SET","UNARY_CLAUSES","BINARY_CLAUSES","TERNARY_MORE_CLAUSES","POS_HORN","NEG_HORN","EXIST_LIT_PER_CLAUSE","FORALL_LIT_PER_CLAUSE","EXIST_VARS_PER_SET","FORALL_POS_LITS_PER_CLAUSE","FORALL_NEG_LITS_PER_CLAUSE","OCCS_POS_NO_PER_VAR","OCCS_FORALL_NO_PER_VAR","OCCS_FORALL_POS_NO_PER_VAR","W_OCCS_POS_NO_PER_VAR","W_OCCS_FORALL_NO_PER_VAR","W_OCCS_FORALL_POS_NO_PER_VAR","W_PRODUCTS","LITN_LIT","LITEP_LIT","LITEN_LITE","LITEN_LITN","LITFN_LIT","LITFP_LITFN","OCCP_OCCN","OCCE_OCC","OCCEN_OCC","OCCFP_OCCF","OCCEN_OCCE","OCCEN_OCCN","OCCFP_OCCFN","TERMORE_CLAUSE","NEG_HORN_CLAUSE","WOCCN_WOCC","WOCCEP_WOCC","WOCCFN_WOCC","WOCCEP_WOCCE","WOCCEP_WOCCP","WOCCFN_WOCCN","Class"
"C432.blif_0.10_0.20_0_1_out_exact-shuffled",557,12,569,1441,3299,2,1,3,0,1119,322,1058,921,2.25746,0.031922,278.5,0.015961,0.015961,2.630931,3.833333,1.916667,7.328647,7.666667,3.833333,31.032316,0.546226,0.446802,0.54688,0.987236,0.006972,1,0.830744,1.0073,0.550872,0.5,0.54688,1.008505,1,0.223456,0.639139,0.549433,0.455197,0.235674,0.450071,1.010275,0.428941,"quantor"
"C432.blif_0.10_1.00_0_0_out_exact-shuffled",592,1,593,1551,3559,2,1,3,0,1210,341,1146,993,2.29207,0.002579,296,0.001289,0.001289,2.709949,4,2,7.583474,8,4,32.814189,0.548469,0.450969,0.548523,0.998975,0.000562,1,0.823258,1.000563,0.548832,0.5,0.548523,1.000663,1,0.219858,0.640232,0.5516,0.448758,0.236514,0.448358,1.000798,0.428778,"quantor"
"C432.blif_0.10_1.00_0_1_inp_exact-shuffled",593,1,594,1553,3563,2,1,3,0,1212,341,1147,996,2.291693,0.002576,296.5,0.001288,0.001288,2.710438,4,2,8.124579,8,4,35.328836,0.548134,0.451305,0.548188,0.998976,0.000561,1,0.824373,1.000562,0.548496,0.5,0.548188,1.000661,1,0.219575,0.641339,0.54817,0.452217,0.222451,0.451794,1.000856,0.405807,"quantor"
"C499.blif_0.10_0.20_0_0_inp_exact",894,12,906,2557,6058,10,9,19,0,1719,838,1780,1930,2.337896,0.031287,89.4,0.015643,0.015643,3.147903,6.666667,3.333333,59.174393,77.666667,38.833333,309.35906,0.529218,0.46418,0.529609,0.987523,0.006603,1,0.889582,1.00004,0.52963,0.5,0.529609,1.000779,1,0.327728,0.754791,0.529513,0.472658,0.308758,0.470244,1.004614,0.583099,"sKizzo"
"C499.blif_0.10_0.20_0_0_out_exact",826,12,838,2393,5702,2,1,3,0,1575,818,1644,1794,2.356038,0.026745,413,0.013372,0.013372,3.201671,5.333333,2.666667,8.650358,10.666667,5.333333,37.923729,0.529463,0.464925,0.529798,0.9894,0.005612,1,0.888705,1.003141,0.531462,0.5,0.529798,1.003774,1,0.34183,0.749687,0.532504,0.470101,0.288233,0.467226,1.005571,0.541278,"sKizzo"
"C499.blif_0.10_0.20_0_1_out_exact",826,12,838,2393,5702,2,1,3,0,1575,818,1644,1794,2.356038,0.026745,413,0.013372,0.013372,3.202864,5.333333,2.666667,8.653938,10.666667,5.333333,37.923729,0.529288,0.4651,0.52962,0.989397,0.005612,1,0.889331,1.003141,0.531284,0.5,0.52962,1.003771,1,0.34183,0.749687,0.53231,0.470297,0.288233,0.467421,1.005574,0.541475,"sKizzo"
"C499.blif_0.10_1.00_0_0_inp_exact-shuffled",892,1,893,2586,6149,2,1,3,0,1726,860,1786,1932,2.37471,0.003094,446,0.001547,0.001547,3.231803,8,4,9.681971,16,8,51.14574,0.530655,0.468694,0.530695,0.998774,0.000651,1,0.884462,0.999819,0.530599,0.5,0.530695,0.999894,1,0.33256,0.7471,0.530695,0.469396,0.387776,0.469278,1.000195,0.730694,"quantor"
"C499.blif_0.10_1.00_0_0_out_exact-shuffled",888,1,889,2578,6133,2,1,3,0,1718,860,1778,1924,2.375873,0.003103,444,0.001552,0.001552,3.237345,8,4,8.789651,16,8,40.457207,0.530735,0.468612,0.530776,0.998771,0.000652,1,0.884178,0.99982,0.53068,0.5,0.530776,0.999896,1,0.333592,0.746315,0.533743,0.466304,0.424369,0.466225,1.000101,0.795081,"sKizzo"
"C5315.blif_0.10_0.20_0_0_inp_exact-shuffled",5400,97,5497,14587,33644,16,15,31,0,11497,3090,11468,8647,2.2494,0.057037,337.5,0.028519,0.028519,2.71348,8.57732,4.28866,82.846644,151.587629,75.793814,537.858148,0.556652,0.430983,0.558089,0.977787,0.012365,1,0.796455,0.992789,0.554064,0.5,0.558089,0.995351,1,0.211832,0.592788,0.557421,0.443255,0.404901,0.441746,1.001529,0.726383,"sKizzo"
"C5315.blif_0.10_0.20_0_0_out_exact-shuffled",5229,95,5324,14228,32909,2,1,3,0,11154,3074,11137,8332,2.25745,0.055524,2614.5,0.027762,0.027762,2.734222,8.315789,4.157895,7.489857,16.631579,8.315789,36.546567,0.557659,0.430338,0.559077,0.978476,0.012003,1,0.793211,0.993726,0.55557,0.5,0.559077,0.996253,1,0.216053,0.585606,0.562461,0.436663,0.485788,0.436437,0.997997,0.863683,"sKizzo"
"C5315.blif_0.10_0.20_0_1_inp_exact-shuffled",5401,97,5498,14589,33648,16,15,31,0,11499,3090,11469,8648,2.249366,0.057029,337.5625,0.028515,0.028515,2.71335,8.57732,4.28866,82.842852,151.587629,75.793814,537.781522,0.556645,0.430991,0.558081,0.97779,0.012363,1,0.796476,0.992789,0.554057,0.5,0.558081,0.99535,1,0.211803,0.592775,0.557415,0.443262,0.404926,0.441753,1.001528,0.726436,"sKizzo"
"C5315.blif_0.10_0.20_0_1_out_exact-shuffled",5230,95,5325,14230,32913,2,1,3,0,11156,3074,11138,8333,2.257414,0.055517,2615,0.027758,0.027758,2.734085,8.315789,4.157895,7.489577,16.631579,8.315789,36.541874,0.557652,0.430347,0.55907,0.978479,0.012001,1,0.793233,0.993726,0.555562,0.5,0.55907,0.996252,1,0.216022,0.585594,0.562453,0.436671,0.485815,0.436446,0.997996,0.863744,"sKizzo"
"C5315.blif_0.10_1.00_0_0_inp_exact-shuffled",5605,2,5607,15230,35163,2,1,3,0,11966,3264,11925,8911,2.308536,0.000263,2802.5,0.000131,0.000131,2.774924,2,1,8.323703,4,2,58.398394,0.557518,0.442425,0.557524,0.999898,5.7e-05,1,0.793665,1.000243,0.55766,0.5,0.557524,1.000255,1,0.214314,0.585095,0.557524,0.442596,0.106317,0.442471,1.000271,0.190695,"X2clsQ"
"C5315.blif_0.10_1.00_0_0_out_exact-shuffled",5603,2,5605,15226,35155,2,1,3,0,11962,3264,11921,8907,2.308617,0.000263,2801.5,0.000131,0.000131,2.775201,2,1,7.646566,4,2,40.260396,0.557531,0.442412,0.557537,0.999898,5.7e-05,1,0.793622,1.000243,0.557673,0.5,0.557537,1.000255,1,0.21437,0.584986,0.562006,0.438109,0.11456,0.437989,1.000264,0.20384,"sKizzo"
"C5315.blif_0.10_1.00_0_1_inp_exact-shuffled",5605,2,5607,15230,35163,2,1,3,0,11966,3264,11924,8912,2.308536,0.000263,2802.5,0.000131,0.000131,2.775103,2,1,8.324238,4,2,58.398394,0.557489,0.442454,0.557496,0.999898,5.7e-05,1,0.793756,1.000243,0.557631,0.5,0.557496,1.000255,1,0.214314,0.585161,0.557496,0.442624,0.106317,0.4425,1.000271,0.190705,"quantor"
"C6288.blif_0.10_0.20_0_0_out_exact-shuffled",4570,66,4636,13583,31766,2,1,3,0,9012,4571,9458,5081,2.32629,0.012368,2285,0.006184,0.006184,2.950388,2.545455,1.272727,8.420621,5.090909,2.545455,39.054705,0.569414,0.427942,0.569783,0.995356,0.002644,1,0.756192,1.009077,0.574955,0.5,0.569783,1.009731,1,0.336524,0.374071,0.572449,0.431859,0.129244,0.427284,1.010076,0.225773,"sKizzo"
"C6288.blif_0.10_1.00_0_0_inp_exact-shuffled",4674,34,4708,13872,32425,2,1,3,0,9220,4652,9667,5209,2.331099,0.006344,2337,0.003172,0.003172,2.966653,2.588235,1.294118,8.880841,5.176471,2.588235,51.95935,0.569252,0.429391,0.569441,0.997616,0.001357,1,0.756691,1.004541,0.572026,0.5,0.569441,1.004873,1,0.335352,0.375505,0.569381,0.432839,0.1255,0.430494,1.005154,0.220415,"sKizzo"
"C6288.blif_0.10_1.00_0_1_inp_exact-shuffled",4675,34,4709,13874,32429,2,1,3,0,9222,4652,9668,5211,2.331051,0.006343,2337.5,0.003171,0.003171,2.96666,2.588235,1.294118,8.880866,5.176471,2.588235,51.950802,0.569213,0.42943,0.569401,0.997616,0.001357,1,0.756812,1.004539,0.571986,0.5,0.569401,1.004872,1,0.335303,0.375595,0.569341,0.432878,0.125511,0.430533,1.005153,0.22045,"sSolve"
"C6288.blif_0.10_1.00_0_1_out_exact-shuffled",4621,34,4655,13735,32120,2,1,3,0,9114,4621,9554,5128,2.332144,0.006407,2310.5,0.003203,0.003203,2.971214,2.588235,1.294118,8.497744,5.176471,2.588235,39.174638,0.569396,0.429234,0.569587,0.997594,0.00137,1,0.756247,1.004598,0.572206,0.5,0.569587,1.004934,1,0.33644,0.373353,0.572301,0.429887,0.130268,0.427561,1.005117,0.227622,"sSolve"
"C880.blif_0.10_0.20_0_0_inp_exact",1030,16,1046,2644,6067,11,10,21,0,1988,656,2055,1557,2.274206,0.020424,93.636364,0.010212,0.010212,2.601338,3.375,1.6875,53.996176,44.25,22.125,240.473786,0.551508,0.444042,0.551971,0.991931,0.00445,1,0.81321,1.006495,0.555556,0.5,0.551971,1.007339,1,0.248109,0.58888,0.552048,0.452059,0.183549,0.447658,1.009169,0.332487,"sKizzo"
"C880.blif_0.10_0.20_0_0_out_exact",959,14,973,2484,5729,2,1,3,0,1846,638,1903,1423,2.288647,0.017713,479.5,0.008857,0.008857,2.632066,3.142857,1.571429,7.026721,6.285714,3.142857,25.586027,0.552976,0.443184,0.553386,0.993056,0.00384,1,0.808396,1.006806,0.557153,0.5,0.553386,1.007553,1,0.256844,0.572866,0.558761,0.444799,0.197354,0.440903,1.008069,0.353199,"sKizzo"
"C880.blif_0.10_0.20_0_1_inp_exact",1030,16,1046,2644,6067,11,10,21,0,1988,656,2054,1558,2.274206,0.020424,93.636364,0.010212,0.010212,2.602294,3.375,1.6875,54.016252,44.25,22.125,240.473786,0.551343,0.444206,0.551804,0.991928,0.00445,1,0.813752,1.006495,0.555388,0.5,0.551804,1.007337,1,0.248109,0.589259,0.551882,0.452228,0.183549,0.447825,1.009171,0.332587,"sKizzo"
"C880.blif_0.10_0.20_0_1_out_exact",959,14,973,2484,5729,2,1,3,0,1846,638,1903,1423,2.288647,0.017713,479.5,0.008857,0.008857,2.632066,3.142857,1.571429,7.026721,6.285714,3.142857,25.586027,0.552976,0.443184,0.553386,0.993056,0.00384,1,0.808396,1.006806,0.557153,0.5,0.553386,1.007553,1,0.256844,0.572866,0.558761,0.444799,0.197354,0.440903,1.008069,0.353199,"sKizzo"
"C880.blif_0.10_1.00_0_0_inp_exact",1009,13,1022,2610,6007,2,1,3,0,1945,665,2022,1515,2.283142,0.018391,504.5,0.009195,0.009195,2.629159,3.692308,1.846154,7.815068,7.384615,3.692308,34.799802,0.552689,0.443316,0.553113,0.992771,0.003995,1,0.809337,1.00479,0.555763,0.5,0.553113,1.005562,1,0.254789,0.58046,0.553125,0.449913,0.211131,0.446588,1.006797,0.381705,"sKizzo"
"C880.blif_0.10_1.00_0_0_out_exact",980,13,993,2548,5879,2,1,3,0,1887,661,1960,1457,2.288462,0.018838,490,0.009419,0.009419,2.643505,3.692308,1.846154,7.042296,7.384615,3.692308,25.95,0.553495,0.442422,0.553936,0.992624,0.004082,1,0.806699,1.004992,0.556701,0.5,0.553936,1.005792,1,0.259419,0.571821,0.559441,0.443339,0.230987,0.440198,1.00631,0.41289,"sKizzo"
"C880.blif_0.10_1.00_0_1_out_exact-shuffled",980,13,993,2548,5879,2,1,3,0,1887,661,1959,1458,2.288462,0.018838,490,0.009419,0.009419,2.644512,3.692308,1.846154,7.045317,7.384615,3.692308,25.95,0.553325,0.442592,0.553764,0.992622,0.004082,1,0.807255,1.004992,0.556529,0.5,0.553764,1.00579,1,0.259419,0.572214,0.559252,0.443531,0.230987,0.440388,1.006313,0.413029,"X2clsQ"
"CHAIN23v.24-shuffled",3267,23,3290,19663,43533,2,1,3,25,17522,2116,18076,7477,2.204597,0.009358,1633.5,0.004679,0.004679,3.391185,8,4,9.502432,16,8,157.186103,0.743712,0.254175,0.744746,0.997158,0.002113,1,0.344607,1.002784,0.746819,0.5,0.744746,1.004178,1,0.107613,0.380257,0.752241,0.248035,0.208586,0.247021,1.001113,0.277286,"quantor"
"Core1108_tbm_02.tex.moduleQ3.2S.000007",1431,200,1631,4978,14528,10,10,20,0,1398,3580,4105,1419,2.388108,0.530333,143.1,0.30233,0.228003,3.080319,13.2,7.525,32.148988,97.25,62.625,146.701607,0.654185,0.242222,0.703987,0.880577,0.078125,1.325991,0.52862,0.932647,0.656572,0.570076,0.703987,1.003648,1.325991,0.719164,0.285054,0.639002,0.31317,0.388801,0.31725,0.867511,0.608451,"sKizzo"
"Core1108_tbm_02.tex.moduleQ3.2S.000015",1426,195,1621,4968,14503,10,10,20,0,1388,3580,4105,1409,2.389895,0.529388,142.6,0.300926,0.228462,3.086983,13.487179,7.666667,32.279457,100.25641,64.487179,147.103787,0.654968,0.24195,0.704455,0.880514,0.07826,1.317181,0.526792,0.930607,0.655571,0.568441,0.704455,1.000921,1.317181,0.720612,0.283615,0.639411,0.311389,0.399572,0.316582,0.863558,0.624906,"QuBE"
"Core1108_tbm_02.tex.moduleQ3.2S.000026",1451,205,1656,5018,14628,10,10,20,0,1438,3580,4120,1459,2.381028,0.534077,145.1,0.304902,0.229175,3.073068,13.073171,7.463415,32.27657,97.560976,62.926829,145.120606,0.652106,0.243301,0.702126,0.879442,0.078616,1.330435,0.533494,0.932187,0.654513,0.570896,0.702126,1.003692,1.330435,0.713432,0.290753,0.6358,0.315338,0.390802,0.319896,0.865837,0.614662,"QuBE"
"Core1108_tbm_02.tex.moduleQ3.2S.000056",1426,195,1621,4973,14513,10,10,20,0,1393,3580,4110,1414,2.388498,0.529861,142.6,0.300623,0.229238,3.090068,13.512821,7.666667,32.236274,99.615385,63.717949,147.159888,0.654861,0.242128,0.704159,0.880051,0.07855,1.311404,0.527041,0.930357,0.655119,0.567362,0.704159,1.000394,1.311404,0.719887,0.284335,0.639782,0.312112,0.401129,0.317017,0.866455,0.626977,"QuBE"
"Core1108_tbm_02.tex.moduleQ3.2S.000077",1431,200,1631,4978,14528,10,10,20,0,1398,3580,4105,1419,2.388108,0.530333,143.1,0.30233,0.228003,3.080319,13.2,7.525,32.148988,97.25,62.625,146.701607,0.654185,0.242222,0.703987,0.880577,0.078125,1.325991,0.52862,0.932647,0.656572,0.570076,0.703987,1.003648,1.325991,0.719164,0.285054,0.639002,0.31317,0.388801,0.31725,0.867511,0.608451,"sKizzo"
"Core1108_tbm_02.tex.moduleQ3.2S.000095",1441,200,1641,4998,14578,10,10,20,0,1418,3580,4115,1439,2.384554,0.532213,144.1,0.303121,0.229092,3.079829,13.3,7.575,32.300427,99.25,63.875,145.905621,0.653313,0.242763,0.703054,0.879777,0.078543,1.323144,0.530659,0.931001,0.654544,0.569549,0.703054,1.001884,1.323144,0.716287,0.287915,0.637275,0.313513,0.397252,0.318578,0.864326,0.62336,"QuBE"
"Core1108_tbm_02.tex.moduleQ3.2S.000098",1446,205,1651,5008,14603,10,10,20,0,1428,3580,4115,1449,2.382788,0.533147,144.6,0.304513,0.228634,3.073289,13.02439,7.439024,32.231981,97.073171,62.560976,145.511757,0.652537,0.243032,0.702589,0.87984,0.078409,1.331878,0.53248,0.93301,0.655523,0.571161,0.702589,1.004576,1.331878,0.714856,0.289337,0.636559,0.314958,0.389152,0.319238,0.8666,0.611337,"QuBE"
"Core1108_tbm_02.tex.moduleQ3.2S.000099",1436,200,1636,4993,14563,10,10,20,0,1413,3580,4115,1434,2.384939,0.531744,143.6,0.302423,0.229321,3.08313,13.275,7.55,32.273839,98.625,63.25,146.357939,0.653643,0.24267,0.703225,0.879714,0.078624,1.318777,0.529888,0.931573,0.655105,0.568738,0.703225,1.002237,1.318777,0.717004,0.287202,0.637972,0.313634,0.396815,0.318348,0.866324,0.621995,"QuBE"
"Core1108_tbm_02.tex.moduleQ3.2S.000108",1436,200,1636,4993,14563,10,10,20,0,1413,3580,4115,1434,2.384939,0.531744,143.6,0.302423,0.229321,3.08313,13.275,7.55,32.273839,98.625,63.25,146.357939,0.653643,0.24267,0.703225,0.879714,0.078624,1.318777,0.529888,0.931573,0.655105,0.568738,0.703225,1.002237,1.318777,0.717004,0.287202,0.637972,0.313634,0.396815,0.318348,0.866324,0.621995,"QuBE"
"Core1108_tbm_03.tex.module.000003",673,220,893,2014,5664,10,10,20,0,882,1132,1356,894,2.072493,0.739821,67.3,0.441907,0.297915,2.610302,6.772727,4.045455,30.694289,62.045455,40.909091,90.148588,0.588453,0.254414,0.654768,0.819982,0.105932,1.483333,0.69937,0.977835,0.640255,0.597315,0.654768,1.08803,1.483333,0.562066,0.443893,0.552124,0.399152,0.308411,0.387171,0.891212,0.55859,"QuBE"
"Core1108_tbm_03.tex.module.000019",613,220,833,1786,5040,10,10,20,0,762,1024,1258,774,2.057671,0.764278,61.3,0.425532,0.338746,2.498199,6.204545,3.454545,28.379352,53.977273,32.5,88.352365,0.587103,0.262103,0.640544,0.795539,0.12004,1.256198,0.703278,0.990858,0.634688,0.556777,0.640544,1.081051,1.256198,0.573348,0.433371,0.55693,0.419981,0.335312,0.397541,0.947889,0.602072,"QuBE"
"Core1108_tbm_03.tex.module.000021",613,220,833,1781,5030,10,10,20,0,757,1024,1243,769,2.06064,0.763616,61.3,0.432341,0.331275,2.504202,6.181818,3.5,28.463385,53.863636,33.181818,88.22186,0.585288,0.26163,0.641417,0.799592,0.117296,1.305085,0.70856,0.991477,0.63595,0.566176,0.641417,1.086559,1.305085,0.574958,0.43178,0.554742,0.418768,0.32353,0.396377,0.940506,0.583208,"X2clsQ"
"Core1108_tbm_03.tex.module.000023",613,220,833,1786,5040,10,10,20,0,762,1024,1243,774,2.057671,0.764278,61.3,0.433931,0.330347,2.516206,6.204545,3.522727,28.709484,54.204545,33.75,88.352365,0.584127,0.262103,0.640544,0.799592,0.117063,1.313559,0.711957,0.990858,0.634688,0.567766,0.640544,1.086559,1.313559,0.573348,0.433371,0.552195,0.419588,0.319046,0.397541,0.93699,0.577777,"X2clsQ"
"Core1108_tbm_03.tex.module.000031",623,220,843,1806,5090,10,10,20,0,782,1024,1253,794,2.051495,0.766888,62.3,0.434662,0.332226,2.521945,6.295455,3.568182,28.748517,55.113636,33.75,87.447833,0.582318,0.263458,0.638057,0.797571,0.117878,1.308333,0.717274,0.98494,0.628448,0.566787,0.638057,1.079217,1.308333,0.566999,0.439646,0.551909,0.420562,0.332986,0.40062,0.938565,0.603335,"sKizzo"
"Core1108_tbm_03.tex.module.000034",618,220,838,1787,5038,10,10,20,0,772,1015,1244,784,2.052602,0.766648,61.8,0.43089,0.335758,2.502387,6.227273,3.5,28.53222,54.545455,33.181818,86.488673,0.583763,0.263398,0.638222,0.795988,0.119095,1.283333,0.713023,0.987249,0.630084,0.562044,0.638222,1.079349,1.283333,0.567991,0.438724,0.553084,0.42099,0.33463,0.400241,0.941988,0.605026,"sKizzo"
"Core1108_tbm_03.tex.module.000037",594,215,809,1730,4882,10,10,20,0,742,988,1202,754,2.053179,0.768786,59.4,0.433526,0.33526,2.514215,6.186047,3.488372,28.55377,53.953488,33.023256,86.632997,0.583367,0.263007,0.638514,0.796348,0.118804,1.293103,0.714185,0.990917,0.632714,0.56391,0.638514,1.084589,1.293103,0.571098,0.435838,0.552932,0.421739,0.327706,0.399301,0.943344,0.592669,"sKizzo"
"Core1108_tbm_03.tex.module.000038",589,215,804,1711,4830,10,10,20,0,732,979,1188,744,2.054354,0.768556,58.9,0.435418,0.333139,2.5,6.116279,3.465116,28.327114,53.139535,32.674419,86.162988,0.583851,0.261905,0.640114,0.797872,0.118012,1.307018,0.712766,0.993388,0.635881,0.56654,0.640114,1.089116,1.307018,0.57218,0.434833,0.553738,0.421263,0.322405,0.397627,0.94398,0.582235,"QuBE"
"Core1108_tbm_03.tex.module.000039",589,215,804,1711,4830,10,10,20,0,732,979,1188,744,2.054354,0.768556,58.9,0.435418,0.333139,2.5,6.116279,3.465116,28.327114,53.139535,32.674419,86.162988,0.583851,0.261905,0.640114,0.797872,0.118012,1.307018,0.712766,0.993388,0.635881,0.56654,0.640114,1.089116,1.307018,0.57218,0.434833,0.553738,0.421263,0.322405,0.397627,0.94398,0.582235,"QuBE"
"Core1108_tbm_03.tex.module.000048",584,215,799,1692,4778,10,10,20,0,722,970,1184,734,2.055556,0.768322,58.4,0.431442,0.336879,2.484355,6.046512,3.395349,28.335419,53.023256,32.325581,86.010274,0.584554,0.262662,0.63916,0.795918,0.119297,1.280702,0.710705,0.995904,0.636542,0.561538,0.63916,1.088936,1.280702,0.573286,0.433806,0.553452,0.423398,0.326182,0.399237,0.948157,0.58936,"QuBE"
"Core1108_tbm_03.tex.module.000056",564,210,774,1616,4570,10,10,20,0,682,934,1148,694,2.048267,0.779703,56.4,0.42698,0.352723,2.46124,6,3.285714,27.45478,51.190476,30,86.79078,0.583151,0.265864,0.632931,0.786116,0.124726,1.210526,0.714822,0.993971,0.629114,0.547619,0.632931,1.078819,1.210526,0.57797,0.429455,0.555997,0.428677,0.342696,0.402856,0.965482,0.616363,"X2clsQ"
