"id","nvarsOrig","nclausesOrig","nvars","nclauses","reducedVars","reducedClauses","vars_clauses_ratio","POSNEG_RATIO_CLAUSE_mean","POSNEG_RATIO_CLAUSE_coeff_variation","POSNEG_RATIO_CLAUSE_min","POSNEG_RATIO_CLAUSE_entropy","VCG_CLAUSE_mean","VCG_CLAUSE_coeff_variation","VCG_CLAUSE_min","VCG_CLAUSE_max","VCG_CLAUSE_entropy","BINARYp","TRINARYp","VCG_VAR_mean","VCG_VAR_coeff_variation","VCG_VAR_min","VCG_VAR_max","VCG_VAR_entropy","POSNEG_RATIO_VAR_mean","POSNEG_RATIO_VAR_stdev","POSNEG_RATIO_VAR_min","POSNEG_RATIO_VAR_max","POSNEG_RATIO_VAR_entropy","HORNY_VAR_mean","HORNY_VAR_coeff_variation","HORNY_VAR_min","HORNY_VAR_max","HORNY_VAR_entropy","horn_clauses_fraction","VG_mean","VG_coeff_variation","VG_min","VG_max","CG_mean","CG_coeff_variation","CG_min","CG_max","CG_entropy","cluster_coeff_mean","cluster_coeff_coeff_variation","cluster_coeff_min","cluster_coeff_max","cluster_coeff_entropy","eagleup","gnoveltyp2","marchrw","sapperlot","satime11","sattime","sattimep","sparrow","spear.hw","spear.sw","tnm","eagleup_success","gnoveltyp2_success","marchrw_success","sapperlot_success","satime11_success","sattime_success","sattimep_success","sparrow_success","spear.hw_success","spear.sw_success","tnm_success","Pre","Basic","KLB","CG","Class"
"SAT-Race-2010-CNF/cryptography/mizh/sha0_35_1.cnf",48689,204053,19865,115533,1.451,0.7662,0.1719,0.4086,0.4372,0,1.0394,2e-04,0.1873,1e-04,3e-04,0.9208,0.0825,0.5333,2e-04,0.5097,1e-04,5e-04,2.571,0.0194,0.0386,0,0.3333,0.8471,1e-04,0.4982,0,2e-04,2.3037,0.5303,1e-04,0.5184,0,2e-04,3e-04,0.4275,1e-04,7e-04,3.7431,0.2562,0.2806,0.0887,0.5714,3.2891,1200,1200,1200,140.21,1200,1200,1200,1200,90.65,105.79,1200,"FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE",0.62,0.01,0.96,4.99,"precosat"
"SAT-Race-2010-CNF/cryptography/mizh/sha0_35_2.cnf",48689,204071,19877,115604,1.4495,0.7653,0.1719,0.4086,0.4372,0,1.0393,2e-04,0.1872,1e-04,2e-04,0.9206,0.0825,0.5335,2e-04,0.5096,1e-04,5e-04,2.5705,0.0194,0.0385,0,0.4,0.8464,1e-04,0.498,0,2e-04,2.3055,0.5303,1e-04,0.5184,0,2e-04,3e-04,0.4274,1e-04,7e-04,3.7425,0.2562,0.2806,0.0887,0.581,3.2888,1200,1200,1200,94.29,1200,1200,1200,1200,39.81,58.67,1200,"FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE",0.83,0.02,0.98,5.02,"lingeling"
"SAT-Race-2010-CNF/cryptography/mizh/sha0_35_3.cnf",48689,204067,19882,115611,1.4489,0.7651,0.172,0.4084,0.4376,0,1.0398,2e-04,0.1873,1e-04,2e-04,0.9209,0.0826,0.5335,2e-04,0.5098,1e-04,5e-04,2.5696,0.0194,0.0385,0,0.2727,0.846,1e-04,0.4983,0,2e-04,2.3053,0.5302,1e-04,0.5183,0,2e-04,3e-04,0.4277,1e-04,7e-04,3.744,0.2563,0.2806,0.0887,0.5714,3.2886,1200,1200,1200,43.84,1200,1200,1200,1200,146.71,38.44,1200,"FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE",0.62,0.02,0.99,4.97,"mxc09"
"SAT-Race-2010-CNF/cryptography/mizh/sha0_35_4.cnf",48689,204067,19897,115693,1.4471,0.7639,0.172,0.4085,0.4374,0,1.0397,2e-04,0.1873,1e-04,3e-04,0.921,0.0826,0.5337,2e-04,0.5097,1e-04,5e-04,2.571,0.0194,0.0385,0,0.2727,0.8469,1e-04,0.4982,0,2e-04,2.3053,0.5303,1e-04,0.5183,0,2e-04,3e-04,0.4277,1e-04,7e-04,3.7435,0.2563,0.2806,0.0887,0.5714,3.2893,1200,1200,1200,74.15,1200,1200,1200,1200,78.64,59.62,1200,"FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE",0.65,0.02,0.98,5.01,"minisatpsm"
"SAT-Race-2010-CNF/cryptography/mizh/sha0_36_5.cnf",50073,210223,20577,120346,1.4334,0.7468,0.171,0.4093,0.4341,0,1.0359,2e-04,0.1864,1e-04,2e-04,0.9174,0.0807,0.5286,2e-04,0.5124,0,5e-04,2.5577,0.0189,0.0382,0,0.4,0.8221,1e-04,0.5015,0,2e-04,2.3058,0.5289,1e-04,0.5197,0,2e-04,3e-04,0.4278,0,7e-04,3.7307,0.2547,0.2817,0.0887,0.5714,3.2829,1200,1200,1200,710.89,1200,1200,1200,1200,1200,1200,1200,"FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0.71,0.01,1.04,5.4,"cryptominisat2011"
"SAT-Race-2010-CNF/hardware-verification/ibm/2004_rb10Sd.k85.cnf",265398,1053961,90107,595701,1.9454,0.7693,0.1513,0.3271,1.0716,0,1.8363,0,0.6744,0,3e-04,1.5865,0.5003,0.7018,0,1.3351,0,6e-04,3.4745,0.1796,0.1487,0,0.8182,3.3577,0,1.3308,0,3e-04,2.7888,0.6123,0,1.1329,0,6e-04,3e-04,0.6275,1e-04,0.0035,3.705,0.174,0.4629,0.0255,0.5934,3.2087,1200,1200,1200,9.24,1200,1200,1200,1200,5.58,4.44,1200,"FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE",5.02,0.08,20.21,20.05,"picosat"
"SAT-Race-2010-CNF/hardware-verification/ibm/SAT_dat.k100.cnf",73172,261777,23872,144352,2.0652,0.8135,0.1654,0.3418,1.048,0,1.7275,1e-04,0.5384,1e-04,9e-04,1.4733,0.5137,0.6683,1e-04,0.8589,0,0.0011,3.2046,0.1632,0.1549,0,1,3.135,1e-04,0.8989,0,5e-04,2.7957,0.6325,2e-04,0.7694,0,0.0011,3e-04,0.9419,0,0.0027,4.4572,0.1589,0.6206,0.0151,0.6667,3.4072,1200,1200,1200,5.63,1200,1200,1200,1200,21.12,8.73,1200,"FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE",1.21,0.03,1.4,19.17,"qutersat"
"SAT-Race-2010-CNF/hardware-verification/ibm/SAT_dat.k45.cnf",54343,213676,11939,63935,3.5517,2.3421,0.1867,0.3285,1.1055,0,1.6928,3e-04,0.636,2e-04,0.0024,1.4593,0.5146,0.7459,3e-04,0.7088,1e-04,0.0019,3.1624,0.1798,0.1595,0,0.8947,3.2023,1e-04,0.7175,0,9e-04,2.5974,0.6158,3e-04,0.8079,1e-04,0.0029,5e-04,0.8936,1e-04,0.0065,4.3217,0.1492,0.627,0.0077,0.7333,3.4428,1200,1200,1200,1,0.53,0.47,0.49,1200,0.8,0.71,1200,"FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE",0.78,0.01,0.36,5.19,"picosat"
"SAT-Race-2010-CNF/hardware-verification/ibm/SAT_dat.k50.cnf",74310,331189,25496,171582,1.9146,0.9302,0.1486,0.3067,1.1775,0,1.7983,1e-04,0.6732,1e-04,7e-04,1.4999,0.5815,0.7234,1e-04,1.0048,0,0.0014,3.521,0.191,0.1559,0,0.8846,3.4368,1e-04,0.9343,0,7e-04,3.0153,0.6738,1e-04,0.8244,0,0.0014,3e-04,0.6275,1e-04,0.0035,3.705,0.174,0.4629,0.0255,0.5934,3.2087,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",1.42,0.03,1.6,20.01,"qutersat"
"SAT-Race-2010-CNF/hardware-verification/manolios/c10id_i.cnf",193845,575692,32282,244981,5.0047,1.3499,0.1318,0.377,0.6921,0,1.7743,1e-04,0.3762,1e-04,0.0013,1.6233,0.1194,0.4649,1e-04,2.0191,0,0.0145,2.9907,0.1717,0.1496,0,0.9658,2.8945,0,2.3911,0,0.0073,2.512,0.4409,1e-04,1.7639,0,0.0084,3e-04,0.6275,1e-04,0.0035,3.705,0.174,0.4629,0.0255,0.5934,3.2087,1200,1200,1200,117.87,1200,1200,1200,1200,1200,1200,1200,"FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",2.74,0.05,2.58,20.03,"glucose2"
"SAT-Race-2010-CNF/hardware-verification/manolios/c10idw_i.cnf",196306,582994,32750,247614,4.9941,1.3544,0.1323,0.3756,0.692,0,1.7696,1e-04,0.3744,1e-04,0.0015,1.6206,0.1194,0.468,1e-04,2.0163,0,0.0142,2.9961,0.1713,0.1496,0,0.9658,2.8827,0,2.377,0,0.0071,2.5155,0.4435,1e-04,1.7597,0,0.0083,3e-04,0.6275,1e-04,0.0035,3.705,0.174,0.4629,0.0255,0.5934,3.2087,1200,1200,1200,98.61,1200,1200,1200,1200,1200,1200,1200,"FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",2.75,0.04,2.7,20.02,"glucose2"
"SAT-Race-2010-CNF/hardware-verification/manolios/c10ni_s.cnf",204664,609478,32398,257392,5.3172,1.3679,0.1259,0.3716,0.6889,0,1.845,1e-04,0.3789,1e-04,9e-04,1.6807,0.1144,0.4652,1e-04,1.9909,0,0.0126,2.8564,0.1791,0.1482,0,0.9699,2.794,0,2.3924,0,0.0062,2.4583,0.4647,1e-04,1.7676,0,0.0072,3e-04,0.6275,1e-04,0.0035,3.705,0.174,0.4629,0.0255,0.5934,3.2087,1200,1200,1200,5.04,1200,1200,1200,1200,9.56,11.49,1200,"FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE",3.39,0.04,2.6,20.02,"picosat"
"SAT-Race-2010-CNF/hardware-verification/manolios/c6n.cnf",37147,110077,6063,45259,5.1268,1.4322,0.134,0.3565,0.752,0,1.7799,7e-04,0.4502,3e-04,0.0048,1.6694,0.133,0.519,7e-04,1.2354,2e-04,0.0078,3.3843,0.1964,0.1602,0,0.9365,3.1568,3e-04,1.3564,0,0.0033,2.8918,0.5147,5e-04,1.1417,1e-04,0.0053,3e-04,0.6275,1e-04,0.0035,3.705,0.174,0.4629,0.0255,0.5934,3.2087,1200,1200,1200,9.75,1200,1200,1200,1200,140.11,12.63,1200,"FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE",0.5,0.01,0.09,20.01,"glucose2"
"SAT-Race-2010-CNF/hardware-verification/manolios/c7bidw.cnf",151136,447814,25380,193112,4.9549,1.3189,0.1314,0.3728,0.7104,0,1.7626,2e-04,0.3909,1e-04,0.0015,1.6274,0.1248,0.4689,2e-04,1.5498,0,0.0076,3.0297,0.1754,0.152,0,0.9597,2.8815,1e-04,1.8531,0,0.0038,2.6107,0.4618,1e-04,1.4618,0,0.0057,3e-04,0.6275,1e-04,0.0035,3.705,0.174,0.4629,0.0255,0.5934,3.2087,1200,1200,1200,95.97,1200,1200,1200,1200,1200,183.56,1200,"FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE",2.09,0.03,1.61,20.03,"glucose2"
"SAT-Race-2010-CNF/hardware-verification/manolios/c7bidw_i.cnf",131004,387841,22468,169202,4.8307,1.2922,0.1328,0.3748,0.7062,0,1.7619,2e-04,0.385,1e-04,0.0016,1.6207,0.1229,0.4693,2e-04,1.5143,0,0.0086,3.0647,0.1711,0.1516,0,0.9487,2.9052,1e-04,1.8133,0,0.0041,2.6282,0.4543,1e-04,1.4341,0,0.0065,3e-04,0.6275,1e-04,0.0035,3.705,0.174,0.4629,0.0255,0.5934,3.2087,1200,1200,1200,139,1200,1200,1200,1200,1200,417.81,1200,"FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE",1.76,0.02,1.26,20.02,"glucose2"
"SAT-Race-2010-CNF/hardware-verification/manolios/c7n.cnf",27500,81472,4815,33742,4.7113,1.4146,0.1427,0.3573,0.7484,0,1.7671,8e-04,0.4703,4e-04,0.0062,1.6648,0.145,0.559,8e-04,1.2781,2e-04,0.0165,3.4593,0.1975,0.1656,0,0.9365,3.2379,3e-04,1.293,0,0.0056,2.9278,0.5366,7e-04,1.1818,1e-04,0.0123,3e-04,0.6275,1e-04,0.0035,3.705,0.174,0.4629,0.0255,0.5934,3.2087,1200,1200,1200,9.92,1200,1200,1200,1200,57.96,23.59,1200,"FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE",0.36,0,0.07,20.01,"glueminisat"
"SAT-Race-2010-CNF/hardware-verification/manolios/c8idw_s.cnf",122321,361795,21668,157825,4.6452,1.2924,0.1373,0.3705,0.6994,0,1.7413,2e-04,0.3628,1e-04,0.0019,1.5938,0.1211,0.466,2e-04,1.5836,0,0.0105,3.004,0.1703,0.1509,0,0.9677,2.8856,1e-04,1.9307,0,0.0052,2.5538,0.4493,1e-04,1.4633,0,0.007,3e-04,0.6275,1e-04,0.0035,3.705,0.174,0.4629,0.0255,0.5934,3.2087,1200,1200,1200,4.05,1200,1200,1200,1200,11.65,4.6,1200,"FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE",1.66,0.02,1.17,20.02,"ebminisat"
"SAT-Race-2010-CNF/hardware-verification/manolios/c8n_i.cnf",29999,88939,5226,36891,4.7403,1.4109,0.1417,0.3536,0.7349,0,1.7034,8e-04,0.4981,4e-04,0.0052,1.6186,0.1293,0.5676,8e-04,1.3257,2e-04,0.0172,3.3982,0.1901,0.159,0,0.957,3.1199,3e-04,1.3713,0,0.007,2.9076,0.5351,6e-04,1.1785,1e-04,0.0096,3e-04,0.6275,1e-04,0.0035,3.705,0.174,0.4629,0.0255,0.5934,3.2087,1200,1200,1200,9.55,1200,1200,1200,1200,218.81,33.46,1200,"FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE",0.44,0.01,0.08,20.01,"glucose2"
"SAT-Race-2010-CNF/hardware-verification/manolios/c9b_i.cnf",37024,109846,6384,45120,4.7995,1.4345,0.1415,0.3559,0.7237,0,1.6656,6e-04,0.4728,3e-04,0.0044,1.5641,0.1224,0.5613,6e-04,1.4024,2e-04,0.0155,3.2579,0.1876,0.1568,0,0.957,3.0642,3e-04,1.5522,0,0.0078,2.8283,0.5226,5e-04,1.244,1e-04,0.0085,3e-04,0.6275,1e-04,0.0035,3.705,0.174,0.4629,0.0255,0.5934,3.2087,1200,1200,1200,29.18,1200,1200,1200,1200,256.7,51.63,1200,"FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE",0.47,0,0.11,20.01,"glueminisat"
"SAT-Race-2010-CNF/hardware-verification/manolios/c9idw.cnf",174365,517246,30048,223751,4.8029,1.3117,0.1343,0.3752,0.6954,0,1.7714,1e-04,0.3786,1e-04,0.0015,1.6213,0.1238,0.468,1e-04,1.9083,0,0.014,3.0021,0.176,0.1503,0,0.968,2.8639,0,2.1965,0,0.0061,2.5158,0.4541,1e-04,1.6688,0,0.0074,3e-04,0.6275,1e-04,0.0035,3.705,0.174,0.4629,0.0255,0.5934,3.2087,1200,1200,1200,99.17,1200,1200,1200,1200,1092.11,217.2,1200,"FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE",2.9,0.04,2.23,20.02,"glucose2"
"SAT-Race-2010-CNF/hardware-verification/manolios/f6bid.cnf",137935,408424,21540,167619,5.4037,1.4366,0.1285,0.3681,0.7365,0,1.8388,2e-04,0.3899,1e-04,9e-04,1.6877,0.1361,0.4527,2e-04,1.324,0,0.0023,3.0601,0.19,0.1562,0,0.9437,2.8597,1e-04,1.6396,0,0.0011,2.6551,0.4802,1e-04,1.2382,0,0.0024,3e-04,0.6275,1e-04,0.0035,3.705,0.174,0.4629,0.0255,0.5934,3.2087,1200,1200,1200,15.39,1200,1200,1200,1200,37.6,20.38,1200,"FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE",1.87,0.02,1.16,20.02,"glueminisat"
"SAT-Race-2010-CNF/hardware-verification/manolios/f7idw.cnf",263022,782329,41290,326692,5.3701,1.3947,0.1264,0.3733,0.7139,0,1.8279,1e-04,0.3824,0,9e-04,1.6713,0.1291,0.4442,1e-04,1.5285,0,0.0018,2.9248,0.1818,0.1566,0,0.9385,2.7419,0,1.978,0,9e-04,2.4862,0.4753,1e-04,1.4052,0,0.0013,3e-04,0.6275,1e-04,0.0035,3.705,0.174,0.4629,0.0255,0.5934,3.2087,1200,1200,1200,404.86,1200,1200,1200,1200,1200,1200,1200,"FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",3.85,0.06,4.2,20.02,"ebglucose"
"SAT-Race-2010-CNF/hardware-verification/manolios/f7nidw.cnf",310434,923497,45777,364855,5.7814,1.5311,0.1255,0.3682,0.7214,0,1.8339,1e-04,0.3969,0,8e-04,1.6816,0.1277,0.4591,1e-04,1.5803,0,0.0018,2.9467,0.1888,0.1536,0,0.9416,2.8031,0,1.9724,0,0.001,2.5478,0.4827,1e-04,1.4497,0,0.0015,3e-04,0.6275,1e-04,0.0035,3.705,0.174,0.4629,0.0255,0.5934,3.2087,1200,1200,1200,872.97,1200,1200,1200,1200,1200,565.06,1200,"FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE",4.56,0.06,5.22,20.03,"lrglshr"
"SAT-Race-2010-CNF/hardware-verification/manolios/g7nidw.cnf",75496,222379,12806,95236,4.8954,1.335,0.1345,0.3684,0.734,0,1.854,3e-04,0.4037,2e-04,0.0021,1.699,0.1379,0.475,3e-04,1.2239,1e-04,0.0043,3.1946,0.1879,0.1583,0,0.9699,2.9736,1e-04,1.4553,0,0.0018,2.7574,0.4771,2e-04,1.1611,1e-04,0.0032,3e-04,0.6275,1e-04,0.0035,3.705,0.174,0.4629,0.0255,0.5934,3.2087,1200,1200,1200,13.53,1200,1200,1200,1200,1200,120.01,1200,"FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE",1.01,0.02,0.42,20.02,"lrglshr"
