"id","nvarsOrig","nclausesOrig","nvars","nclauses","reducedVars","reducedClauses","vars_clauses_ratio","POSNEG_RATIO_CLAUSE_mean","POSNEG_RATIO_CLAUSE_coeff_variation","POSNEG_RATIO_CLAUSE_min","POSNEG_RATIO_CLAUSE_entropy","VCG_CLAUSE_mean","VCG_CLAUSE_coeff_variation","VCG_CLAUSE_min","VCG_CLAUSE_max","VCG_CLAUSE_entropy","TRINARYp","VCG_VAR_mean","VCG_VAR_coeff_variation","VCG_VAR_min","VCG_VAR_max","VCG_VAR_entropy","POSNEG_RATIO_VAR_mean","POSNEG_RATIO_VAR_stdev","POSNEG_RATIO_VAR_min","POSNEG_RATIO_VAR_max","POSNEG_RATIO_VAR_entropy","HORNY_VAR_mean","HORNY_VAR_coeff_variation","HORNY_VAR_min","HORNY_VAR_max","HORNY_VAR_entropy","horn_clauses_fraction","VG_mean","VG_coeff_variation","VG_min","VG_max","CG_mean","CG_coeff_variation","CG_min","CG_max","CG_entropy","cluster_coeff_mean","cluster_coeff_coeff_variation","cluster_coeff_min","cluster_coeff_max","cluster_coeff_entropy","MPhaseSAT_M_2011.02.16","MPhaseSAT_M_2011.02.16_success","Pre","Basic","KLB","CG","Class"
"SAT11/random/large/unif-k3-r4.2-v15000-c63000-S38529837-091-UNKNOWN.cnf",15000,63000,14668,62631,0.0226,0.0059,0.2342,0.4956,0.5858,0,0.7006,2e-04,0.0611,2e-04,4e-04,0.1449,0.9687,2e-04,0.2875,0,5e-04,2.7041,0.2279,0.1712,0,1,3.3651,1e-04,0.3963,0,3e-04,2.3247,0.4948,4e-04,0.2906,1e-04,0.0011,3e-04,0.242,1e-04,9e-04,2.9512,0.1027,0.2414,0.0357,0.3333,2.2448,163.831,"TRUE",0.22,0.01,0.62,1.32,"EagleUP_1.565.350"
"SAT11/random/large/unif-k3-r4.2-v15000-c63000-S43885340-006-UNKNOWN.cnf",15000,63000,14586,62521,0.0284,0.0077,0.2333,0.4943,0.5885,0,0.7269,2e-04,0.0677,2e-04,4e-04,0.1739,0.96,2e-04,0.2928,0,6e-04,2.7251,0.2296,0.1722,0,1,3.3808,1e-04,0.3973,0,3e-04,2.3299,0.4952,4e-04,0.2963,0,0.0012,3e-04,0.2475,1e-04,9e-04,2.9794,0.1019,0.246,0.0364,0.2857,2.2562,5000,"FALSE",0.23,0.01,0.61,1.35,"sparrow2011_sparrow2011_ubcsat1.2_2011.03.02"
"SAT11/random/large/unif-k3-r4.2-v15000-c63000-S594553190-015-UNKNOWN.cnf",15000,63000,14630,62579,0.0253,0.0067,0.2338,0.4958,0.5875,0,0.7139,2e-04,0.0656,2e-04,4e-04,0.1608,0.9645,2e-04,0.2909,0,5e-04,2.7154,0.2268,0.1706,0,1,3.3593,1e-04,0.401,0,3e-04,2.3328,0.4919,4e-04,0.295,0,0.0012,3e-04,0.2455,1e-04,8e-04,2.9705,0.102,0.2437,0.037,0.4,2.2519,2342.89,"TRUE",0.23,0.01,0.62,1.34,"sparrow2011_sparrow2011_ubcsat1.2_2011.03.02"
"SAT11/random/large/unif-k3-r4.2-v15000-c63000-S619136916-059-UNKNOWN.cnf",15000,63000,14599,62533,0.0275,0.0075,0.2335,0.4946,0.5874,0,0.7172,2e-04,0.0657,2e-04,4e-04,0.1646,0.9629,2e-04,0.2911,0,6e-04,2.7198,0.2266,0.1719,0,1,3.3726,1e-04,0.3985,0,4e-04,2.3285,0.4926,4e-04,0.295,0,0.0012,3e-04,0.2463,1e-04,8e-04,2.9758,0.1019,0.2449,0.037,0.3333,2.2533,5000,"FALSE",0.23,0.01,0.62,1.36,"EagleUP_1.565.350"
"SAT11/random/large/unif-k3-r4.2-v15000-c63000-S89201333-019-UNKNOWN.cnf",15000,63000,14672,62642,0.0224,0.0057,0.2342,0.4965,0.5865,0,0.7021,2e-04,0.0607,2e-04,4e-04,0.1459,0.9681,2e-04,0.2899,0,7e-04,2.7079,0.2262,0.1716,0,1,3.3574,1e-04,0.4005,0,4e-04,2.3304,0.4932,4e-04,0.2933,1e-04,0.0014,3e-04,0.2453,1e-04,9e-04,2.9644,0.1026,0.2435,0.0351,0.4,2.2543,5000,"FALSE",0.23,0.01,0.62,1.34,"sparrow2011_sparrow2011_ubcsat1.2_2011.03.02"
"SAT11/random/large/unif-k3-r4.2-v15000-c63000-S976131144-051-UNKNOWN.cnf",15000,63000,14637,62606,0.0248,0.0063,0.2338,0.4957,0.5875,0,0.7131,2e-04,0.0649,2e-04,4e-04,0.1575,0.9654,2e-04,0.2921,0,6e-04,2.7195,0.2284,0.1714,0,1,3.3745,1e-04,0.401,0,3e-04,2.3286,0.4911,4e-04,0.2959,0,0.0013,3e-04,0.246,1e-04,8e-04,2.9705,0.1022,0.2448,0.0377,0.4,2.2553,532.654,"TRUE",0.23,0.01,0.63,1.35,"EagleUP_1.565.350"
"SAT11/random/large/unif-k3-r4.2-v15000-c63000-S980027332-029-UNKNOWN.cnf",15000,63000,14607,62536,0.0269,0.0074,0.2336,0.4939,0.5877,0,0.7124,2e-04,0.0643,2e-04,4e-04,0.1614,0.9634,2e-04,0.2863,0,6e-04,2.706,0.2288,0.1699,0,1,3.3644,1e-04,0.4016,0,4e-04,2.3267,0.4894,4e-04,0.2897,1e-04,0.0011,3e-04,0.2426,1e-04,9e-04,2.9552,0.1023,0.2409,0.037,0.4,2.2421,1722.55,"TRUE",0.23,0.02,0.61,1.34,"EagleUP_1.565.350"
"SAT11/random/large/unif-k3-r4.2-v20000-c84000-S1204913987-029-UNKNOWN.cnf",20000,84000,19469,83386,0.0273,0.0074,0.2335,0.4947,0.5878,0,0.7211,2e-04,0.0667,2e-04,3e-04,0.1679,0.9621,2e-04,0.2914,0,5e-04,2.7207,0.2266,0.1709,0,1,3.3742,1e-04,0.4032,0,3e-04,2.3334,0.4905,3e-04,0.295,0,0.001,2e-04,0.2435,1e-04,6e-04,2.9632,0.1019,0.2426,0.0377,0.3333,2.2425,1042.69,"TRUE",0.33,0.01,1.08,1.85,"sparrow2011_sparrow2011_ubcsat1.2_2011.03.02"
"SAT11/random/large/unif-k3-r4.2-v20000-c84000-S1298436766-097-UNKNOWN.cnf",20000,84000,19534,83430,0.0239,0.0068,0.2341,0.4938,0.5871,0,0.6994,2e-04,0.0614,2e-04,3e-04,0.1471,0.9679,2e-04,0.2889,0,4e-04,2.7065,0.2259,0.1686,0,1,3.3583,1e-04,0.3973,0,2e-04,2.3167,0.4912,3e-04,0.292,0,9e-04,2e-04,0.242,1e-04,6e-04,2.9518,0.1023,0.2397,0.0385,0.3333,2.2392,5000,"FALSE",0.33,0.02,1.09,1.86,"EagleUP_1.565.350"
"SAT11/random/large/unif-k3-r4.2-v20000-c84000-S1778371838-017-UNKNOWN.cnf",20000,84000,19520,83458,0.0246,0.0065,0.2339,0.4961,0.5879,0,0.7102,2e-04,0.0631,2e-04,3e-04,0.1545,0.9658,2e-04,0.2899,0,5e-04,2.7113,0.2283,0.1713,0,1,3.3551,1e-04,0.3964,0,3e-04,2.3258,0.4954,3e-04,0.2932,0,0.001,2e-04,0.2454,0,7e-04,2.9656,0.1024,0.244,0.0351,0.4,2.2515,5000,"FALSE",0.32,0.01,1.08,1.83,"sparrow2011_sparrow2011_ubcsat1.2_2011.03.02"
"SAT11/random/large/unif-k3-r4.2-v20000-c84000-S313385224-076-UNKNOWN.cnf",20000,84000,19525,83454,0.0243,0.0065,0.234,0.4973,0.5864,0,0.7101,2e-04,0.0635,2e-04,3e-04,0.1549,0.9658,2e-04,0.2889,0,5e-04,2.7108,0.2287,0.1717,0,1,3.3627,1e-04,0.4015,0,3e-04,2.3345,0.4935,3e-04,0.2925,0,0.001,2e-04,0.2436,1e-04,7e-04,2.9589,0.1024,0.2421,0.0357,0.3333,2.2471,346.083,"TRUE",0.32,0.01,1.09,1.83,"sparrow2011_sparrow2011_ubcsat1.2_2011.03.02"
"SAT11/random/large/unif-k3-r4.2-v20000-c84000-S357264423-067-UNKNOWN.cnf",20000,84000,19502,83418,0.0255,0.007,0.2338,0.4951,0.5876,0,0.708,2e-04,0.0628,2e-04,3e-04,0.1552,0.9653,2e-04,0.2891,0,5e-04,2.712,0.2265,0.1686,0,1,3.3593,1e-04,0.3965,0,3e-04,2.3228,0.4928,3e-04,0.2926,0,0.0011,2e-04,0.2428,1e-04,6e-04,2.9583,0.102,0.2411,0.0377,0.2857,2.2422,5000,"FALSE",0.32,0.01,1.1,1.87,"sparrow2011_sparrow2011_ubcsat1.2_2011.03.02"
"SAT11/random/large/unif-k3-r4.2-v20000-c84000-S493397373-056-UNKNOWN.cnf",20000,84000,19529,83502,0.0241,0.006,0.2339,0.4967,0.5864,0,0.7066,2e-04,0.0626,2e-04,3e-04,0.1527,0.9662,2e-04,0.2913,0,4e-04,2.7153,0.2258,0.1703,0,1,3.3535,1e-04,0.403,0,3e-04,2.3404,0.4949,3e-04,0.2945,0,9e-04,2e-04,0.2446,0,7e-04,2.9649,0.1021,0.2429,0.0345,0.4,2.2476,1226.58,"TRUE",0.33,0.01,1.09,1.86,"EagleUP_1.565.350"
"SAT11/random/large/unif-k3-r4.2-v20000-c84000-S525505471-054-UNKNOWN.cnf",20000,84000,19487,83408,0.0263,0.0071,0.2336,0.4938,0.5877,0,0.7122,2e-04,0.0641,2e-04,3e-04,0.1601,0.9639,2e-04,0.2878,0,4e-04,2.7078,0.2292,0.1712,0,1,3.3725,1e-04,0.3962,0,2e-04,2.3254,0.4938,3e-04,0.2912,0,8e-04,2e-04,0.2442,1e-04,6e-04,2.9658,0.1023,0.2443,0.0408,0.3333,2.2512,505.292,"TRUE",0.33,0.01,1.09,1.91,"EagleUP_1.565.350"
"SAT11/random/large/unif-k3-r4.2-v20000-c84000-S840292785-048-UNKNOWN.cnf",20000,84000,19496,83430,0.0259,0.0068,0.2337,0.4949,0.5885,0,0.7166,2e-04,0.0647,2e-04,3e-04,0.1621,0.9634,2e-04,0.2889,0,5e-04,2.7048,0.2272,0.171,0,1,3.3668,1e-04,0.3977,0,3e-04,2.3243,0.4931,3e-04,0.2926,0,0.001,2e-04,0.2469,0,7e-04,2.9725,0.1021,0.2449,0.0357,0.4,2.2534,5000,"FALSE",0.32,0.02,1.09,1.87,"sparrow2011_sparrow2011_ubcsat1.2_2011.03.02"
"SAT11/random/large/unif-k3-r4.2-v20000-c84000-S878494004-057-UNKNOWN.cnf",20000,84000,19497,83374,0.0258,0.0075,0.2338,0.4962,0.587,0,0.7092,2e-04,0.063,2e-04,3e-04,0.1548,0.9656,2e-04,0.2886,0,4e-04,2.7115,0.2272,0.1702,0,1,3.3662,1e-04,0.3997,0,3e-04,2.3304,0.4929,3e-04,0.2922,1e-04,8e-04,2e-04,0.2419,1e-04,6e-04,2.9569,0.1022,0.2425,0.0385,0.3333,2.2411,234.547,"TRUE",0.31,0.02,1.08,1.83,"EagleUP_1.565.350"
"SAT11/random/large/unif-k3-r4.2-v20000-c84000-S921718479-079-UNKNOWN.cnf",20000,84000,19513,83511,0.025,0.0059,0.2337,0.4945,0.5875,0,0.7057,2e-04,0.0628,2e-04,3e-04,0.1553,0.9652,2e-04,0.2888,0,4e-04,2.7133,0.2265,0.1712,0,1,3.3605,1e-04,0.397,0,3e-04,2.3288,0.4945,3e-04,0.2923,0,8e-04,2e-04,0.2436,1e-04,6e-04,2.9636,0.1021,0.2436,0.04,0.3333,2.2452,2461.22,"TRUE",0.32,0.01,1.09,1.9,"sparrow2011_sparrow2011_ubcsat1.2_2011.03.02"
"SAT11/random/large/unif-k3-r4.2-v2500-c10500-S1201761407-024-UNKNOWN.cnf",2500,10500,2452,10457,0.0196,0.0041,0.2345,0.4956,0.5857,0,0.6762,0.0012,0.0554,0.0012,0.002,0.1268,0.9731,0.0012,0.2815,3e-04,0.0027,2.6867,0.227,0.1687,0,1,3.3375,6e-04,0.387,0,0.0016,2.291,0.4909,0.0025,0.283,6e-04,0.0054,0.0019,0.2365,7e-04,0.0041,2.9246,0.1041,0.2372,0.0488,0.2545,2.2415,19.2451,"TRUE",0.02,0.01,0.02,0.19,"EagleUP_1.565.350"
"SAT11/random/large/unif-k3-r4.2-v2500-c10500-S1300417189-038-UNKNOWN.cnf",2500,10500,2446,10438,0.0221,0.0059,0.2343,0.4977,0.5858,0,0.6996,0.0012,0.0602,0.0012,0.002,0.1426,0.9692,0.0012,0.2834,3e-04,0.0028,2.6888,0.2277,0.1725,0,1,3.336,6e-04,0.4017,0,0.0016,2.3199,0.4904,0.0025,0.2847,6e-04,0.0056,0.0019,0.2408,6e-04,0.0042,2.9495,0.1043,0.2442,0.0455,0.3056,2.2597,5000,"FALSE",0.02,0,0.02,0.2,"SAT09referencesolverTNM_2009.03.22"
"SAT11/random/large/unif-k3-r4.2-v2500-c10500-S1907658523-004-UNKNOWN.cnf",2500,10500,2425,10396,0.0309,0.01,0.2333,0.4938,0.5923,0,0.7368,0.0013,0.0718,0.0012,0.0025,0.1802,0.9586,0.0013,0.2941,3e-04,0.0032,2.7216,0.2275,0.1738,0,1,3.3635,6e-04,0.4019,0,0.0018,2.3155,0.4874,0.0025,0.2979,6e-04,0.0064,0.0019,0.2517,6e-04,0.0058,2.9907,0.1029,0.2479,0.0333,0.2857,2.2794,5000,"FALSE",0.03,0,0.01,0.2,"sparrow2011_sparrow2011_ubcsat1.2_2011.03.02"
"SAT11/random/large/unif-k3-r4.2-v2500-c10500-S374960214-041-UNKNOWN.cnf",2500,10500,2448,10451,0.0212,0.0047,0.2342,0.4971,0.586,0,0.6909,0.0012,0.0589,0.0012,0.002,0.1341,0.9719,0.0012,0.282,5e-04,0.0029,2.6799,0.2188,0.17,0,1,3.3074,6e-04,0.3881,0,0.0018,2.3001,0.4933,0.0025,0.2843,0.001,0.0058,0.0019,0.238,6e-04,0.0044,2.9344,0.1033,0.2379,0.0435,0.2857,2.2418,19.741,"TRUE",0.02,0.01,0.01,0.2,"EagleUP_1.565.350"
"SAT11/random/large/unif-k3-r4.2-v2500-c10500-S49783605-066-UNKNOWN.cnf",2500,10500,2421,10419,0.0326,0.0078,0.2324,0.4894,0.5925,0,0.7496,0.0013,0.0724,0.0012,0.0021,0.1989,0.9513,0.0013,0.3013,4e-04,0.0035,2.7404,0.2273,0.1683,0,1,3.3728,6e-04,0.3964,1e-04,0.0019,2.3266,0.495,0.0026,0.3038,8e-04,0.0069,0.0019,0.2519,7e-04,0.0047,3.0011,0.1017,0.2451,0.04,0.25,2.2691,18.9361,"TRUE",0.02,0.01,0.01,0.21,"sparrow2011_sparrow2011_ubcsat1.2_2011.03.02"
"SAT11/random/large/unif-k3-r4.2-v2500-c10500-S705365444-036-UNKNOWN.cnf",2500,10500,2436,10419,0.0263,0.0078,0.2338,0.4941,0.5863,0,0.715,0.0012,0.0676,0.0012,0.0021,0.1618,0.965,0.0012,0.2894,3e-04,0.0029,2.7071,0.2218,0.1674,0,1,3.3303,6e-04,0.3924,1e-04,0.002,2.3162,0.4958,0.0025,0.2925,6e-04,0.006,0.0019,0.2416,5e-04,0.0043,2.9516,0.1028,0.2411,0.0435,0.3333,2.246,118.676,"TRUE",0.02,0.01,0.01,0.2,"EagleUP_1.565.350"
"SAT11/random/large/unif-k3-r4.2-v2500-c10500-S722024572-014-UNKNOWN.cnf",2500,10500,2420,10414,0.0331,0.0083,0.2324,0.4894,0.5935,0,0.7459,0.0013,0.073,0.0012,0.0025,0.1965,0.9529,0.0013,0.2948,3e-04,0.003,2.7369,0.2305,0.1746,0,1,3.3662,6e-04,0.4021,0,0.0016,2.3409,0.4911,0.0026,0.2976,6e-04,0.0063,0.0019,0.2506,5e-04,0.0055,3.0003,0.1019,0.2488,0.0351,0.3333,2.2731,17.3454,"TRUE",0.02,0.01,0.01,0.2,"EagleUP_1.565.350"
"SAT11/random/large/unif-k3-r4.2-v2500-c10500-S882087907-088-UNKNOWN.cnf",2500,10500,2442,10434,0.0238,0.0063,0.234,0.4933,0.5844,0,0.6954,0.0012,0.0667,0.0012,0.0025,0.1508,0.968,0.0012,0.2901,2e-04,0.0035,2.7012,0.2275,0.1712,0,1,3.3126,6e-04,0.3962,0,0.0016,2.316,0.4918,0.0025,0.2929,4e-04,0.0073,0.0019,0.2441,6e-04,0.0042,2.9587,0.1035,0.2452,0.0455,0.2857,2.2646,25.6241,"TRUE",0.02,0,0.02,0.2,"EagleUP_1.565.350"
"SAT11/random/large/unif-k3-r4.2-v2500-c10500-S89508070-083-UNKNOWN.cnf",2500,10500,2431,10422,0.0284,0.0075,0.2333,0.4959,0.5881,0,0.7271,0.0013,0.0674,0.0012,0.0021,0.172,0.9607,0.0013,0.2972,2e-04,0.0031,2.7371,0.2378,0.1765,0,1,3.4018,6e-04,0.3975,0,0.002,2.3246,0.4924,0.0025,0.3003,4e-04,0.0061,0.0019,0.2529,5e-04,0.0043,2.9981,0.1036,0.2536,0.0444,0.3333,2.2971,17.2434,"TRUE",0.02,0.01,0.02,0.19,"EagleUP_1.565.350"
"SAT11/random/large/unif-k3-r4.2-v2500-c10500-S924370159-018-UNKNOWN.cnf",2500,10500,2433,10427,0.0275,0.007,0.2333,0.4992,0.5879,0,0.7363,0.0013,0.0694,0.0012,0.0021,0.1778,0.9593,0.0013,0.3017,4e-04,0.0035,2.7449,0.2271,0.168,0,1,3.3491,6e-04,0.3949,0,0.0017,2.3085,0.4891,0.0025,0.3041,8e-04,0.0072,0.0019,0.2503,6e-04,0.0049,2.9941,0.1023,0.2484,0.0385,0.2857,2.2762,18.3352,"TRUE",0.02,0.01,0.01,0.2,"sparrow2011_sparrow2011_ubcsat1.2_2011.03.02"
"SAT11/random/large/unif-k3-r4.2-v25000-c105000-S109959541-056-UNKNOWN.cnf",24999,105000,24383,104285,0.0253,0.0069,0.2338,0.4966,0.5877,0,0.7157,1e-04,0.0648,1e-04,3e-04,0.1601,0.9643,1e-04,0.2926,0,4e-04,2.7213,0.2253,0.1702,0,1,3.3555,1e-04,0.3968,0,2e-04,2.3284,0.4945,3e-04,0.2962,0,8e-04,2e-04,0.2453,0,5e-04,2.9696,0.1019,0.2437,0.0357,0.3333,2.2484,5000,"FALSE",0.41,0.02,1.72,2.35,"sparrow2011_sparrow2011_ubcsat1.2_2011.03.02"
