"id","cheap.pattern.time","cheap.pattern.vertices","cheap.pattern.edges","cheap.pattern.loops","cheap.pattern.meandeg","cheap.pattern.maxdeg","cheap.pattern.degisfixed","cheap.pattern.density","cheap.target.time","cheap.target.vertices","cheap.target.edges","cheap.target.loops","cheap.target.meandeg","cheap.target.maxdeg","cheap.target.degisfixed","cheap.target.density","distance.pattern.time","distance.pattern.isconnected","distance.pattern.meandistance","distance.pattern.maxdistance","distance.pattern.proportiondistancege2","distance.pattern.proportiondistancege3","distance.pattern.proportiondistancege4","distance.target.time","distance.target.isconnected","distance.target.meandistance","distance.target.maxdistance","distance.target.proportiondistancege2","distance.target.proportiondistancege3","distance.target.proportiondistancege4","glasgow4","glasgow4_success","cheap_pattern","cheap_target","distance_pattern","distance_target","Class"
"A.12",0,180,487,0,5.41111,8,0,0.03023,0,200,600,0,6,8,0,0.030151,2,1,3.28299,6,0.964383,0.83321,0.431975,3,1,3.17583,5,0.965,0.822,0.36655,104,TRUE,0,0,3,3,"glasgow1"
"A.13",0,180,484,0,5.37778,8,0,0.030044,0,200,595,0,5.95,8,0,0.0299,2,1,3.28405,5,0.964568,0.836111,0.434877,3,1,3.16879,5,0.96525,0.8241,0.36025,97,TRUE,0,0,3,3,"glasgow1"
"A.14",0,180,497,0,5.52222,8,0,0.03085,0,200,617,0,6.17,8,0,0.031005,2,1,3.21924,5,0.963765,0.826728,0.396235,3,1,3.11533,5,0.96415,0.81115,0.3251,136,TRUE,0,0,3,3,"glasgow1"
"A.15",0,180,479,0,5.32222,8,0,0.029733,0,200,596,0,5.96,8,0,0.02995,2,1,3.29243,5,0.964877,0.838025,0.441111,3,1,3.17035,5,0.9652,0.82285,0.36275,111,TRUE,0,0,3,3,"glasgow1"
"A.16",0,180,486,0,5.4,8,0,0.030168,0,200,610,0,6.1,8,0,0.030653,2,1,3.28957,5,0.964444,0.835802,0.438951,3,1,3.14744,5,0.9645,0.8174,0.3484,123,TRUE,0,0,3,3,"glasgow1"
"A.17",0,180,488,0,5.42222,8,0,0.030292,0,200,602,0,6.02,8,0,0.030251,2,1,3.2851,6,0.964321,0.833889,0.433889,3,1,3.16638,5,0.9649,0.82075,0.3602,146,TRUE,0,0,3,3,"glasgow1"
"A.18",0,180,493,0,5.47778,8,0,0.030602,0,200,608,0,6.08,8,0,0.030553,2,1,3.26921,6,0.964012,0.831481,0.427593,3,1,3.1695,5,0.9646,0.8194,0.3649,111,TRUE,0,0,3,3,"glasgow1"
"A.19",0,180,478,0,5.31111,8,0,0.029671,0,200,597,0,5.97,8,0,0.03,2,1,3.31248,5,0.964938,0.839506,0.453272,3,1,3.18698,5,0.96515,0.82395,0.37565,118,TRUE,0,0,3,3,"glasgow1"
"A.20",0,180,485,0,5.38889,8,0,0.030106,0,200,597,0,5.97,8,0,0.03,2,1,3.28386,6,0.964506,0.835309,0.437037,3,1,3.17608,5,0.96515,0.82355,0.36725,99,TRUE,0,0,3,3,"glasgow1"
"B.01",0,540,1457,0,5.3963,8,0,0.010012,0,600,1796,0,5.98667,8,0,0.009994,26,1,3.99975,6,0.988155,0.942346,0.757353,34,1,3.84228,6,0.988356,0.938017,0.71755,1019,TRUE,0,0,34,34,"glasgow1"
"B.02",0,540,1470,0,5.44444,8,0,0.010101,0,600,1815,0,6.05,8,0,0.0101,26,1,3.98947,7,0.988066,0.941968,0.755069,36,1,3.82897,6,0.98825,0.93705,0.7123,1045,TRUE,0,0,36,36,"glasgow1"
"B.03",0,540,1471,0,5.44815,8,0,0.010108,0,600,1817,0,6.05667,8,0,0.010111,25,1,3.97607,7,0.988059,0.941639,0.752215,35,1,3.81531,6,0.988239,0.936767,0.708667,1199,TRUE,0,0,35,35,"glasgow1"
"B.04",0,540,1448,0,5.36296,8,0,0.00995,0,600,1794,0,5.98,8,0,0.009983,25,1,4.01063,6,0.988217,0.94356,0.762016,34,1,3.84269,6,0.988367,0.938411,0.718122,1061,TRUE,0,0,34,34,"glasgow1"
"B.05",0,540,1476,0,5.46667,8,0,0.010142,0,600,1805,0,6.01667,8,0,0.010045,25,1,3.97551,6,0.988025,0.941543,0.752627,34,1,3.84205,6,0.988306,0.937894,0.717311,1016,TRUE,0,0,34,34,"glasgow1"
"B.06",0,540,1475,0,5.46296,8,0,0.010135,0,600,1808,0,6.02667,8,0,0.010061,25,1,3.96669,6,0.988032,0.941276,0.750103,35,1,3.82436,6,0.988289,0.937333,0.711828,1047,TRUE,0,0,35,35,"glasgow1"
"B.07",0,540,1468,0,5.43704,8,0,0.010087,0,600,1816,0,6.05333,8,0,0.010106,26,1,3.97605,6,0.98808,0.941845,0.752469,35,1,3.81516,6,0.988244,0.936689,0.70815,1151,TRUE,0,0,35,35,"glasgow1"
"B.08",0,540,1459,0,5.4037,8,0,0.010025,0,600,1791,0,5.97,8,0,0.009967,25,1,4.00175,6,0.988141,0.942579,0.758052,34,1,3.84997,6,0.988383,0.938544,0.72,1041,TRUE,0,0,34,34,"glasgow1"
"B.09",0,540,1448,0,5.36296,8,0,0.00995,0,600,1805,0,6.01667,8,0,0.010045,25,1,4.019,7,0.988217,0.943224,0.76216,34,1,3.83227,6,0.988306,0.937506,0.713483,1078,TRUE,0,0,34,34,"glasgow1"
"B.10",0,540,1484,0,5.4963,8,0,0.010197,0,600,1814,0,6.04667,8,0,0.010095,26,1,3.96149,6,0.98797,0.940844,0.747037,35,1,3.82125,6,0.988256,0.936939,0.709867,1127,TRUE,0,0,35,35,"glasgow1"
"B.11",0,540,1466,0,5.42963,8,0,0.010074,0,600,1804,0,6.01333,8,0,0.010039,25,1,3.9876,6,0.988093,0.941975,0.755192,35,1,3.84008,6,0.988311,0.937689,0.716167,1072,TRUE,0,0,35,35,"glasgow1"
"B.12",0,540,1454,0,5.38519,8,0,0.009991,0,600,1800,0,6,8,0,0.010017,24,1,3.99873,7,0.988176,0.942922,0.758649,35,1,3.82915,6,0.988333,0.937728,0.713506,1093,TRUE,0,0,35,35,"glasgow1"
"B.13",0,540,1461,0,5.41111,8,0,0.010039,0,600,1796,0,5.98667,8,0,0.009994,26,1,4.00245,7,0.988128,0.942503,0.75823,35,1,3.84549,6,0.988356,0.938228,0.718244,987,TRUE,0,0,35,35,"glasgow1"
"B.14",0,540,1466,0,5.42963,8,0,0.010074,0,600,1810,0,6.03333,8,0,0.010072,25,1,3.9832,7,0.988093,0.941893,0.752606,35,1,3.82239,6,0.988278,0.937028,0.710017,1096,TRUE,0,0,35,35,"glasgow1"
"B.15",0,540,1475,0,5.46296,8,0,0.010135,0,600,1813,0,6.04333,8,0,0.010089,26,1,3.97201,6,0.988032,0.941365,0.750405,35,1,3.82319,6,0.988261,0.937039,0.710833,1120,TRUE,0,0,35,35,"glasgow1"
"B.16",0,540,1466,0,5.42963,8,0,0.010074,0,600,1811,0,6.03667,8,0,0.010078,25,1,3.98981,6,0.988093,0.94216,0.755405,35,1,3.82628,6,0.988272,0.937,0.710644,1166,TRUE,0,0,35,35,"glasgow1"
"B.17",0,540,1456,0,5.39259,8,0,0.010005,0,600,1811,0,6.03667,8,0,0.010078,25,1,4.00545,7,0.988162,0.942915,0.759897,35,1,3.82366,6,0.988272,0.937111,0.711339,1120,TRUE,0,0,35,35,"glasgow1"
"B.18",0,540,1465,0,5.42593,8,0,0.010067,0,600,1801,0,6.00333,8,0,0.010022,26,1,3.9775,6,0.9881,0.941824,0.751982,34,1,3.83266,6,0.988328,0.937761,0.714433,999,TRUE,0,0,34,34,"glasgow1"
"B.19",0,540,1483,0,5.49259,8,0,0.01019,0,600,1811,0,6.03667,8,0,0.010078,26,1,3.95378,6,0.987977,0.940617,0.745933,34,1,3.81868,6,0.988272,0.93695,0.709644,1220,TRUE,0,0,34,34,"glasgow1"
"B.20",0,540,1455,0,5.38889,8,0,0.009998,0,600,1796,0,5.98667,8,0,0.009994,25,1,4.00007,6,0.988169,0.942853,0.758601,34,1,3.8405,6,0.988356,0.938094,0.716278,1610,TRUE,0,0,34,34,"glasgow1"
"C.01",1,900,2451,0,5.44667,8,0,0.006059,1,1000,3000,0,6,8,0,0.006006,90,1,4.31084,7,0.992837,0.9648,0.843827,123,1,4.14997,6,0.993,0.962386,0.818458,2908,TRUE,1,1,123,123,"glasgow1"
"C.02",1,900,2463,0,5.47333,8,0,0.006088,1,1000,3032,0,6.064,8,0,0.00607,89,1,4.29107,7,0.992807,0.964378,0.840644,122,1,4.12513,6,0.992936,0.961616,0.812844,3345,TRUE,1,1,122,122,"glasgow1"
"C.03",1,900,2440,0,5.42222,8,0,0.006031,1,1000,2991,0,5.982,8,0,0.005988,89,1,4.32655,7,0.992864,0.965128,0.846183,121,1,4.15916,6,0.993018,0.96264,0.820438,2878,TRUE,1,1,121,121,"glasgow1"
"C.04",1,900,2475,0,5.5,8,0,0.006118,1,1000,3048,0,6.096,8,0,0.006102,91,1,4.28118,7,0.992778,0.964027,0.838617,123,1,4.10957,6,0.992904,0.961154,0.809514,3321,TRUE,1,1,123,123,"glasgow1"
"C.05",1,900,2459,0,5.46444,8,0,0.006078,1,1000,3000,0,6,8,0,0.006006,91,1,4.30318,7,0.992817,0.964491,0.842306,123,1,4.15303,6,0.993,0.962334,0.818826,2800,TRUE,1,1,123,123,"glasgow1"
"C.06",1,900,2434,0,5.40889,8,0,0.006017,1,1000,3004,0,6.008,8,0,0.006014,89,1,4.3203,7,0.992879,0.965133,0.845973,123,1,4.14446,6,0.992992,0.962222,0.817426,3249,TRUE,1,1,123,123,"glasgow1"
"C.07",1,900,2467,0,5.48222,8,0,0.006098,1,1000,3043,0,6.086,8,0,0.006092,91,1,4.29758,7,0.992798,0.96443,0.841578,125,1,4.11726,6,0.992914,0.961288,0.81093,3398,TRUE,1,1,125,125,"glasgow1"
"C.08",1,900,2461,0,5.46889,8,0,0.006083,1,1000,3006,0,6.012,8,0,0.006018,89,1,4.29605,7,0.992812,0.964348,0.840627,122,1,4.14441,6,0.992988,0.962162,0.816908,2914,TRUE,1,1,122,122,"glasgow1"
"C.09",1,900,2445,0,5.43333,8,0,0.006044,1,1000,2985,0,5.97,8,0,0.005976,93,1,4.31141,7,0.992852,0.964881,0.843741,122,1,4.1602,6,0.99303,0.962682,0.820344,2764,TRUE,1,1,122,122,"glasgow1"
"C.10",1,900,2435,0,5.41111,8,0,0.006019,1,1000,3032,0,6.064,8,0,0.00607,91,1,4.32488,7,0.992877,0.965158,0.846015,124,1,4.12419,6,0.992936,0.96154,0.81257,3426,TRUE,1,1,124,124,"glasgow1"
"C.11",1,900,2460,0,5.46667,8,0,0.006081,1,1000,3021,0,6.042,8,0,0.006048,91,1,4.30633,7,0.992815,0.964612,0.842968,121,1,4.14026,6,0.992958,0.961964,0.81625,2997,TRUE,1,1,121,121,"glasgow1"
"C.12",1,900,2435,0,5.41111,8,0,0.006019,1,1000,2995,0,5.99,8,0,0.005996,91,1,4.31991,7,0.992877,0.965047,0.84496,122,1,4.15665,6,0.99301,0.962518,0.819532,3052,TRUE,1,1,122,122,"glasgow1"
"C.13",1,900,2464,0,5.47556,8,0,0.006091,1,1000,3044,0,6.088,8,0,0.006094,90,1,4.29338,7,0.992805,0.964501,0.841652,123,1,4.11566,6,0.992912,0.961338,0.81107,3260,TRUE,1,1,123,123,"glasgow1"
"C.14",1,900,2443,0,5.42889,8,0,0.006039,1,1000,3022,0,6.044,8,0,0.00605,90,1,4.3164,7,0.992857,0.964946,0.844931,124,1,4.13383,6,0.992956,0.96186,0.81494,3198,TRUE,1,1,124,124,"glasgow1"
"C.15",1,900,2434,0,5.40889,8,0,0.006017,1,1000,2994,0,5.988,8,0,0.005994,90,1,4.32383,7,0.992879,0.965121,0.845783,122,1,4.15512,6,0.993012,0.962484,0.819318,2908,TRUE,1,1,122,122,"glasgow1"
"C.16",1,900,2463,0,5.47333,8,0,0.006088,1,1000,3015,0,6.03,8,0,0.006036,92,1,4.29953,7,0.992807,0.96443,0.841704,123,1,4.14117,6,0.99297,0.962036,0.816296,3413,TRUE,1,1,123,123,"glasgow1"
"C.17",1,900,2427,0,5.39333,8,0,0.005999,1,1000,2989,0,5.978,8,0,0.005984,90,1,4.34264,7,0.992896,0.96543,0.848533,122,1,4.16729,6,0.993022,0.9627,0.821508,2906,TRUE,1,1,122,122,"glasgow1"
"C.18",1,900,2424,0,5.38667,8,0,0.005992,1,1000,2976,0,5.952,8,0,0.005958,90,1,4.33491,7,0.992904,0.965407,0.847573,122,1,4.16967,6,0.993048,0.96294,0.822674,2937,TRUE,1,1,122,122,"glasgow1"
"C.19",1,900,2453,0,5.45111,8,0,0.006064,1,1000,3020,0,6.04,8,0,0.006046,91,1,4.30435,7,0.992832,0.964612,0.84239,124,1,4.13341,6,0.99296,0.961864,0.814528,2992,TRUE,1,1,124,124,"glasgow1"
"C.20",1,900,2478,0,5.50667,8,0,0.006125,1,1000,3024,0,6.048,8,0,0.006054,91,1,4.2767,7,0.99277,0.963946,0.838351,125,1,4.12789,6,0.992952,0.961728,0.813996,3041,TRUE,1,1,125,125,"glasgow1"
"E.01",0,270,5666,2,41.963,223,0,0.156024,0,300,6752,0,45.0133,269,0,0.150546,21,1,1.84431,3,0.840905,0.000274,0,30,1,1.84957,3,0.846622,0.000111,0,62817,TRUE,0,0,30,30,"glasgow1"
"E.02",0,270,5089,3,37.6852,198,0,0.140135,0,300,6581,0,43.8733,243,0,0.146734,22,1,1.86262,3,0.856763,0.002661,0,30,1,1.8536,3,0.850422,0.000333,0,48638,TRUE,0,0,30,30,"lad"
"E.03",0,270,5176,2,38.3333,206,0,0.142531,0,300,6207,0,41.38,249,0,0.138395,21,1,1.85987,3,0.854348,0.002332,0,29,1,1.86308,3,0.858733,0.001467,0,41763,TRUE,0,0,29,29,"glasgow1"
"E.04",0,270,5510,1,40.8111,220,0,0.151728,0,300,6621,0,44.14,274,0,0.147625,22,1,1.84902,3,0.845158,0.000713,0,29,1,1.85244,3,0.849533,6.7e-05,0,61620,TRUE,0,0,29,29,"glasgow1"
"E.05",0,270,5067,1,37.5296,231,0,0.139529,0,300,6829,0,45.5267,282,0,0.152263,21,1,1.86154,3,0.857311,0.001043,0,30,1,1.84774,2,0.844911,0,0,59824,TRUE,0,0,30,30,"glasgow1"
"E.06",0,270,5485,1,40.6259,222,0,0.15104,0,300,6641,0,44.2733,277,0,0.148071,22,1,1.85067,3,0.845844,0.001674,0,30,1,1.85235,3,0.849089,0.000422,0,53463,TRUE,0,0,30,30,"lad"
"E.07",0,270,5388,2,39.9037,183,0,0.148368,0,300,6563,0,43.7533,222,0,0.146332,22,1,1.8554,3,0.848532,0.003704,0,30,1,1.85641,3,0.850822,0.002733,0,46500,TRUE,0,0,30,30,"lad"
"E.08",0,270,4996,2,37,191,0,0.137574,0,300,6394,0,42.6267,239,0,0.142564,20,1,1.86592,3,0.859287,0.003429,0,30,1,1.85799,3,0.854578,0.000556,0,43559,TRUE,0,0,30,30,"glasgow1"
"E.09",0,270,5536,2,41,233,0,0.152444,0,300,6758,0,45.0533,282,0,0.15068,23,1,1.84789,3,0.844472,0.000274,0,29,1,1.84943,3,0.846489,0.000111,0,63130,TRUE,0,0,29,29,"glasgow1"
"E.10",0,270,5525,0,40.9259,265,0,0.152141,0,300,6518,0,43.4533,295,0,0.145329,22,1,1.84786,2,0.844719,0,0,30,1,1.85467,2,0.851822,0,0,59085,TRUE,0,0,30,30,"glasgow1"
"E.11",0,270,4843,1,35.8704,230,0,0.133361,0,300,6126,0,40.84,282,0,0.136589,21,1,1.87333,3,0.863457,0.006639,0,29,1,1.86439,3,0.860533,0.000978,0,30476,TRUE,0,0,29,29,"glasgow1"
"E.12",0,270,5480,3,40.5815,197,0,0.150902,0,300,6891,0,45.94,241,0,0.153645,22,1,1.85009,3,0.846036,0.000905,0,30,1,1.84638,3,0.843533,2.2e-05,0,62839,TRUE,0,0,30,30,"glasgow1"
"E.13",0,270,5808,4,43.0074,218,0,0.159934,0,300,7104,0,47.36,270,0,0.158395,22,1,1.84117,3,0.837064,0.000988,0,30,1,1.84178,3,0.8388,0.000178,0,72435,TRUE,0,0,30,30,"lad"
"E.14",0,270,5001,1,37.0407,192,0,0.137712,0,300,6524,0,43.4933,235,0,0.145463,22,1,1.86854,3,0.859122,0.0062,0,30,1,1.85592,3,0.851689,0.001378,0,43010,TRUE,0,0,30,30,"glasgow1"
"E.15",0,270,5504,1,40.7667,186,0,0.151563,0,300,6657,0,44.38,236,0,0.148428,22,1,1.85086,3,0.845322,0.002387,0,30,1,1.85188,3,0.848733,0.000311,0,54606,TRUE,0,0,30,30,"glasgow1"
"E.16",0,270,5288,3,39.1593,238,0,0.145615,0,300,6803,0,45.3533,293,0,0.151683,21,1,1.85463,3,0.851303,0.000165,0,30,1,1.84832,2,0.845489,0,0,59985,TRUE,0,0,30,30,"lad"
"E.17",0,270,4990,1,36.9593,234,0,0.137409,0,300,6521,0,43.4733,295,0,0.145396,22,1,1.86344,3,0.859424,0.000823,0,30,1,1.85465,3,0.851756,4.4e-05,0,44920,TRUE,0,0,30,30,"lad"
"E.18",0,270,5130,2,37.9926,187,0,0.141264,0,300,6283,0,41.8867,226,0,0.140089,22,1,1.86579,3,0.85561,0.006968,0,31,1,1.86317,3,0.857044,0.003244,0,34712,TRUE,0,0,31,31,"glasgow1"
"E.19",0,270,5124,5,37.937,236,0,0.141099,0,300,6079,0,40.5267,294,0,0.135541,21,1,1.85951,3,0.855857,0.000466,0,29,1,1.86446,2,0.861578,0,0,45075,TRUE,0,0,29,29,"lad"
"E.20",0,270,5534,1,40.9889,183,0,0.152389,0,300,6596,0,43.9733,235,0,0.147068,22,1,1.84921,3,0.844499,0.001564,0,30,1,1.85389,3,0.850089,0.000956,0,52639,TRUE,0,0,30,30,"lad"
"F.01",0,270,5184,0,38.4,262,0,0.142751,0,300,6179,0,41.1933,291,0,0.13777,21,1,1.85747,3,0.854074,0.000219,0,30,1,1.86239,3,0.859356,0.000156,0,44081,TRUE,0,0,30,30,"glasgow1"
"F.02",0,270,5768,0,42.7259,267,0,0.158832,0,300,6941,0,46.2733,297,0,0.15476,23,1,1.84117,2,0.838052,0,0,30,1,1.84524,2,0.842422,0,0,73622,TRUE,0,0,30,30,"glasgow1"
"F.03",0,270,5490,0,40.6667,260,0,0.151177,0,300,6391,0,42.6067,289,0,0.142497,22,1,1.84904,3,0.845679,0.000219,0,30,1,1.85773,3,0.854644,0.000222,0,54508,TRUE,0,0,30,30,"glasgow1"
"F.04",0,270,5359,0,39.6963,262,0,0.14757,0,300,6656,0,44.3733,291,0,0.148406,21,1,1.85243,2,0.849273,0,0,30,1,1.85173,3,0.848756,0.000133,0,57683,TRUE,0,0,30,30,"glasgow1"
"F.05",0,270,5510,0,40.8148,225,0,0.151728,0,300,6578,0,43.8533,251,0,0.146667,22,1,1.84844,3,0.84513,0.000165,0,30,1,1.85342,3,0.850489,8.9e-05,0,60442,TRUE,0,0,30,30,"glasgow1"
"F.06",0,270,5147,0,38.1259,239,0,0.141732,0,300,6538,0,43.5867,265,0,0.145775,21,1,1.85942,3,0.855089,0.001152,0,30,1,1.85458,3,0.851378,0.000356,0,51894,TRUE,0,0,30,30,"glasgow1"
"F.07",0,270,5257,0,38.9407,242,0,0.144761,0,300,6377,0,42.5133,267,0,0.142185,22,1,1.85538,3,0.852071,0.000137,0,29,1,1.85793,3,0.854956,0.000111,0,50151,TRUE,0,0,29,29,"glasgow1"
"F.08",0,270,5778,0,42.8,239,0,0.159108,0,300,7137,0,47.58,266,0,0.15913,22,1,1.84089,2,0.837778,0,0,30,1,1.84087,2,0.838067,0,0,83356,TRUE,0,0,30,30,"glasgow1"
"F.09",0,270,5515,0,40.8519,269,0,0.151866,0,300,6758,0,45.0533,299,0,0.15068,22,1,1.84813,2,0.844993,0,0,30,1,1.84932,2,0.846489,0,0,62201,TRUE,0,0,30,30,"glasgow1"
"F.10",0,270,5874,3,43.5,236,0,0.161751,0,300,6935,0,46.2333,296,0,0.154627,22,1,1.83844,3,0.835226,0.00011,0,30,1,1.84537,2,0.842556,0,0,71330,TRUE,0,0,30,30,"lad"
"F.11",0,270,5978,0,44.2815,268,0,0.164615,0,300,6836,0,45.5733,297,0,0.152419,21,1,1.83541,3,0.832291,2.7e-05,0,31,1,1.8476,3,0.844756,2.2e-05,0,68349,TRUE,0,0,31,31,"glasgow1"
"F.12",0,270,5782,0,42.8296,228,0,0.159218,0,300,6777,0,45.18,253,0,0.151104,22,1,1.84122,3,0.837668,0.000439,0,30,1,1.84932,3,0.846067,0.000422,0,64314,TRUE,0,0,30,30,"glasgow1"
"F.13",0,270,5251,0,38.8963,209,0,0.144596,0,300,6643,0,44.2867,232,0,0.148116,21,1,1.85667,3,0.852236,0.001262,0,30,1,1.85217,3,0.849044,0.000289,0,56974,TRUE,0,0,30,30,"glasgow1"
"F.14",0,270,5391,0,39.9333,231,0,0.148451,0,300,6397,0,42.6467,255,0,0.142631,22,1,1.8521,3,0.848395,0.000549,0,30,1,1.85779,3,0.854511,0.000422,0,49603,TRUE,0,0,30,30,"glasgow1"
"F.15",0,270,5192,0,38.4593,249,0,0.142971,0,300,6224,0,41.4933,274,0,0.138774,22,1,1.85744,3,0.853855,0.000412,0,29,1,1.86165,3,0.858356,0.000422,0,43472,TRUE,0,0,29,29,"glasgow1"
"F.16",0,270,5900,0,43.7037,268,0,0.162467,0,300,6996,0,46.64,298,0,0.155987,23,1,1.83753,2,0.834431,0,0,30,1,1.84401,2,0.8412,0,0,78751,TRUE,0,0,30,30,"glasgow1"
"F.17",0,270,5413,0,40.0963,259,0,0.149057,0,300,6481,0,43.2067,288,0,0.144504,23,1,1.85111,3,0.847791,0.000165,0,30,1,1.85563,3,0.852644,0.000133,0,58434,TRUE,0,0,30,30,"glasgow1"
"F.18",0,270,5963,0,44.1704,268,0,0.164202,0,300,7148,0,47.6533,298,0,0.159376,22,1,1.8358,2,0.832702,0,0,31,1,1.84062,2,0.837822,0,0,82587,TRUE,0,0,31,31,"glasgow1"
"F.19",0,270,5391,0,39.9333,268,0,0.148451,0,300,6435,0,42.9,298,0,0.143478,22,1,1.85155,2,0.848395,0,0,30,1,1.85652,2,0.853667,0,0,47693,TRUE,0,0,30,30,"glasgow1"
"F.20",0,270,5186,0,38.4148,222,0,0.142806,0,300,6568,0,43.7867,266,0,0.146444,22,1,1.85774,3,0.854019,0.000549,0,30,1,1.85367,3,0.850711,0.000111,0,54625,TRUE,0,0,30,30,"glasgow1"
"PR15-1",0,83,111,0,2.6747,4,0,0.032618,29,4838,7071,8,2.92146,4,0,0.000604,0,1,8.18513,23,0.955727,0.906082,0.837567,2275,1,47.0577,101,0.99919,0.998208,0.996824,1043,TRUE,0,29,2275,2275,"glasgow1"
"PR15-10",0,9,10,0,2.22222,3,0,0.277778,29,4838,7071,8,2.92146,4,0,0.000604,0,1,2.25,4,0.641975,0.37037,0.098765,2275,1,47.0577,101,0.99919,0.998208,0.996824,2446,TRUE,0,29,2275,2275,"vf2"
"PR15-11",0,5,6,0,2.4,3,0,0.6,29,4838,7071,8,2.92146,4,0,0.000604,0,1,1.4,2,0.32,0,0,2272,1,47.0577,101,0.99919,0.998208,0.996824,5307,TRUE,0,29,2272,2272,"vf2"
"PR15-12",0,7,9,0,2.57143,3,0,0.428571,29,4838,7071,8,2.92146,4,0,0.000604,0,1,1.71429,3,0.489796,0.122449,0,2226,1,47.0577,101,0.99919,0.998208,0.996824,3135,TRUE,0,29,2226,2226,"supplementallad"
"PR15-13",0,63,89,0,2.8254,4,0,0.045571,29,4838,7071,8,2.92146,4,0,0.000604,0,1,6.02304,15,0.939279,0.867725,0.768456,2276,1,47.0577,101,0.99919,0.998208,0.996824,17223,TRUE,0,29,2276,2276,"glasgow1"
"PR15-14",0,121,168,0,2.77686,4,0,0.023141,29,4838,7071,8,2.92146,4,0,0.000604,0,1,9.02479,20,0.968786,0.934226,0.888054,2272,1,47.0577,101,0.99919,0.998208,0.996824,8605,TRUE,0,29,2272,2272,"glasgow1"
"PR15-15",0,77,109,1,2.81818,4,0,0.037252,29,4838,7071,8,2.92146,4,0,0.000604,0,1,6.62714,14,0.950582,0.892899,0.817339,2271,1,47.0577,101,0.99919,0.998208,0.996824,25844,TRUE,0,29,2271,2271,"glasgow1"
