"id","Variable.Count","VPOPS.Mean","POPS.Count","PSS.Maximum","PSS.Mean","PSS.Standard.Deviation","VPOPS.Maximum","VPOPS.Standard.Deviation","Pattern.database.lower.bound.In.degree.Maximum","Pattern.database.lower.bound.In.degree.Mean","Pattern.database.lower.bound.In.degree.Standard.Deviation","Pattern.database.lower.bound.Leaf.Count","Pattern.database.lower.bound.NTC.Count","Pattern.database.lower.bound.NTC.Max","Pattern.database.lower.bound.NTC.Mean","Pattern.database.lower.bound.NTC.Standard.Deviation","Pattern.database.lower.bound.Out.degree.Maximum","Pattern.database.lower.bound.Out.degree.Mean","Pattern.database.lower.bound.Out.degree.Standard.Deviation","Pattern.database.lower.bound.Root.Count","Pattern.database.lower.bound.Total.Degree.Maximum","Pattern.database.lower.bound.Total.Degree.Mean","Pattern.database.lower.bound.Total.Degree.Standard.Deviation","Simple.lower.bound.In.degree.Maximum","Simple.lower.bound.In.degree.Mean","Simple.lower.bound.In.degree.Standard.Deviation","Simple.lower.bound.Leaf.Count","Simple.lower.bound.NTC.Count","Simple.lower.bound.NTC.Max","Simple.lower.bound.NTC.Mean","Simple.lower.bound.NTC.Standard.Deviation","Simple.lower.bound.Out.degree.Maximum","Simple.lower.bound.Out.degree.Mean","Simple.lower.bound.Out.degree.Standard.Deviation","Simple.lower.bound.Root.Count","Simple.lower.bound.Total.Degree.Maximum","Simple.lower.bound.Total.Degree.Mean","Simple.lower.bound.Total.Degree.Standard.Deviation","Greedy.hill.climbing.Error.bound","Greedy.hill.climbing.In.degree.Maximum","Greedy.hill.climbing.In.degree.Mean","Greedy.hill.climbing.In.degree.Standard.Deviation","Greedy.hill.climbing.Leaf.Count","Greedy.hill.climbing.Out.degree.Maximum","Greedy.hill.climbing.Out.degree.Mean","Greedy.hill.climbing.Out.degree.Standard.Deviation","Greedy.hill.climbing.Root.Count","Greedy.hill.climbing.Total.Degree.Maximum","Greedy.hill.climbing.Total.Degree.Mean","Greedy.hill.climbing.Total.Degree.Standard.Deviation","Anytime.window.A..Error.bound","Anytime.window.A..In.degree.Maximum","Anytime.window.A..In.degree.Mean","Anytime.window.A..In.degree.Standard.Deviation","Anytime.window.A..Leaf.Count","Anytime.window.A..Out.degree.Maximum","Anytime.window.A..Out.degree.Mean","Anytime.window.A..Out.degree.Standard.Deviation","Anytime.window.A..Root.Count","Anytime.window.A..Total.Degree.Maximum","Anytime.window.A..Total.Degree.Mean","Anytime.window.A..Total.Degree.Standard.Deviation","GOBNILP.Error.bound","GOBNILP.In.degree.Maximum","GOBNILP.In.degree.Mean","GOBNILP.In.degree.Standard.Deviation","GOBNILP.Leaf.Count","GOBNILP.Out.degree.Maximum","GOBNILP.Out.degree.Mean","GOBNILP.Out.degree.Standard.Deviation","GOBNILP.Root.Count","GOBNILP.Total.Degree.Maximum","GOBNILP.Total.Degree.Mean","GOBNILP.Total.Degree.Standard.Deviation","CPBayes.Error.bound","CPBayes.In.degree.Maximum","CPBayes.In.degree.Mean","CPBayes.In.degree.Standard.Deviation","CPBayes.Leaf.Count","CPBayes.Out.degree.Maximum","CPBayes.Out.degree.Mean","CPBayes.Out.degree.Standard.Deviation","CPBayes.Root.Count","CPBayes.Total.Degree.Maximum","CPBayes.Total.Degree.Mean","CPBayes.Total.Degree.Standard.Deviation","basic","basic_extended","lower_bounding","greedy_probing","A._probing","ILP_probing","CP_probing","Class"
"alarm_10000_bdeu-1-3",37,174.95,6473,3,2.49,0.65,473,160.78,3,2.08,0.89,8,6,6,4.17,1.72,7,2.08,1.89,2,10,4.16,2.51,3,2.32,0.85,3,6,17,5.67,5.75,8,2.32,1.86,1,11,4.65,2.45,44.24,3,1.78,0.98,9,5,1.78,1.62,5,8,3.57,1.86,40.42,3,1.24,1.01,12,5,1.24,1.21,12,6,2.49,1.37,5.69,3,1.46,0.9,13,6,1.46,1.54,6,6,2.92,1.75,0.7,3,1.22,0.95,16,5,1.22,1.38,11,6,2.43,1.3,0,0,0,5,5,5,6,"ilp.162"
"alarm_10000_bdeu-1-4",37,228.24,8445,4,2.85,0.86,715,225.19,4,2.19,1.05,7,5,9,5.2,2.49,7,2.19,1.84,2,10,4.38,2.56,4,2.65,1.18,2,3,17,11.67,5.51,8,2.65,1.92,1,12,5.3,2.92,44.76,4,1.49,1.15,11,5,1.49,1.48,10,7,2.97,1.72,40.96,3,1.24,1.01,12,5,1.24,1.21,12,6,2.49,1.37,5.27,3,1.49,0.84,15,8,1.49,1.77,5,9,2.97,1.79,0.7,3,1.19,0.97,15,5,1.19,1.29,12,6,2.38,1.32,0,0,0,5,5,5,6,"ilp.162"
"alarm_10000_bdeu-1-5",37,238.86,8838,5,2.94,0.95,740,237.42,5,2.22,1.11,7,5,9,5.2,2.49,7,2.22,1.86,2,11,4.43,2.64,5,2.7,1.27,2,3,17,11.67,5.51,8,2.7,1.98,1,13,5.41,3.08,44.05,3,1.49,0.9,14,7,1.49,1.74,6,9,2.97,1.8,40.99,3,1.24,1.01,12,5,1.24,1.21,12,6,2.49,1.37,5.33,4,1.51,0.9,14,7,1.51,1.64,5,8,3.03,1.79,0.7,3,1.22,0.95,16,5,1.22,1.38,11,6,2.43,1.3,0,0,0,5,5,5,6,"ilp.162"
"alarm_10000_bdeu-10-2",37,92.43,3420,2,1.84,0.4,208,62.96,2,1.86,0.35,8,7,6,3.43,1.81,6,1.86,1.48,0,8,3.73,1.61,2,1.89,0.31,6,9,6,3.22,1.48,7,1.89,1.58,0,9,3.78,1.67,38.33,2,1.46,0.77,10,5,1.46,1.5,6,7,2.92,1.48,34.07,2,1.51,0.73,12,5,1.51,1.41,5,6,3.03,1.36,2.63,2,1.62,0.59,14,6,1.62,1.77,2,8,3.24,1.72,4.1,2,1.54,0.73,11,5,1.54,1.43,5,6,3.08,1.28,0,0,0,4,5,5,6,"ilp.141"
"alarm_10000_bdeu-10-3",37,259.81,9613,3,2.59,0.61,700,225.98,3,2.27,0.69,7,6,6,4.17,1.72,7,2.27,1.81,0,10,4.54,2.23,3,2.46,0.69,2,6,17,5.67,5.75,8,2.46,1.83,0,11,4.92,2.25,44.89,3,1.68,1,9,7,1.68,1.72,6,7,3.35,1.62,41.49,3,1.62,0.83,11,5,1.62,1.46,5,6,3.24,1.42,6.85,3,1.81,0.81,11,9,1.81,2,2,10,3.62,2.02,4.5,3,1.59,0.96,11,6,1.59,1.52,7,6,3.19,1.52,0,0,0,5,5,5,6,"ilp.162"
"alarm_10000_bdeu-10-4",37,381.03,14098,4,3.04,0.83,1119,367.37,4,2.38,0.86,6,5,9,5.2,2.49,7,2.38,1.83,0,10,4.76,2.35,4,2.81,1.05,1,3,17,11.67,5.51,8,2.81,1.9,0,12,5.62,2.73,45.8,4,1.76,1.06,11,6,1.76,1.79,5,8,3.51,1.8,42.8,3,1.62,0.83,11,5,1.62,1.46,5,6,3.24,1.42,7.55,4,1.81,0.91,11,8,1.81,1.91,3,10,3.62,2.18,4.6,3,1.62,0.92,11,6,1.62,1.55,6,7,3.24,1.55,0,0,0,5,5,5,6,"ilp.162"
"alarm_10000_bdeu-10-5",37,407.08,15062,5,3.16,0.93,1227,400.39,5,2.41,0.93,6,5,9,5.2,2.49,7,2.41,1.85,0,11,4.81,2.42,5,2.89,1.17,0,3,18,12,6,8,2.89,1.94,0,13,5.78,2.91,45.81,4,1.81,1.1,9,8,1.81,1.81,6,8,3.62,1.98,42.85,3,1.62,0.83,11,5,1.62,1.46,5,6,3.24,1.42,7.44,4,1.76,0.89,9,7,1.76,1.74,3,8,3.51,1.82,4.6,3,1.54,0.99,11,5,1.54,1.45,8,6,3.08,1.44,0,0,0,5,5,5,6,"ilp.162.nc"
"alarm_10000_bdeu-100-2",37,345.81,12795,2,1.92,0.28,643,131.17,2,2,0,8,4,17,7,6.88,6,2,1.65,0,8,4,1.65,2,2,0,6,9,6,3.33,1.5,7,2,1.76,0,9,4,1.76,36.88,2,1.92,0.36,10,8,1.92,1.98,1,10,3.84,1.92,32.47,2,1.92,0.36,14,12,1.92,2.6,1,12,3.84,2.4,4.47,2,1.92,0.36,13,9,1.92,2.31,1,11,3.84,2.3,7.6,2,1.92,0.36,14,9,1.92,2.4,1,11,3.84,2.28,0,0,0,4,5,5,6,"astar.comp"
"alarm_10000_bic-2",37,71.7,2653,2,1.8,0.43,169,55.1,2,1.7,0.57,10,7,6,3.43,1.81,6,1.7,1.53,2,8,3.41,1.83,2,1.78,0.48,7,9,6,3.22,1.48,7,1.78,1.57,1,9,3.57,1.79,36.9,2,1.49,0.65,14,6,1.49,1.59,3,8,2.97,1.74,31.74,2,1.22,0.85,12,5,1.22,1.23,10,5,2.43,1.32,1.26,2,1.43,0.73,14,7,1.43,1.72,5,8,2.86,1.86,7.6,2,1.19,0.88,15,5,1.19,1.31,11,5,2.38,1.3,0,0,0,3,5,5,6,"ilp.162"
"alarm_10000_bic-3",37,133.03,4922,3,2.35,0.68,475,125,3,1.95,0.81,9,6,6,4.17,1.72,6,1.95,1.7,2,9,3.89,2.21,3,2.19,0.81,3,7,15,4.86,4.71,8,2.19,1.66,1,11,4.38,2.23,40.14,3,1.51,0.84,13,6,1.51,1.77,5,7,3.03,1.79,35.28,3,1.22,0.95,13,5,1.22,1.23,11,6,2.43,1.37,1.9,3,1.27,0.87,13,4,1.27,1.28,9,6,2.54,1.37,4.3,3,1.22,0.92,14,5,1.22,1.34,11,6,2.43,1.37,0,0,0,5,5,5,6,"ilp.141.nc"
"alarm_10000_bic-4",37,139.62,5166,4,2.43,0.75,574,136.94,3,1.95,0.81,9,6,6,4.17,1.72,6,1.95,1.7,2,9,3.89,2.21,4,2.24,0.89,3,5,17,6.8,5.89,8,2.24,1.64,1,11,4.49,2.27,41.15,4,1.62,0.89,16,8,1.62,2.07,4,10,3.24,2.15,36.47,3,1.22,0.95,13,5,1.22,1.23,11,6,2.43,1.37,2.49,3,1.54,0.8,12,5,1.54,1.64,5,7,3.08,1.69,4.3,3,1.22,0.92,14,5,1.22,1.34,11,6,2.43,1.37,0,0,0,5,5,5,6,"ilp.162.nc"
"alarm_1000_bdeu-0.1-2",37,26.43,978,2,1.6,0.56,74,19.75,2,1.7,0.52,9,8,6,3.13,1.46,6,1.7,1.53,1,8,3.41,1.83,2,1.73,0.51,8,9,5,3.22,1.2,6,1.73,1.54,1,8,3.46,1.8,29.47,2,1.38,0.68,11,6,1.38,1.46,4,8,2.76,1.48,26.38,2,1.27,0.77,12,5,1.27,1.26,7,6,2.54,1.37,0,2,1.27,0.77,13,5,1.27,1.33,7,6,2.54,1.37,0.2,2,1.24,0.76,15,5,1.24,1.36,7,5,2.49,1.33,0,0,0,2,6,1,1,"cpbayes"
"alarm_1000_bdeu-0.1-3",37,37.32,1381,3,2.01,0.79,152,35.27,3,1.92,0.8,10,6,9,4,2.9,7,1.92,1.74,1,10,3.84,2.29,3,2.08,0.83,4,7,8,4.71,2.06,7,2.08,1.75,1,10,4.16,2.37,32.09,3,1.38,0.86,11,5,1.38,1.38,7,6,2.76,1.46,28.51,3,1.35,0.86,12,6,1.35,1.34,7,6,2.7,1.45,0,3,1.35,0.86,12,6,1.35,1.34,7,6,2.7,1.45,2.4,3,1.3,0.81,14,5,1.3,1.35,7,6,2.59,1.44,0,0,0,3,5,1,6,"ilp.141"
"alarm_1000_bdeu-0.1-4",37,41.54,1537,4,2.21,0.96,182,41.7,4,1.97,0.9,9,6,10,4.17,3.25,7,1.97,1.72,1,10,3.95,2.33,4,2.35,1.18,3,5,12,6.6,3.71,7,2.35,1.72,1,11,4.7,2.72,32.23,3,1.35,0.79,13,5,1.35,1.38,6,7,2.7,1.53,28.85,3,1.35,0.86,13,6,1.35,1.4,7,6,2.7,1.45,0,3,1.35,0.86,12,6,1.35,1.34,7,6,2.7,1.45,1.9,3,1.3,0.81,14,5,1.3,1.35,7,6,2.59,1.44,0,0,0,3,5,1,6,"ilp.141"
"alarm_1000_bdeu-0.1-5",37,42.65,1578,5,2.29,1.05,184,43.16,4,1.97,0.9,9,6,10,4.17,3.25,7,1.97,1.72,1,10,3.95,2.33,5,2.41,1.28,3,5,12,6.6,3.71,7,2.41,1.77,1,12,4.81,2.85,32.96,3,1.43,0.8,12,6,1.43,1.5,5,8,2.86,1.67,28.85,3,1.35,0.86,12,6,1.35,1.34,7,6,2.7,1.45,0,3,1.35,0.86,12,6,1.35,1.34,7,6,2.7,1.45,1.9,3,1.3,0.81,14,5,1.3,1.35,7,6,2.59,1.44,0,0,0,3,5,0,6,"ilp.141"
"alarm_1000_bdeu-0.1-6",37,42.89,1587,6,2.31,1.08,184,43.46,4,1.97,0.9,9,6,10,4.17,3.25,7,1.97,1.72,1,10,3.95,2.33,5,2.41,1.28,3,5,12,6.6,3.71,7,2.41,1.77,1,12,4.81,2.85,32.89,3,1.46,0.84,12,6,1.46,1.61,5,8,2.92,1.74,28.85,3,1.35,0.86,12,6,1.35,1.34,7,6,2.7,1.45,0,3,1.35,0.86,12,6,1.35,1.34,7,6,2.7,1.45,1.9,3,1.3,0.81,14,5,1.3,1.35,7,6,2.59,1.44,0,0,0,3,5,0,6,"ilp.141"
"alarm_1000_bdeu-1-2",37,35.38,1309,2,1.66,0.53,89,25.07,2,1.73,0.51,9,8,6,3.13,1.46,6,1.73,1.56,1,8,3.46,1.83,2,1.78,0.48,8,9,6,3.22,1.48,7,1.78,1.67,1,9,3.57,1.88,33.14,2,1.41,0.72,15,5,1.41,1.52,5,6,2.81,1.54,29.51,2,1.41,0.72,11,5,1.41,1.3,5,6,2.81,1.39,0.21,2,1.35,0.72,12,5,1.35,1.36,5,6,2.7,1.35,7.6,2,1.3,0.81,14,5,1.3,1.33,8,6,2.59,1.4,0,0,0,2,5,3,6,"ilp.141"
"alarm_1000_bdeu-1-3",37,52.11,1928,3,2.09,0.76,184,46.64,3,1.97,0.76,9,7,6,3.43,1.81,7,1.97,1.83,1,10,3.95,2.37,3,2.19,0.81,4,6,12,5.5,3.56,8,2.19,1.84,1,11,4.38,2.43,36.08,2,1.41,0.69,14,5,1.41,1.46,4,7,2.81,1.61,31.28,3,1.41,0.76,11,5,1.41,1.28,5,6,2.81,1.37,0.1,3,1.3,0.85,11,5,1.3,1.22,8,6,2.59,1.26,1.8,3,1.35,0.82,13,5,1.35,1.3,7,6,2.7,1.45,0,0,0,3,5,3,6,"ilp.162"
"alarm_1000_bdeu-1-4",37,56.68,2097,4,2.24,0.9,219,53.98,3,1.97,0.76,9,7,6,3.43,1.81,7,1.97,1.83,1,10,3.95,2.37,4,2.35,1.03,3,3,26,11.33,12.74,8,2.35,1.86,1,11,4.7,2.71,36.33,4,1.54,0.77,13,8,1.54,1.79,3,8,3.08,1.8,31.51,3,1.41,0.76,10,5,1.41,1.26,5,6,2.81,1.37,0,3,1.41,0.76,9,5,1.41,1.19,5,6,2.81,1.31,-1,4,2.35,1.03,3,8,2.35,1.86,1,11,4.7,2.71,0,0,0,3,5,2,6,"ilp.141"
"alarm_1000_bdeu-1-5",37,57.32,2121,5,2.27,0.94,220,54.81,3,1.97,0.76,9,7,6,3.43,1.81,7,1.97,1.83,1,10,3.95,2.37,4,2.35,1.03,3,3,26,11.33,12.74,8,2.35,1.86,1,11,4.7,2.71,36.45,4,1.41,0.9,11,5,1.41,1.4,7,7,2.81,1.73,31.51,3,1.41,0.76,10,5,1.41,1.26,5,6,2.81,1.37,0.32,2,1.38,0.68,12,5,1.38,1.4,4,6,2.76,1.4,-1,4,2.35,1.03,3,8,2.35,1.86,1,11,4.7,2.71,0,0,0,4,5,3,6,"ilp.141"
"alarm_1000_bdeu-1-6",37,57.38,2123,6,2.28,0.95,220,54.89,3,1.97,0.76,9,7,6,3.43,1.81,7,1.97,1.83,1,10,3.95,2.37,4,2.35,1.03,3,3,26,11.33,12.74,8,2.35,1.86,1,11,4.7,2.71,36.39,4,1.49,0.84,12,5,1.49,1.56,5,7,2.97,1.77,31.51,3,1.41,0.76,10,5,1.41,1.26,5,6,2.81,1.37,0,3,1.41,0.76,9,5,1.41,1.19,5,6,2.81,1.31,-1,4,2.35,1.03,3,8,2.35,1.86,1,11,4.7,2.71,0,0,0,3,5,2,6,"ilp.141"
"alarm_1000_bdeu-10-2",37,76.43,2828,2,1.79,0.44,169,44.19,2,1.95,0.23,7,7,6,3.43,1.51,6,1.95,1.67,0,8,3.89,1.74,2,1.95,0.23,6,8,6,3.62,1.6,7,1.95,1.73,0,9,3.89,1.79,35.24,2,1.81,0.52,11,8,1.81,1.78,2,10,3.62,1.88,31.42,2,1.78,0.58,9,7,1.78,1.7,3,9,3.57,1.76,1.24,2,1.73,0.56,13,9,1.73,2.01,2,11,3.46,1.94,7.7,2,1.81,0.52,10,10,1.81,2.08,2,12,3.62,1.99,0,0,0,3,5,5,6,"ilp.162"
"alarm_1000_bdeu-10-3",37,137,5069,3,2.32,0.68,344,97.53,3,2.51,0.56,5,4,20,7.75,8.34,6,2.51,1.73,0,9,5.03,2.03,3,2.62,0.55,2,2,29,17.5,16.26,8,2.62,1.78,0,11,5.24,2.07,38.42,3,2.11,0.81,11,10,2.11,2.21,2,13,4.22,2.37,34.36,3,2.22,0.82,10,13,2.22,2.52,2,13,4.43,2.54,5.63,3,1.95,0.85,10,8,1.95,1.97,2,9,3.89,1.81,-1,3,2.62,0.55,2,8,2.62,1.78,0,11,5.24,2.07,0,0,0,4,5,5,6,"astar.comp"
"alarm_1000_bdeu-10-4",37,150.51,5569,4,2.47,0.81,402,114.03,4,2.57,0.65,5,4,20,7.75,8.34,6,2.57,1.8,0,10,5.14,2.16,4,2.89,0.84,2,1,35,35,0,8,2.89,1.93,0,12,5.78,2.52,38.63,4,2.14,0.79,9,10,2.14,2.11,1,12,4.27,2.08,35.71,4,2.24,0.83,10,11,2.24,2.43,2,13,4.49,2.56,4.71,3,2.03,0.64,13,7,2.03,2.06,1,9,4.05,2.01,-1,4,2.89,0.84,2,8,2.89,1.93,0,12,5.78,2.52,0,0,0,4,5,5,6,"astar.comp"
