"id","EXIST_VARS","FORALL_VARS","TOTAL_VARS","CLAUSES","LITERALS","EXIST_SET","FORALL_SET","TOTAL_SET","UNARY_CLAUSES","BINARY_CLAUSES","TERNARY_MORE_CLAUSES","POS_HORN","NEG_HORN","EXIST_LIT_PER_CLAUSE","FORALL_LIT_PER_CLAUSE","EXIST_VARS_PER_SET","FORALL_POS_LITS_PER_CLAUSE","FORALL_NEG_LITS_PER_CLAUSE","OCCS_POS_NO_PER_VAR","OCCS_FORALL_NO_PER_VAR","OCCS_FORALL_POS_NO_PER_VAR","W_OCCS_POS_NO_PER_VAR","W_OCCS_FORALL_NO_PER_VAR","W_OCCS_FORALL_POS_NO_PER_VAR","W_PRODUCTS","LITN_LIT","LITEP_LIT","LITEN_LITE","LITEN_LITN","LITFN_LIT","LITFP_LITFN","OCCP_OCCN","OCCE_OCC","OCCEN_OCC","OCCFP_OCCF","OCCEN_OCCE","OCCEN_OCCN","OCCFP_OCCFN","TERMORE_CLAUSE","NEG_HORN_CLAUSE","WOCCN_WOCC","WOCCEP_WOCC","WOCCFN_WOCC","WOCCEP_WOCCE","WOCCEP_WOCCP","WOCCFN_WOCCN","aqua.s2v","caqe.minisat","caqe.picosat","depqbf.v2","ghostq.cegar","hiqqer3","iprover.QBF","iprover.QBF.bloqqer","squeezebf.struqs","struqs.10","aqua.s2v_success","caqe.minisat_success","caqe.picosat_success","depqbf.v2_success","ghostq.cegar_success","hiqqer3_success","iprover.QBF_success","iprover.QBF.bloqqer_success","squeezebf.struqs_success","struqs.10_success","base","Class"
"BLOCKS3ii.5.3",300,4,304,3402,10923,2,1,3,3,1659,1740,2232,1846,3.140212,0.070547,150,0.042034,0.028513,16.309211,60,35.75,38.509868,120,71.5,1416.95,0.546095,0.440813,0.549284,0.983738,0.00888,1.474227,0.831182,0.991068,0.544378,0.595833,0.549284,0.996855,1.474227,0.511464,0.542622,0.592786,0.402563,0.512853,0.404011,0.988578,0.865157,0.07,0.53,0.5,0.41,1.41,0.29,2.65,0.53,1800,1800,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE",0.46,"AIGSolve"
"BLOCKS3iii.4",198,4,202,1433,3392,2,1,3,2,1221,210,1301,579,2.199581,0.167481,99,0.099791,0.06769,5.024752,60,35.75,13.831683,120,71.5,199.818182,0.700767,0.257075,0.72335,0.959192,0.028597,1.474227,0.427009,0.948018,0.685749,0.595833,0.72335,0.97857,1.474227,0.146546,0.404047,0.712551,0.263237,1.007922,0.271429,0.915772,1.414525,0.02,0.07,0.07,0.09,0.27,0.04,0.15,1800,1800,1800,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE",0.368,"AIGSolve"
"BLOCKS3iii.5",252,4,256,1835,4310,2,1,3,2,1575,258,1679,759,2.217984,0.13079,126,0.077929,0.052861,4.996094,60,35.75,13.867188,120,71.5,211.5,0.703248,0.263573,0.720885,0.967997,0.022506,1.474227,0.421973,0.959305,0.691548,0.595833,0.720885,0.983362,1.474227,0.140599,0.413624,0.713756,0.267361,1.001129,0.27378,0.934031,1.402621,0.04,0.17,0.16,0.31,0.55,0.06,1.4,0.2,269.71,0.47,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE",0.448,"qsts"
"BLOCKS4i.6.4",772,7,779,15872,55004,2,1,3,4,8820,7048,10624,5992,3.276714,0.18876,386,0.11095,0.07781,30.671374,428,251.571429,69.830552,856,503.142857,5683.534974,0.565613,0.402371,0.57445,0.960303,0.022453,1.425911,0.767992,0.954105,0.548086,0.587784,0.57445,0.969011,1.425911,0.444052,0.37752,0.603467,0.374222,2.003701,0.387798,0.943735,3.320316,80.34,73.95,2.48,10.81,9.62,1.18,25.63,27.83,1800,1800,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE",0.7,"rareqs"
"BLOCKS4ii.7.2",908,7,915,15047,40542,2,1,3,4,10638,4405,12262,5329,2.495248,0.199109,454,0.117033,0.082076,13.602186,428,251.571429,34.265574,856,503.142857,2159.692731,0.69301,0.263554,0.715416,0.956044,0.030462,1.425911,0.442981,0.933241,0.667655,0.587784,0.715416,0.963414,1.425911,0.292749,0.354157,0.720795,0.249751,2.87517,0.261811,0.894509,3.988884,396.49,54.17,1800,93.41,4.82,1.9,27.41,43.51,1800,1800,"TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE",0.716,"rareqs"
"BLOCKS4iii.6",720,7,727,9661,23459,2,1,3,3,8718,940,9033,2379,2.118104,0.310113,360,0.182279,0.127834,7.796424,428,251.571429,20.30674,856,503.142857,469.166667,0.758387,0.166546,0.80907,0.930583,0.052645,1.425911,0.318588,0.880768,0.712603,0.587784,0.80907,0.93963,1.425911,0.097298,0.246248,0.777736,0.170884,3.862139,0.18602,0.768833,4.965874,5.41,0.37,1.99,1.12,2.06,0.47,8.12,6.59,1800,1800,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE",0.472,"qsts"
"C432.blif_0.10_0.20_0_0_inp_exact",610,12,622,1555,3535,9,8,17,0,1226,329,1162,1017,2.242444,0.030868,67.777778,0.015434,0.015434,2.588424,4,2,43.350482,41.333333,20.666667,186.345902,0.544554,0.448656,0.545168,0.987532,0.006789,1,0.836364,1.005827,0.548344,0.5,0.545168,1.006959,1,0.211576,0.654019,0.545165,0.459517,0.216836,0.454454,1.010294,0.397743,66.31,534.71,514.82,49.31,1800,19.1,1800,1800,1800,1800,"TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE",0.312,"AIGSolve"
"C432.blif_0.10_0.20_0_0_out_exact",556,12,568,1439,3295,2,1,3,0,1117,322,1057,919,2.257818,0.031967,278,0.015983,0.015983,2.630282,3.833333,1.916667,7.325704,7.666667,3.833333,31.066547,0.546586,0.446434,0.547245,0.987229,0.00698,1,0.829539,1.007321,0.551252,0.5,0.547245,1.008536,1,0.223767,0.638638,0.549821,0.45481,0.235566,0.449678,1.010289,0.42844,1800,1800,1800,103.71,4.29,1800,1800,1800,1800,1800,"FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE",0.42,"AIGSolve"
"C432.blif_0.10_0.20_0_1_inp_exact",611,12,623,1557,3539,9,8,17,0,1228,329,1163,1019,2.242132,0.030829,67.888889,0.015414,0.015414,2.589085,4,2,43.362761,41.333333,20.666667,186.152209,0.544222,0.448997,0.54483,0.987539,0.006782,1,0.837487,1.00581,0.547995,0.5,0.54483,1.006934,1,0.211304,0.654464,0.544827,0.459852,0.216935,0.454796,1.01028,0.398173,0.25,94.27,14.71,1.41,0.55,0.34,1800,1800,0.53,0.52,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","TRUE","TRUE",0.46,"depqbf.v1"
"C432.blif_0.10_0.20_0_1_out_exact",557,12,569,1441,3299,2,1,3,0,1119,322,1058,921,2.25746,0.031922,278.5,0.015961,0.015961,2.630931,3.833333,1.916667,7.328647,7.666667,3.833333,31.032316,0.546226,0.446802,0.54688,0.987236,0.006972,1,0.830744,1.0073,0.550872,0.5,0.54688,1.008505,1,0.223456,0.639139,0.549433,0.455197,0.235674,0.450071,1.010275,0.428941,1800,1800,1800,138.11,2.69,1800,1800,1800,1800,1800,"FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE",0.444,"AIGSolve"
"C432.blif_0.10_1.00_0_0_inp_exact",593,1,594,1553,3563,2,1,3,0,1212,341,1148,995,2.291693,0.002576,296.5,0.001288,0.001288,2.708754,4,2,8.119529,8,4,35.328836,0.548414,0.451024,0.548469,0.998976,0.000561,1,0.823439,1.000562,0.548777,0.5,0.548469,1.000661,1,0.219575,0.640695,0.548451,0.451936,0.222451,0.451513,1.000856,0.405599,0.07,0.23,0.21,0.31,0.2,0.1,1.96,5.38,1800,1800,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE",0.436,"qsts"
"C432.blif_0.10_1.00_0_0_out_exact",592,1,593,1551,3559,2,1,3,0,1210,341,1146,993,2.29207,0.002579,296,0.001289,0.001289,2.709949,4,2,7.583474,8,4,32.814189,0.548469,0.450969,0.548523,0.998975,0.000562,1,0.823258,1.000563,0.548832,0.5,0.548523,1.000663,1,0.219858,0.640232,0.5516,0.448758,0.236514,0.448358,1.000798,0.428778,104.55,0.2,0.2,0.31,0.25,0.12,2.5,7.83,1800,1800,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE",0.344,"qesto"
"C432.blif_0.10_1.00_0_1_inp_exact",593,1,594,1553,3563,2,1,3,0,1212,341,1147,996,2.291693,0.002576,296.5,0.001288,0.001288,2.710438,4,2,8.124579,8,4,35.328836,0.548134,0.451305,0.548188,0.998976,0.000561,1,0.824373,1.000562,0.548496,0.5,0.548188,1.000661,1,0.219575,0.641339,0.54817,0.452217,0.222451,0.451794,1.000856,0.405807,0.03,0.21,0.2,0.31,0.18,0.2,1.92,4.75,166.16,165.85,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE",0.416,"qsts"
"C432.blif_0.10_1.00_0_1_out_exact",592,1,593,1551,3559,2,1,3,0,1210,341,1145,994,2.29207,0.002579,296,0.001289,0.001289,2.711636,4,2,7.588533,8,4,32.814189,0.548188,0.45125,0.548242,0.998975,0.000562,1,0.824193,1.000563,0.548551,0.5,0.548242,1.000662,1,0.219858,0.640877,0.551301,0.449057,0.236514,0.448658,1.000799,0.429011,7.28,0.19,0.19,0.31,0.18,0.25,2.43,7.53,1800,271.57,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE",0.436,"AIGSolve"
"C499.blif_0.10_0.20_0_0_inp_exact",894,12,906,2557,6058,10,9,19,0,1719,838,1780,1930,2.337896,0.031287,89.4,0.015643,0.015643,3.147903,6.666667,3.333333,59.174393,77.666667,38.833333,309.35906,0.529218,0.46418,0.529609,0.987523,0.006603,1,0.889582,1.00004,0.52963,0.5,0.529609,1.000779,1,0.327728,0.754791,0.529513,0.472658,0.308758,0.470244,1.004614,0.583099,1800,1800,1800,1800,1800,127.89,1800,1800,1800,1800,"FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE",0.44,"AIGSolve"
"C499.blif_0.10_0.20_0_0_out_exact",826,12,838,2393,5702,2,1,3,0,1575,818,1644,1794,2.356038,0.026745,413,0.013372,0.013372,3.201671,5.333333,2.666667,8.650358,10.666667,5.333333,37.923729,0.529463,0.464925,0.529798,0.9894,0.005612,1,0.888705,1.003141,0.531462,0.5,0.529798,1.003774,1,0.34183,0.749687,0.532504,0.470101,0.288233,0.467226,1.005571,0.541278,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0.464,"AIGSolve"
"C499.blif_0.10_0.20_0_1_inp_exact",894,12,906,2557,6058,10,9,19,0,1719,838,1780,1930,2.337896,0.031287,89.4,0.015643,0.015643,3.149007,6.666667,3.333333,59.195364,77.666667,38.833333,309.35906,0.529052,0.464345,0.529441,0.98752,0.006603,1,0.890172,1.00004,0.529462,0.5,0.529441,1.000775,1,0.327728,0.754791,0.529346,0.472827,0.308758,0.470412,1.004617,0.583282,0.3,2.99,1.91,0.91,0.64,0.37,1800,1800,1800,1800,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE",0.428,"hiqqer1ldsq"
"C499.blif_0.10_0.20_0_1_out_exact",826,12,838,2393,5702,2,1,3,0,1575,818,1644,1794,2.356038,0.026745,413,0.013372,0.013372,3.202864,5.333333,2.666667,8.653938,10.666667,5.333333,37.923729,0.529288,0.4651,0.52962,0.989397,0.005612,1,0.889331,1.003141,0.531284,0.5,0.52962,1.003771,1,0.34183,0.749687,0.53231,0.470297,0.288233,0.467421,1.005574,0.541475,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0.424,"AIGSolve"
"C499.blif_0.10_1.00_0_0_inp_exact",892,1,893,2586,6149,2,1,3,0,1726,860,1786,1932,2.37471,0.003094,446,0.001547,0.001547,3.231803,8,4,9.681971,16,8,51.14574,0.530655,0.468694,0.530695,0.998774,0.000651,1,0.884462,0.999819,0.530599,0.5,0.530695,0.999894,1,0.33256,0.7471,0.530695,0.469396,0.387776,0.469278,1.000195,0.730694,1.81,0.42,0.44,0.61,0.4,0.5,3.79,2.49,1800,1800,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE",0.444,"rareqs"
"C499.blif_0.10_1.00_0_0_out_exact",888,1,889,2578,6133,2,1,3,0,1718,860,1778,1924,2.375873,0.003103,444,0.001552,0.001552,3.237345,8,4,8.789651,16,8,40.457207,0.530735,0.468612,0.530776,0.998771,0.000652,1,0.884178,0.99982,0.53068,0.5,0.530776,0.999896,1,0.333592,0.746315,0.533743,0.466304,0.424369,0.466225,1.000101,0.795081,1800,0.58,0.9,1.02,0.38,1800,4.99,3.19,1800,1800,"FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE",0.412,"qsts"
"C499.blif_0.10_1.00_0_1_inp_exact",892,1,893,2586,6149,2,1,3,0,1726,860,1786,1932,2.37471,0.003094,446,0.001547,0.001547,3.232923,8,4,9.68533,16,8,51.14574,0.530493,0.468857,0.530532,0.998774,0.000651,1,0.88504,0.999819,0.530436,0.5,0.530532,0.999893,1,0.33256,0.7471,0.530532,0.469559,0.387776,0.469441,1.000195,0.730919,0.04,0.37,0.39,0.51,0.27,0.39,3.59,3.39,0.62,0.61,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE",0.36,"qsts"
"C499.blif_0.10_1.00_0_1_out_exact",888,1,889,2578,6133,2,1,3,0,1718,860,1778,1924,2.375873,0.003103,444,0.001552,0.001552,3.23847,8,4,8.793026,16,8,40.457207,0.530572,0.468775,0.530612,0.998771,0.000652,1,0.884757,0.99982,0.530517,0.5,0.530612,0.999895,1,0.333592,0.746315,0.533564,0.466483,0.424369,0.466404,1.000102,0.795348,0.04,0.38,0.4,0.51,0.26,1.15,3.64,3.83,0.24,0.23,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE",0.492,"qsts"
"C5315.blif_0.10_0.20_0_0_inp_exact",5400,97,5497,14587,33644,16,15,31,0,11497,3090,11468,8647,2.2494,0.057037,337.5,0.028519,0.028519,2.71348,8.57732,4.28866,82.846644,151.587629,75.793814,537.858148,0.556652,0.430983,0.558089,0.977787,0.012365,1,0.796455,0.992789,0.554064,0.5,0.558089,0.995351,1,0.211832,0.592788,0.557421,0.443255,0.404901,0.441746,1.001529,0.726383,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0.744,"xb.bid.qsts"
"C5315.blif_0.10_0.20_0_0_out_exact",5229,95,5324,14228,32909,2,1,3,0,11154,3074,11137,8332,2.25745,0.055524,2614.5,0.027762,0.027762,2.734222,8.315789,4.157895,7.489857,16.631579,8.315789,36.546567,0.557659,0.430338,0.559077,0.978476,0.012003,1,0.793211,0.993726,0.55557,0.5,0.559077,0.996253,1,0.216053,0.585606,0.562461,0.436663,0.485788,0.436437,0.997997,0.863683,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0.792,"xb.bid.qsts"
"C5315.blif_0.10_0.20_0_1_inp_exact",5401,97,5498,14589,33648,16,15,31,0,11499,3090,11469,8648,2.249366,0.057029,337.5625,0.028515,0.028515,2.71335,8.57732,4.28866,82.842852,151.587629,75.793814,537.781522,0.556645,0.430991,0.558081,0.97779,0.012363,1,0.796476,0.992789,0.554057,0.5,0.558081,0.99535,1,0.211803,0.592775,0.557415,0.443262,0.404926,0.441753,1.001528,0.726436,1800,1800,1800,1800,19.86,1800,1800,1800,1800,1800,"FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE",0.652,"ghostq.plain"
"C5315.blif_0.10_0.20_0_1_out_exact",5230,95,5325,14230,32913,2,1,3,0,11156,3074,11138,8333,2.257414,0.055517,2615,0.027758,0.027758,2.734085,8.315789,4.157895,7.489577,16.631579,8.315789,36.541874,0.557652,0.430347,0.55907,0.978479,0.012001,1,0.793233,0.993726,0.555562,0.5,0.55907,0.996252,1,0.216022,0.585594,0.562453,0.436671,0.485815,0.436446,0.997996,0.863744,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0.548,"xb.bid.qsts"
"C5315.blif_0.10_1.00_0_0_inp_exact",5605,2,5607,15230,35163,2,1,3,0,11966,3264,11925,8911,2.308536,0.000263,2802.5,0.000131,0.000131,2.774924,2,1,8.323703,4,2,58.398394,0.557518,0.442425,0.557524,0.999898,5.7e-05,1,0.793665,1.000243,0.55766,0.5,0.557524,1.000255,1,0.214314,0.585095,0.557524,0.442596,0.106317,0.442471,1.000271,0.190695,22.56,7.25,4.09,4.32,1.63,2.14,29.59,29,1800,1800,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE",0.808,"qsts"
"C5315.blif_0.10_1.00_0_0_out_exact",5603,2,5605,15226,35155,2,1,3,0,11962,3264,11921,8907,2.308617,0.000263,2801.5,0.000131,0.000131,2.775201,2,1,7.646566,4,2,40.260396,0.557531,0.442412,0.557537,0.999898,5.7e-05,1,0.793622,1.000243,0.557673,0.5,0.557537,1.000255,1,0.21437,0.584986,0.562006,0.438109,0.11456,0.437989,1.000264,0.20384,1800,1800,1800,5.61,1.59,1800,44.39,1800,1800,1800,"FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE",0.68,"qsts"
"C5315.blif_0.10_1.00_0_1_inp_exact",5605,2,5607,15230,35163,2,1,3,0,11966,3264,11924,8912,2.308536,0.000263,2802.5,0.000131,0.000131,2.775103,2,1,8.324238,4,2,58.398394,0.557489,0.442454,0.557496,0.999898,5.7e-05,1,0.793756,1.000243,0.557631,0.5,0.557496,1.000255,1,0.214314,0.585161,0.557496,0.442624,0.106317,0.4425,1.000271,0.190705,0.4,2.51,2.53,4.42,1.67,2.51,21.66,21.56,24.08,24.12,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE",0.664,"qsts"
"C5315.blif_0.10_1.00_0_1_out_exact",5603,2,5605,15226,35155,2,1,3,0,11962,3264,11920,8908,2.308617,0.000263,2801.5,0.000131,0.000131,2.775379,2,1,7.647101,4,2,40.260396,0.557502,0.442441,0.557509,0.999898,5.7e-05,1,0.793714,1.000243,0.557645,0.5,0.557509,1.000255,1,0.21437,0.585052,0.561976,0.43814,0.11456,0.438019,1.000264,0.203852,0.32,2.7,4.05,4.61,1.66,2.2,24.56,21.31,1800,1800,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE",0.744,"qsts"
