"id","f_1","f_2","f_3","f_8","f_9","f_10","f_11","f_12","f_13","f_14","f_15","f_16","f_17","f_18","f_19","f_20","f_21","f_22","f_23","f_24","f_25","f_29","f_30","f_31","f_32","f_34","f_35","f_36","f_37","CCEHC2akms","CCLS2akms","Naps.1.02.ms","WMaxSatz.","WMaxSatz09","ahms.1.70","ahms.ls.1.70","CCEHC2akms_success","CCLS2akms_success","Naps.1.02.ms_success","WMaxSatz._success","WMaxSatz09_success","ahms.1.70_success","ahms.ls.1.70_success","base","Class"
"10tree415p.wcnf",4600,16694,0.01258,0.27555,0.00055,1.14351,0.00024,0.00413,0.00389,0.00055,0.31867,0.00022,0.00087,0.00065,0.43806,0.21302,0.25,0.66667,0.41667,0.41185,0.66262,0.01258,0.66161,0.8182,0.00034,0.00012,0.00204,0.00192,0.73883,1800,1800,14.84,180.84,185.1,222.45,253.77,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.02,"mscg2015a"
"10tree420p.wcnf",6756,25969,0.00809,0.26016,0.00038,1.09587,0.00012,0.00258,0.00246,0.00038,0.37129,0.00015,0.00089,0.00074,0.43034,0.24186,0,0.75,0.75,0.403,0.65856,0.00978,0.67958,0.78871,0.00023,4e-05,0.00135,0.00131,0.7487,1800,1800,77.55,712.58,695.63,1015.23,750.23,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.03,"LMHS.2016"
"10tree425p.wcnf",4640,16814,0.01249,0.27596,0.00054,1.14225,0.00024,0.0041,0.00387,0.00054,0.31841,0.00022,0.00086,0.00065,0.43769,0.21358,0.25,0.66667,0.41667,0.41124,0.66423,0.01249,0.66522,0.82009,0.00034,0.00012,0.00202,0.0019,0.7401,1800,1800,83.53,609.67,605.44,726.67,691.7,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.02,"LMHS.2016"
"10tree430p.wcnf",6810,26149,0.00803,0.26043,0.00038,1.09503,0.00011,0.00256,0.00245,0.00038,0.37158,0.00015,0.00088,0.00073,0.42997,0.24269,0,0.75,0.75,0.40246,0.6602,0.00971,0.68316,0.7912,0.00023,4e-05,0.00134,0.0013,0.75009,1800,1800,320.7,1800,1800,1800,1800,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.03,"LMHS.2016"
"10tree505p.wcnf",4568,16598,0.01265,0.27521,0.00055,1.14489,0.00024,0.00416,0.00392,0.00055,0.31896,0.00022,0.00088,0.00066,0.43843,0.21287,0.25,0.66667,0.41667,0.41234,0.66131,0.01265,0.65869,0.81666,0.00034,0.00012,0.00205,0.00193,0.7378,1800,1800,4.15,21.52,22.32,28.2,23.1,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.02,"mscg2015a"
"10tree505posib.wcnf",6735,25079,0.00837,0.26855,0.00038,1.10257,4e-05,0.00267,0.00263,0.00038,0.37041,0.00015,0.00089,0.00074,0.42657,0.27308,0,1,1,0.40464,0.65606,0.01742,0.67132,0.79648,0.00024,4e-05,0.0014,0.00136,0.75155,1800,1800,2.11,122.38,127.32,19.61,25.22,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.03,"maxino16.dis"
"10tree510p.wcnf",4592,16670,0.0126,0.27546,0.00055,1.14406,0.00024,0.00414,0.0039,0.00055,0.31879,0.00022,0.00087,0.00065,0.43818,0.21313,0.25,0.66667,0.41667,0.41197,0.66225,0.0126,0.66089,0.81782,0.00034,0.00012,0.00204,0.00192,0.73857,1800,1800,6.72,104.98,106.61,50.69,49.49,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.01,"maxino16.c10"
"10tree515p.wcnf",6738,25909,0.00811,0.26006,0.00038,1.09642,0.00012,0.00259,0.00247,0.00038,0.37128,0.00015,0.00089,0.00074,0.4305,0.24181,0,0.75,0.75,0.40318,0.65814,0.0098,0.67837,0.78787,0.00023,4e-05,0.00135,0.00131,0.74823,1800,1800,30.57,1128.21,1063.44,381.46,400.99,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.03,"mscg2015a"
"10tree520p.wcnf",4632,16790,0.01251,0.27588,0.00054,1.14299,0.00024,0.00411,0.00387,0.00054,0.3184,0.00022,0.00086,0.00065,0.43783,0.21376,0.25,0.66667,0.41667,0.41136,0.66387,0.01251,0.6645,0.81971,0.00034,0.00012,0.00203,0.00191,0.73985,1800,1800,34.33,597.89,595.87,1001.43,547.64,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.01,"mscg2015b"
"10tree525p.wcnf",6780,26049,0.00806,0.26028,0.00038,1.09564,0.00012,0.00257,0.00246,0.00038,0.37139,0.00015,0.00088,0.00074,0.43017,0.24218,0,0.75,0.75,0.40276,0.65927,0.00975,0.68118,0.78982,0.00023,4e-05,0.00134,0.00131,0.74932,1800,1800,167.25,1800,1800,1211.07,1627.28,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,0.03,"mscg2015b"
"10tree530p.wcnf",4660,16874,0.01245,0.27616,0.00054,1.14177,0.00024,0.00409,0.00385,0.00054,0.3183,0.00021,0.00086,0.00064,0.43753,0.21396,0.25,0.66667,0.41667,0.41094,0.66503,0.01245,0.667,0.82103,0.00033,0.00012,0.00201,0.0019,0.74073,1800,1800,166.6,1095.27,1085.63,912.69,722.73,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.01,"mscg2015b"
"15tree1001p.wcnf",38403,156283,0.00873,0.24573,7e-05,1.39732,2e-05,0.00068,0.00067,7e-05,0.43588,3e-05,0.00023,0.00021,0.41837,0.2394,0,0.81818,0.81818,0.39565,0.65748,0.0094,0.69798,0.77884,4e-05,1e-05,0.00035,0.00035,0.75725,1800,1800,111.36,1800,1800,1800,1800,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.18,"maxino16.dis"
"15tree1001posib.wcnf",22986,84160,0.01622,0.27312,0.00011,1.43905,1e-05,0.0013,0.00128,0.00011,0.34652,4e-05,0.00022,0.00017,0.4198,0.26282,0,1,1,0.40398,0.67128,0.02435,0.67889,0.82344,7e-05,1e-05,0.00068,0.00067,0.76336,1800,1800,14.25,1800,1800,435.73,518.93,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,0.09,"mscg2015a"
"15tree101p.wcnf",37773,154043,0.00886,0.24521,7e-05,1.39883,2e-05,0.00069,0.00068,7e-05,0.43346,3e-05,0.00024,0.00021,0.41894,0.2368,0,0.81818,0.81818,0.39672,0.65451,0.00954,0.6904,0.7729,4e-05,1e-05,0.00036,0.00035,0.75418,1800,1800,169.75,1800,1800,1800,1800,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.18,"maxino16.dis"
"15tree101posib.wcnf",22571,83430,0.01636,0.27054,0.00011,1.44144,1e-05,0.00131,0.00129,0.00011,0.34623,4e-05,0.00022,0.00018,0.42103,0.25413,0,1,1,0.4049,0.66831,0.02285,0.67274,0.81702,7e-05,1e-05,0.00068,0.00067,0.75988,1800,1800,16.9,1800,1800,1800,1800,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.09,"maxino16.dis"
"15tree201p.wcnf",38394,156251,0.00874,0.24572,7e-05,1.39732,2e-05,0.00068,0.00067,7e-05,0.4359,3e-05,0.00023,0.00021,0.41839,0.23936,0,0.81818,0.81818,0.39567,0.65744,0.0094,0.69787,0.77876,4e-05,1e-05,0.00035,0.00035,0.75721,1800,1800,188.81,1800,1800,1800,1800,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.18,"mscg2015a"
"15tree201posib.wcnf",22916,84508,0.01615,0.27117,0.00011,1.43962,1e-05,0.00129,0.00128,0.00011,0.34616,4e-05,0.00022,0.00017,0.4207,0.25531,0,1,1,0.40378,0.67108,0.02255,0.67937,0.82099,7e-05,1e-05,0.00067,0.00066,0.76224,1800,1800,28.04,1800,1800,1800,1800,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.09,"mscg2015a"
"15tree301p.wcnf",38511,156667,0.00871,0.24581,7e-05,1.39707,2e-05,0.00068,0.00066,7e-05,0.43625,3e-05,0.00023,0.00021,0.41828,0.23987,0,0.81818,0.81818,0.39547,0.65786,0.00938,0.69925,0.77985,4e-05,1e-05,0.00035,0.00034,0.75777,1800,1800,164.92,1800,1800,1800,1800,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.18,"mscg2015a"
"15tree301posib.wcnf",23043,84357,0.01618,0.27316,0.00011,1.43832,1e-05,0.00129,0.00128,0.00011,0.34623,4e-05,0.00022,0.00017,0.41986,0.26223,0,1,1,0.4037,0.67184,0.02415,0.68013,0.82414,7e-05,1e-05,0.00068,0.00066,0.76385,1800,1800,22.11,1800,1800,754.32,571.92,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,0.09,"maxhs.b"
"15tree401p.wcnf",38043,155003,0.00881,0.24543,7e-05,1.39754,2e-05,0.00069,0.00067,7e-05,0.43472,3e-05,0.00024,0.00021,0.4187,0.23807,0,0.81818,0.81818,0.39626,0.65593,0.00948,0.69368,0.77547,4e-05,1e-05,0.00035,0.00035,0.75551,1800,1800,153.2,1800,1800,1800,1800,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.2,"mscg2015a"
"15tree401posib.wcnf",22721,83889,0.01627,0.27085,0.00011,1.44042,1e-05,0.0013,0.00129,0.00011,0.34614,4e-05,0.00022,0.00018,0.42077,0.25513,0,1,1,0.40435,0.66962,0.02277,0.67568,0.81878,7e-05,1e-05,0.00068,0.00067,0.76092,1800,1800,22.93,1800,1800,1800,1800,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.09,"mscg2015a"
"15tree501p.wcnf",38304,155931,0.00875,0.24565,7e-05,1.39751,2e-05,0.00069,0.00067,7e-05,0.43461,3e-05,0.00023,0.00021,0.41847,0.23912,0,0.81818,0.81818,0.39582,0.65684,0.00942,0.6968,0.77792,4e-05,1e-05,0.00035,0.00035,0.75678,1800,1800,220.59,1800,1800,1800,1800,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.2,"mscg2015a"
"15tree501posib.wcnf",22929,84003,0.01625,0.27295,0.00011,1.43928,1e-05,0.0013,0.00129,0.00011,0.34621,4e-05,0.00022,0.00017,0.42001,0.26199,0,1,1,0.40413,0.67068,0.02427,0.6779,0.82283,7e-05,1e-05,0.00068,0.00067,0.76306,1800,1800,21.77,1800,1800,561.52,421.48,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,0.09,"mscg2015a"
"15tree601p.wcnf",38043,155003,0.00881,0.24543,7e-05,1.39754,2e-05,0.00069,0.00067,7e-05,0.43471,3e-05,0.00024,0.00021,0.41868,0.23784,0,0.81818,0.81818,0.39626,0.65592,0.00948,0.69368,0.77547,4e-05,1e-05,0.00035,0.00035,0.75551,1800,1800,211.89,1800,1800,1800,1800,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.18,"LMHS.2016"
"15tree601posib.wcnf",22722,83903,0.01627,0.27081,0.00011,1.4404,1e-05,0.0013,0.00129,0.00011,0.34617,4e-05,0.00022,0.00018,0.42079,0.25504,0,1,1,0.40444,0.66948,0.02279,0.67567,0.81879,7e-05,1e-05,0.00068,0.00067,0.76089,1800,1800,21.59,1800,1800,1800,1800,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.09,"mscg2015a"
"15tree701p.wcnf",38403,156283,0.00873,0.24573,7e-05,1.3973,2e-05,0.00068,0.00067,7e-05,0.43588,3e-05,0.00023,0.00021,0.41838,0.23956,0,0.81818,0.81818,0.39565,0.65747,0.0094,0.69798,0.77884,4e-05,1e-05,0.00035,0.00035,0.75725,1800,1800,204.03,1800,1800,1800,1800,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.18,"maxino16.dis"
"15tree701posib.wcnf",22989,84147,0.01622,0.2732,0.00011,1.43915,1e-05,0.0013,0.00128,0.00011,0.34653,4e-05,0.00022,0.00017,0.41974,0.26361,0,1,1,0.40404,0.67126,0.02447,0.67873,0.82339,7e-05,1e-05,0.00068,0.00067,0.76334,1800,1800,23.34,1800,1800,565.22,598.2,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,0.09,"maxino16.dis"
"15tree801p.wcnf",38772,157595,0.00866,0.24602,7e-05,1.39586,2e-05,0.00068,0.00066,7e-05,0.4372,3e-05,0.00023,0.00021,0.41808,0.24119,0,0.81818,0.81818,0.39504,0.65977,0.00932,0.70231,0.78225,4e-05,1e-05,0.00035,0.00034,0.75902,1800,1800,172.04,1800,1800,1800,1800,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.18,"mscg2015a"
"15tree801posib.wcnf",23254,84455,0.01616,0.27534,0.00011,1.43669,1e-05,0.00129,0.00128,0.00011,0.34607,4e-05,0.00022,0.00017,0.41901,0.27009,0,1,1,0.40355,0.6731,0.02581,0.68224,0.82815,7e-05,1e-05,0.00067,0.00066,0.76584,1800,1800,13.07,1800,1800,1800,1800,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.09,"mscg2015a"
"15tree901p.wcnf",38016,154907,0.00881,0.24541,7e-05,1.39731,2e-05,0.00069,0.00067,7e-05,0.43492,3e-05,0.00024,0.00021,0.41871,0.23772,0,0.81818,0.81818,0.39631,0.65576,0.00948,0.69335,0.77521,4e-05,1e-05,0.00036,0.00035,0.75538,1800,1800,220.45,1800,1800,1800,1800,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.18,"mscg2015a"
"15tree901posib.wcnf",22835,83146,0.01642,0.27464,0.00011,1.43988,1e-05,0.00131,0.0013,0.00011,0.34598,4e-05,0.00022,0.00018,0.41937,0.26834,0,1,1,0.40494,0.6695,0.02622,0.67412,0.82337,7e-05,1e-05,0.00069,0.00067,0.76307,1800,1800,12.31,1593.11,1377.05,304.42,374.54,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.09,"mscg2015a"
"1aabfc32-d491-11df-9a24-00163e3d3b7c_l3.wcnf",62441,141710,0.05448,0.44063,4e-05,6.52679,1e-05,0.03625,0.03624,4e-05,0.42065,2e-05,0.00149,0.00147,0.50437,0.50833,0,1,1,0.4908,0.50489,0.13114,0.5894,0.92716,2e-05,1e-05,0.00232,0.00231,0.71293,1800,1800,30.05,1800,1800,1800,1800,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.16,"maxino16.dis"
"1bpi_.2knt_.g.wcnf.t.wcnf",2436,2519247,3e-05,0.00097,0.00082,0.13007,0.00015,0.00097,0.00082,0.00083,0.09054,0.00082,0.01724,0.01642,5e-04,0.25496,0.00041,0.00262,0.00221,3e-05,198.39929,0,0.99997,0.99997,0.00082,0.00015,0.00097,0.00082,0.99997,1800,1800,581.2,1800,1800,1800,1800,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2.42,"mscg2015a"
"1bpi_.5pti_.g.wcnf.t.wcnf",3016,3848496,2e-05,0.00078,0.00066,0.1341,0.00018,0.00078,6e-04,0.00065,0.08945,0.00066,0.01691,0.01625,4e-04,0.22939,0.00033,0.00142,0.00108,2e-05,232.81572,0,0.99998,0.99998,0.00066,0.00018,0.00078,6e-04,0.99998,1800,1800,478.35,1800,1800,1800,1800,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3.72,"mscg2015b"
"1knt_.1bpi_.g.wcnf.t.wcnf",2494,2646744,2e-05,0.00094,8e-04,0.12746,0.00018,0.00094,0.00076,0.00082,0.09063,8e-04,0.01724,0.01644,0.00048,0.22992,4e-04,0.00205,0.00165,2e-05,201.78728,0,0.99998,0.99998,8e-04,0.00018,0.00094,0.00076,0.99998,1800,1800,962.41,1800,1800,1800,1800,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2.56,"mscg2015a"
"1knt_.2knt_.g.wcnf.t.wcnf",1806,1389449,4e-05,0.0013,0.00111,0.12745,0.00018,0.0013,0.00112,0.0011,0.09783,0.00111,0.01993,0.01883,0.00067,0.25636,0.00055,0.0041,0.00354,4e-05,158.93924,0,0.99996,0.99996,0.00111,0.00017,0.0013,0.00112,0.99996,348.79,382.55,46.49,472.16,496.27,155.75,138.4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1.33,"mscg2015b"
"1knt_.5pti_.g.wcnf.t.wcnf",2236,2120178,3e-05,0.00105,0.00089,0.1297,0.00018,0.00105,0.00087,0.00088,0.09938,0.00089,0.01878,0.01789,0.00054,0.23775,0.00045,0.00256,0.00212,3e-05,192.86029,0,0.99997,0.99997,0.00089,0.00018,0.00105,0.00087,0.99997,1800,1800,423.32,1800,1800,1800,1800,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2.03,"mscg2015b"
"1vii_.1cph_.g.wcnf.t.wcnf",171,12967,0.001,0.01319,0.01176,0.11163,0.00709,0.01319,0.00609,0.01176,0.17559,0.0117,0.08187,0.07018,0.00665,0.13314,0.00585,0.01087,0.00502,0.001,31.56678,0,0.999,0.999,0.01168,0.00702,0.01311,0.00609,0.999,2.02,1.62,0.23,0.14,0.13,0.1,0.11,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.01,"QMaxSAT14"
"2c3aece6-c8b2-11df-a040-00163e3d3b7c_l3.wcnf",30896,112813,0.07413,0.27387,8e-05,7.06653,1e-05,0.04947,0.04946,8e-05,0.50348,3e-05,0.00291,0.00288,0.49374,0.48816,0,1,1,0.53816,0.59071,0.22153,0.57744,0.80474,3e-05,1e-05,0.00569,0.00568,0.59572,1800,1800,6.89,1800,1800,1800,1800,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.12,"maxino16.dis"
"2knt_.5pti_.g.wcnf.t.wcnf",2184,2019581,3e-05,0.00108,0.00092,0.13078,0.00019,0.00108,0.00089,0.00094,0.0954,0.00092,0.01877,0.01786,0.00056,0.23834,0.00046,0.00258,0.00213,3e-05,183.46304,0,0.99997,0.99997,0.00092,0.00019,0.00108,0.00089,0.99997,1800,1800,428.58,1800,1800,1800,1800,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1.94,"mscg2015a"
"3ebx_.1era_.g.wcnf.t.wcnf",2548,2767223,2e-05,0.00092,0.00079,0.11997,0.00035,0.00092,0.00058,0.00076,0.09883,0.00078,0.01727,0.01648,0.00047,0.14833,0.00039,0.00105,0.00065,2e-05,206.32907,0,0.99998,0.99998,0.00078,0.00035,0.00092,0.00058,0.99998,1800,1800,1446.23,1800,1800,1800,1800,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2.67,"mscg2015b"
