"id","nvarsOrig","nclausesOrig","nvars","nclauses","reducedVars","reducedClauses","vars_clauses_ratio","POSNEG_RATIO_CLAUSE_mean","POSNEG_RATIO_CLAUSE_coeff_variation","POSNEG_RATIO_CLAUSE_min","POSNEG_RATIO_CLAUSE_entropy","VCG_CLAUSE_mean","VCG_CLAUSE_coeff_variation","VCG_CLAUSE_min","VCG_CLAUSE_max","VCG_CLAUSE_entropy","BINARYp","TRINARYp","VCG_VAR_mean","VCG_VAR_coeff_variation","VCG_VAR_min","VCG_VAR_max","VCG_VAR_entropy","POSNEG_RATIO_VAR_mean","POSNEG_RATIO_VAR_stdev","POSNEG_RATIO_VAR_min","POSNEG_RATIO_VAR_max","POSNEG_RATIO_VAR_entropy","HORNY_VAR_mean","HORNY_VAR_coeff_variation","HORNY_VAR_min","HORNY_VAR_max","HORNY_VAR_entropy","horn_clauses_fraction","VG_mean","VG_coeff_variation","VG_min","VG_max","CG_mean","CG_coeff_variation","CG_min","CG_max","CG_entropy","cluster_coeff_mean","cluster_coeff_coeff_variation","cluster_coeff_min","cluster_coeff_max","cluster_coeff_entropy","eagleup","ebglucose","lrglshr","minisatpsm","rcl","restartsat","sapperlot","spear.hw","spear.sw","eagleup_success","ebglucose_success","lrglshr_success","minisatpsm_success","rcl_success","restartsat_success","sapperlot_success","spear.hw_success","spear.sw_success","Pre","Basic","KLB","CG","Class"
"SAT_Competition2007/crafted/Difficult/contest05/QG/QG6-gensys-icl006.sat05-2718.reshuffled-07.cnf",1321,7617,1218,6306,0.0846,0.2079,0.1931,0.302,0.8843,0,2.9512,0.0071,0.4588,0.0016,0.0131,2.5799,0.1009,0.1218,0.0071,4.1534,2e-04,0.6459,3.2057,0.5023,0.2279,0,1,2.7975,3e-04,2.5535,0,0.0128,1.3623,0.1262,0.0082,1.4738,2e-04,0.1898,0.0159,0.5427,0.0093,0.0425,1.0278,0.1945,0.2754,0.065,0.4,0.8775,1200,35.04,147.43,34.85,56.68,52.83,144.35,1200,1200,"FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE",0.04,0,0.01,20.21,"glueminisat"
"SAT_Competition2007/crafted/Difficult/contest05/QG/QG6-gensys-icl008.sat05-2720.reshuffled-07.cnf",1610,8277,1506,6966,0.0691,0.1882,0.2162,0.2864,0.9112,0,2.9077,0.0058,0.4362,0.0013,0.0106,2.5732,0.0933,0.1058,0.0058,4.1778,1e-04,0.5837,3.3828,0.5456,0.1993,0,1,2.8779,3e-04,2.5595,0,0.0109,1.4018,0.1289,0.0064,1.5253,1e-04,0.1717,0.0159,0.5427,0.0093,0.0425,1.0278,0.1945,0.2754,0.065,0.4,0.8775,1200,1200,106.08,1200,1200,51.92,845.35,1200,1200,"FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE",0.05,0,0.01,20.35,"glueminisat"
"SAT_Competition2007/crafted/Difficult/contest05/QG/QG6-gensys-icl009.sat05-2721.reshuffled-07.cnf",1477,7989,1384,6704,0.0672,0.1917,0.2064,0.288,0.9046,0,2.9448,0.0063,0.435,0.0014,0.0116,2.5765,0.0868,0.1029,0.0063,4.1643,1e-04,0.6211,3.2183,0.5215,0.2128,0,1,2.7275,3e-04,2.4581,0,0.0116,1.3388,0.1244,0.0073,1.5053,4e-04,0.18,0.0159,0.5427,0.0093,0.0425,1.0278,0.1945,0.2754,0.065,0.4,0.8775,1200,108.14,84.01,399.62,260.94,78.62,179.2,1200,1200,"FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE",0.04,0,0.01,20.71,"glueminisat"
"SAT_Competition2007/crafted/Difficult/contest05/QG/QG6-gensys-ukn003.sat05-2726.reshuffled-07.cnf",2123,9177,1505,7397,0.4106,0.2406,0.2035,0.3063,0.8572,0,2.9826,0.0058,0.4457,0.0013,0.0106,2.6087,0.083,0.1232,0.0058,3.9971,1e-04,0.557,3.3127,0.5158,0.2231,0,1,2.8922,3e-04,2.6098,0,0.0097,1.3845,0.1363,0.0068,1.51,1e-04,0.1621,0.0159,0.5427,0.0093,0.0425,1.0278,0.1945,0.2754,0.065,0.4,0.8775,1200,64.19,265.84,74.37,115.95,79.37,383.55,1200,1200,"FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE",0.08,0,0.01,20.63,"glueminisat"
"SAT_Competition2007/crafted/Difficult/contest05/QG/QG7-gensys-icl006.sat05-3132.reshuffled-07.cnf",728,17199,668,12052,0.0898,0.4271,0.0554,0.387,0.9298,0,1.73,0.007,0.4771,0.003,0.018,1.5261,0.2836,0.4222,0.007,0.9067,1e-04,0.0279,3.3877,0.6768,0.2086,0,1,2.8893,0.0014,1.1395,0,0.0058,3.1707,0.3278,0.0085,0.8505,2e-04,0.0283,0.0082,1.1485,7e-04,0.0765,3.6405,0.1707,1.257,0.0062,0.9635,2.8385,1200,788.68,1200,1200,1200,1200,1200,798.21,1200,"FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE",0.05,0,0.01,14.01,"clasp2"
"SAT_Competition2007/crafted/Difficult/contest05/jarvisalo/mod2-rand3bip-sat-270-1.sat05-2248.reshuffled-07.cnf",270,1080,270,1080,0,0,0.25,0.5,0.5774,0.3333,0.5623,0.0111,0,0.0111,0.0111,0,0,1,0.0111,0,0.0111,0.0111,0,0,0,0,0,0,0.0054,0.309,0.0028,0.0083,1.2795,0.4833,0.0055,0.0143,0.0046,0.0056,0.0139,0.0057,0.013,0.0139,0.0437,0.302,0.0315,0.3,0.4,0.3072,1200,1200,1200,1200,1200,1200,1200,1200,1200,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0,0,0,0.01,"mphaseSAT"
"SAT_Competition2007/crafted/Difficult/contest05/jarvisalo/mod2-rand3bip-sat-270-2.sat05-2249.reshuffled-07.cnf",270,1080,270,1080,0,0,0.25,0.5,0.5774,0.3333,0.5623,0.0111,0,0.0111,0.0111,0,0,1,0.0111,0,0.0111,0.0111,0,0,0,0,0,0,0.0055,0.2939,0.0028,0.0083,1.2586,0.4944,0.0055,0.0247,0.0046,0.0056,0.0139,0.0098,0.013,0.0139,0.1066,0.3041,0.0506,0.3,0.4,0.4527,1200,1200,1200,1200,1200,481.13,1200,1200,1200,"FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE",0,0,0,0.01,"mphaseSAT"
"SAT_Competition2007/crafted/Difficult/contest05/jarvisalo/mod2-rand3bip-sat-280-1.sat05-2263.reshuffled-07.cnf",280,1120,280,1120,0,0,0.25,0.5,0.5774,0.3333,0.5623,0.0107,0,0.0107,0.0107,0,0,1,0.0107,0,0.0107,0.0107,0,0,0,0,0,0,0.0053,0.2837,0.0027,0.008,1.233,0.4964,0.0053,0.0391,0.0045,0.0054,0.0133,0.0155,0.0125,0.0134,0.219,0.3079,0.0769,0.3,0.419,0.6175,1200,1200,1200,1200,1200,1200,1200,1200,1200,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0,0,0,0.01,"mphaseSAT"
"SAT_Competition2007/crafted/Difficult/contest05/jarvisalo/mod2-rand3bip-sat-280-2.sat05-2264.reshuffled-07.cnf",280,1120,280,1120,0,0,0.25,0.5,0.5774,0.3333,0.5623,0.0107,0,0.0107,0.0107,0,0,1,0.0107,0,0.0107,0.0107,0,0,0,0,0,0,0.0055,0.2698,0.0027,0.008,1.224,0.5161,0.0053,0.0311,0.0045,0.0054,0.0134,0.0124,0.0125,0.0134,0.1541,0.3049,0.0632,0.3,0.419,0.4345,1200,1200,1200,677.7,1200,1200,1200,1200,1200,"FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE",0,0,0,0.01,"mphaseSAT"
"SAT_Competition2007/crafted/Difficult/contest05/jarvisalo/mod2-rand3bip-sat-280-3.sat05-2265.reshuffled-07.cnf",280,1120,280,1120,0,0,0.25,0.5,0.5774,0.3333,0.5623,0.0107,0,0.0107,0.0107,0,0,1,0.0107,0,0.0107,0.0107,0,0,0,0,0,0,0.0052,0.2871,0.0027,0.008,1.2316,0.4893,0.0053,0.0366,0.0045,0.0054,0.0133,0.0146,0.0125,0.0134,0.1985,0.3076,0.0718,0.3,0.4,0.6358,1200,1200,1200,1200,1200,499.89,1200,1200,1200,"FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE",0,0,0,0.01,"mphaseSAT"
"SAT_Competition2007/crafted/Difficult/contest05/jarvisalo/mod2c-3cage-unsat-10-2.sat05-2567.reshuffled-07.cnf",140,560,140,560,0,0,0.25,0.3607,0.9599,0,0.9999,0.0286,0,0.0286,0.0286,0,0,0,0.0286,0,0.0286,0.0286,0,0,0,0,0,0,0.0083,0.2033,0.0036,0.0125,1.3383,0.2911,0.0098,0.0909,0.0089,0.0107,0.0375,0,0.0375,0.0375,0,0.5325,0,0.5325,0.5325,0,1200,1200,1200,1200,1200,1200,1200,1200,1200,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0,0,0,0.01,"glucose2"
"SAT_Competition2007/crafted/Difficult/contest05/jarvisalo/mod2c-3cage-unsat-10-3.sat05-2568.reshuffled-07.cnf",140,560,140,560,0,0,0.25,0.3643,0.9544,0,1.0038,0.0286,0,0.0286,0.0286,0,0,0,0.0286,0,0.0286,0.0286,0,0,0,0,0,0,0.0084,0.2757,0.0036,0.0143,1.6138,0.2946,0.0098,0.0909,0.0089,0.0107,0.0375,0,0.0375,0.0375,0,0.5325,0,0.5325,0.5325,0,1200,1200,1200,1200,1200,1200,1200,1200,1200,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0,0,0,0.01,"precosat"
"SAT_Competition2007/crafted/Difficult/contest05/jarvisalo/mod2c-rand3bip-sat-210-3.sat05-2475.reshuffled-07.cnf",298,2176,298,2176,0,0,0.1369,0.3645,0.8508,0,1.7119,0.0152,0.1543,0.0134,0.0201,0.9131,0,0,0.0152,0.3387,0.011,0.0331,1.4988,0.0248,0.0463,0,0.2,0.8488,0.0036,0.2092,0.0023,0.006,1.863,0.2495,0.004,0.1199,0.0028,0.0051,0.0245,0.3183,0.0156,0.0538,3.0116,0.4631,0.1809,0.3262,0.671,3.0627,1200,335.39,120.96,808.66,1200,135.62,1200,1200,1200,"FALSE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE",0,0,0,0.29,"glueminisat"
"SAT_Competition2007/crafted/Difficult/contest05/jarvisalo/mod2c-rand3bip-unsat-120-3.sat05-2340.reshuffled-07.cnf",160,640,160,640,0,0,0.25,0.3656,0.9265,0,0.9882,0.025,0,0.025,0.025,0,0,0,0.025,0,0.025,0.025,0,0,0,0,0,0,0.0073,0.2626,0.0031,0.0125,1.5074,0.2922,0.0086,0.0909,0.0078,0.0094,0.0328,0,0.0328,0.0328,0,0.5325,0,0.5325,0.5325,0,1200,25.99,1200,103.94,70.38,864.45,1200,1200,585.84,"FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE","TRUE",0,0,0,0.01,"glucose2"
"SAT_Competition2007/crafted/Difficult/contest05/jarvisalo/mod2c-rand3bip-unsat-135-2.sat05-2354.reshuffled-07.cnf",180,720,180,720,0,0,0.25,0.3778,0.867,0,0.9678,0.0222,0,0.0222,0.0222,0,0,0,0.0222,0,0.0222,0.0222,0,0,0,0,0,0,0.007,0.2818,0.0028,0.0111,1.6784,0.3153,0.0076,0.0909,0.0069,0.0083,0.0292,0,0.0292,0.0292,0,0.5325,0,0.5325,0.5325,0,1200,126.93,1200,618.72,1200,1200,1200,1200,1200,"FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE",0,0,0,0.01,"precosat"
"SAT_Competition2007/crafted/Difficult/contest05/others/linvrinv5.sat05-564.reshuffled-07.cnf",450,1426,213,1234,1.1127,0.1556,0.1726,0.4493,0.7423,0,1.5195,0.017,0.5753,0.0094,0.1315,1.0326,0.0454,0.5478,0.017,0.6113,0.0089,0.0405,1.8461,0.0873,0.17,0,0.6667,1.2359,0.0061,0.6877,8e-04,0.017,2.6219,0.4028,0.0116,0.7163,0.0041,0.0243,0.0362,0.4134,0.0097,0.0754,3.6842,0.2013,0.3745,0.0775,0.4967,2.8208,1200,1200,1200,1200,1200,1200,1200,1200,1200,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0,0,0,0.11,"marchrw"
"SAT_Competition2007/crafted/Difficult/contest05/others/pmg-12-UNSAT.sat05-3940.reshuffled-07.cnf",190,632,189,629,0.0053,0.0048,0.3005,0.5045,0.5791,0,0.5818,0.0159,0.0133,0.0106,0.0159,0.0118,0.0016,1,0.0159,0.0177,0.0127,0.0159,0.0916,0.198,0.0171,0,0.2,0.0916,0.008,0.2711,0.0032,0.0127,1.6536,0.504,0.0064,0,0.0064,0.0064,0.0178,0.0886,0.0111,0.0207,0.9875,0.4942,0.1018,0.4066,0.5778,1.0343,1200,1200,1200,1200,1200,1200,1200,1200,1200,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0,0,0,0,"clasp1"
"SAT_Competition2007/crafted/Difficult/contest05/others/pmg-13-UNSAT.sat05-3941.reshuffled-07.cnf",409,1362,408,1360,0.0025,0.0015,0.3,0.4973,0.5782,0,0.5641,0.0074,0.009,0.0049,0.0074,0.006,7e-04,1,0.0074,0.0049,0.0066,0.0074,0.0172,0.1998,0.0044,0.1111,0.2,0.0172,0.0037,0.2446,0.0015,0.0059,1.5992,0.5044,0.0029,0,0.0029,0.0029,0.0082,0.0881,0.0051,0.0096,0.9786,0.4939,0.1018,0.3956,0.5714,1.0054,1200,1200,1200,1200,1200,1200,1200,1200,1200,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0,0,0,0.01,"mphaseSAT"
"SAT_Competition2007/crafted/Difficult/contest05/others/pmg-14-UNSAT.sat05-3942.reshuffled-07.cnf",577,1922,576,1920,0.0017,0.001,0.3,0.4958,0.5773,0.3333,0.5554,0.0052,0.0076,0.0035,0.0052,0.0045,5e-04,1,0.0052,0.0042,0.0047,0.0052,0.0128,0.1998,0.0037,0.1111,0.2,0.0128,0.0026,0.2436,0.001,0.0042,1.5924,0.5021,0.0021,0,0.0021,0.0021,0.0058,0.0879,0.0036,0.0068,0.9737,0.494,0.1017,0.3846,0.5778,0.9963,1200,1200,1200,1200,1200,1200,1200,1200,1200,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0,0,0,0.01,"mphaseSAT"
"SAT_Competition2007/crafted/Difficult/contest05/others/sgp_5-5-6.sat05-2675.reshuffled-07.cnf",18450,200640,5617,108135,2.2847,0.8555,0.0519,0.4855,0.9628,0,1.0987,4e-04,0.5578,4e-04,0.0053,0.6919,0.7881,0.8951,4e-04,0.6974,1e-04,0.0011,1.7332,0.5184,0.4019,0,0.9107,1.6759,3e-04,0.7924,0,8e-04,2.96,0.6825,4e-04,0.7407,1e-04,0.0013,0.0159,0.5427,0.0093,0.0425,1.0278,0.1945,0.2754,0.065,0.4,0.8775,1200,1200,1200,1200,1200,1200,1200,1200,1200,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0.53,0.02,0.09,20.01,"sol"
"SAT_Competition2007/crafted/Difficult/contest05/others/sgp_6-6-10.sat05-2670.reshuffled-07.cnf",131400,1827900,46226,1153770,1.8426,0.5843,0.0401,0.4855,0.9618,0,1.1031,1e-04,0.5786,0,0.0013,0.6855,0.7835,0.8939,1e-04,1.1353,0,2e-04,1.5943,0.356,0.4156,0,0.9516,1.5537,0,1.223,0,2e-04,2.7712,0.6726,0,1.167,0,3e-04,0.0159,0.5427,0.0093,0.0425,1.0278,0.1945,0.2754,0.065,0.4,0.8775,1200,1200,1200,1200,1200,1200,1200,1200,1200,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",10.4,0.37,6.83,20.69,"mphaseSAT"
"SAT_Competition2007/crafted/Difficult/contest05/sabharwal/counting-easier-fphp-014-012.sat05-1215.reshuffled-07.cnf",168,2030,154,1862,0.0909,0.0902,0.0827,0.4626,1.0485,0,0.9932,0.0193,1.0214,0.013,0.1429,0.3256,0.9044,0.9044,0.0193,0,0.0193,0.0193,0,0.2778,0,0.2778,0.2778,0,0.0089,0.334,0.0043,0.0124,2.1601,0.6837,0.0276,0.1443,0.0193,0.0338,0.0207,1.5014,0.007,0.2068,1.0439,0.1323,0.2855,0.0116,0.151,0.8017,1200,1200,1200,1200,1200,1200,1200,1200,1200,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0,0,0,0.31,"sol"
"SAT_Competition2007/crafted/Difficult/contest05/sabharwal/counting-easier-php-018-014.sat05-1175.reshuffled-07.cnf",252,2160,234,2142,0.0769,0.0084,0.1092,0.4527,1.0476,0,1.159,0.0159,1.1687,0.0085,0.1111,0.4213,0.8613,0.8613,0.0159,0,0.0159,0.0159,0,0,0,0,0,0,0.0052,0.3953,0.0023,0.0079,2.1843,0.6097,0.0329,0.1711,0.0215,0.042,0.0294,1.1641,0.0154,0.2003,0.6248,0.0998,0.3364,0.0125,0.1176,0.6248,1200,1200,1200,1200,1200,1200,1200,1200,1200,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0,0,0,0.8,"sol"
"SAT_Competition2007/crafted/Difficult/contest05/sabharwal/counting-harder-php-014-013.sat05-1187.reshuffled-07.cnf",182,1197,168,1183,0.0833,0.0118,0.142,0.4652,1.0194,0,1.2368,0.022,1.0956,0.0119,0.1429,0.4379,0.8487,0.8487,0.022,0,0.022,0.022,0,0,0,0,0,0,0.0079,0.3193,0.0034,0.011,1.8879,0.6653,0.0438,0.1475,0.0313,0.0566,0.0404,1.0904,0.0211,0.2536,0.569,0.1279,0.3315,0.0183,0.151,0.8949,1200,1200,1200,1200,1200,1200,1200,1200,1200,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0,0,0,0.23,"sol"
