"id","c_avg_deg_cons","c_avg_dom_cons","c_avg_domdeg_cons","c_cv_deg_cons","c_cv_dom_cons","c_cv_domdeg_cons","c_domain","c_ent_deg_cons","c_ent_dom_cons","c_ent_domdeg_cons","c_logprod_deg_cons","c_logprod_dom_cons","c_max_deg_cons","c_max_dom_cons","c_max_domdeg_cons","c_min_deg_cons","c_min_dom_cons","c_min_domdeg_cons","c_num_cons","c_ratio_cons","c_sum_ari_cons","c_sum_dom_cons","c_sum_domdeg_cons","d_array_cons","d_bool_cons","d_bool_vars","d_int_cons","d_int_vars","d_ratio_array_cons","d_ratio_bool_cons","d_ratio_bool_vars","d_ratio_int_cons","d_ratio_int_vars","d_ratio_set_cons","d_set_cons","gc_diff_globs","gc_global_cons","gc_ratio_diff","gc_ratio_globs","o_deg","o_deg_avg","o_deg_cons","o_deg_std","o_dom","o_dom_avg","o_dom_deg","o_dom_std","s_bool_search","s_first_fail","s_goal","s_indomain_max","s_indomain_min","s_input_order","s_int_search","s_labeled_vars","s_other_var","v_avg_deg_vars","v_avg_dom_vars","v_avg_domdeg_vars","v_cv_deg_vars","v_cv_dom_vars","v_cv_domdeg_vars","v_def_vars","v_ent_deg_vars","v_ent_dom_vars","v_ent_domdeg_vars","v_intro_vars","v_logprod_deg_vars","v_logprod_dom_vars","v_max_deg_vars","v_max_dom_vars","v_max_domdeg_vars","v_min_dom_vars","v_min_domdeg_vars","v_num_aliases","v_num_consts","v_num_vars","v_ratio_bounded","v_ratio_vars","v_sum_deg_vars","v_sum_dom_vars","v_sum_domdeg_vars","Concrete.free","G12FD.free","Gecode.free","HaifaCSP.free","JaCoP.fd","LCG.Glucose.UC.free","LCG.Glucose.free","MZN.Cbc.free","MZN.CPLEX.free","MZN.Gurobi.free","MZN.SCIP.free","MinisatID.free","Mistral.free","OR.Tools.free","OscaR.CBLS.free","Picat.CP.fd","Picat.SAT.free","SICStus.Prolog.fd","Yuck.free","iZplus.free","Concrete.free_success","G12FD.free_success","Gecode.free_success","HaifaCSP.free_success","JaCoP.fd_success","LCG.Glucose.UC.free_success","LCG.Glucose.free_success","MZN.Cbc.free_success","MZN.CPLEX.free_success","MZN.Gurobi.free_success","MZN.SCIP.free_success","MinisatID.free_success","Mistral.free_success","OR.Tools.free_success","OscaR.CBLS.free_success","Picat.CP.fd_success","Picat.SAT.free_success","SICStus.Prolog.fd_success","Yuck.free_success","iZplus.free_success","base","Class"
"25_01",2.78059,9.52003,3.42974,1.79325,0.856931,0.650545,0,1.02998,3.18638,1.57639,305.48,625.204,79,84.3038,6.35755,2,2,1,237,0.752381,633,2256.25,812.848,0,0,78,159,237,0,0,0.247619,0.670886,0.752381,0,0,0,0,0.333333,0,1,0.477997,0.004219,-1.31779,79,2.22406,79,1.12315,5,0,3,5,0,5,0,5,0,2.09206,35.5206,17.2426,0.396121,1.08984,1.12889,183,1.72383,1.83,2.4088,315,295.554,1033.97,5,83,79,2,0.666667,181,80,315,0.828571,1.32911,659,11189,5431.42,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.675,0,0.9,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE",0.056,"newJointClass"
"25_03",2.78519,10.0202,3.61782,1.87401,0.843925,0.639246,0,1.02867,3.63654,1.77733,349.165,733.536,88,93.4594,6.55459,2,2,1,270,0.756303,723,2705.45,976.81,0,0,87,183,270,0,0,0.243697,0.677778,0.756303,0,0,0,0,0.333333,0,1,0.474734,0.003704,-1.28191,88,2.13991,88,1.07334,5,0,3,5,0,5,0,5,0,2.10644,41.1232,19.6261,0.409751,1.06202,1.07732,207,1.68418,2.10792,2.65545,357,339.135,1229.76,7,94,88,2,0.666667,199,89,357,0.806723,1.32222,752,14681,7006.5,0.3,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.6,0.9,0.9,0.6,0.9,0.9,1,0,0.9,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE",0.084,"newJointClass"
"25_04",2.77155,9.40247,3.40378,1.77122,0.854076,0.649459,0,1.02863,3.05464,1.57516,298.103,609.242,77,82.2668,6.32193,2,2,1,232,0.753247,620,2181.37,789.676,0,0,76,156,232,0,0,0.246753,0.672414,0.753247,0,0,0,0,0.333333,0,1,0.479005,0.00431,-1.2969,77,2.22351,77,1.12439,5,0,3,5,0,5,0,5,0,2.08766,34.6299,16.8124,0.401723,1.08816,1.10816,180,1.69256,1.78693,2.29008,308,288.858,1005.99,6,80,77,2,0.666667,177,78,308,0.827922,1.32759,643,10666,5178.23,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.6,0.9,0.9,0.6,0,0.9,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE",0.08,"newJointClass"
"25_06",2.78182,10.0799,3.65225,1.88092,0.838245,0.6359,0,1.02796,3.42943,1.79914,355.351,750.758,89,94.4757,6.53916,2,2,1,275,0.757576,737,2771.99,1004.37,0,0,88,187,275,0,0,0.242424,0.68,0.757576,0,0,0,0,0.333333,0,1,0.47451,0.003636,-1.34852,89,2.13163,89,1.0728,5,0,3,5,0,5,0,5,0,2.10744,41.7521,19.8518,0.389678,1.05484,1.07807,211,1.68971,1.98962,2.51008,363,346.253,1259.52,6,93,89,2,0.666667,201,90,363,0.801653,1.32,765,15156,7206.22,0.9,0.9,0.3,0.9,0.3,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.3,0.75,0.3,0.9,0,0.15,0.9,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE",0.088,"newJointClass"
"28-4-7-1",2.80363,6.8064,2.17015,1.57996,2.59449,0.579017,28,0.461561,1.83747,1.4069,2246.87,3985,29,286.364,9.87461,2,2,1,1981,1.02856,5078,13483.5,4299.06,110,55,975,1005,951,0.055528,0.027764,0.506231,0.50732,0.493769,0.013629,27,0,0,0.333333,0,1,0.346777,0.000505,-0.383003,136,7.31869,136,0.977289,0,0,3,5,0,0,5,5,5,2.8837,18.5826,8.86668,1.70553,6.46553,6.78209,1844,0.436553,0.579357,0.442607,2683,2186.43,2714.3,33,1009,504.5,2,0.5,896,872,1926,0.917965,0.972236,5554,35790,17077.2,1,0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1,0.9,0.9,0.9,0,0.9,"FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE",0.128,"newJointClass"
"30-5-6-2",2.81409,6.9029,2.18636,1.64715,2.70002,0.579512,30,0.442448,1.80512,1.39047,2533.68,4517.5,31,306.708,9.89381,2,2,1,2243,1.02701,5742,15483.2,4904.02,118,59,1105,1137,1079,0.052608,0.026304,0.505952,0.50691,0.494048,0.012929,29,0,0,0.333333,0,1,0.346008,0.000446,-0.369791,174,9.75801,174,1.33489,0,0,3,5,0,0,5,5,5,2.89011,17.8315,8.4891,1.76855,6.56087,6.90036,2096,0.417112,0.556806,0.423202,3055,2468.76,3043.46,35,1010,505,2,0.5,1020,994,2184,0.922161,0.973696,6312,38944,18540.2,1,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1,0.9,0.9,0.9,0,0.9,"FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE",0.144,"newJointClass"
"30-5-6-8",2.81409,6.9027,2.18635,1.64715,2.69967,0.579477,30,0.442448,1.80348,1.39047,2533.68,4517.5,31,306.298,9.88059,2,2,1,2243,1.02701,5742,15482.7,4903.97,118,59,1105,1137,1079,0.052608,0.026304,0.505952,0.50691,0.494048,0.012929,29,0,0,0.333333,0,1,0.346008,0.000446,-0.369791,136,7.64186,136,1.01182,0,0,3,5,0,0,5,5,5,2.89011,17.7967,8.463,1.76855,6.56429,6.90781,2096,0.417112,0.55347,0.420193,3055,2468.76,3043.05,35,1009,504.5,2,0.5,1020,994,2184,0.922161,0.973696,6312,38868,18483.2,1,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.882692,0.9,1,0.9,0.9,0.9,0,0.9,"FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE",0.192,"newJointClass"
"31_02",2.76451,9.83904,3.5778,1.9818,0.881417,0.65678,0,1.02082,3.34792,1.61355,374.63,782.904,96,101.585,6.63902,2,2,1,293,0.755155,784,2882.84,1048.3,0,0,95,198,293,0,0,0.244845,0.675768,0.755155,0,0,0,0,0.333333,0,1,0.479012,0.003413,-1.33116,96,2.22018,96,1.11784,5,0,3,5,0,5,0,5,0,2.08763,43.2397,20.9491,0.391379,1.09155,1.1249,228,1.66396,1.88597,2.46866,388,364.669,1329.38,6,101,96,2,0.666667,221,97,388,0.819588,1.32423,810,16777,8128.27,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.675,0,0.9,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE",0.068,"Choco.free"
"32-4-8-2",2.82348,6.99339,2.20169,1.71188,2.80266,0.580135,32,0.424993,1.7745,1.37799,2836.87,5083.12,33,326.811,9.90335,2,2,1,2521,1.02563,6446,17630.3,5550.46,126,63,1243,1277,1215,0.04998,0.02499,0.505696,0.506545,0.494304,0.012297,31,0,0,0.333333,0,1,0.345322,0.000397,-0.357847,192,11.2019,192,1.53392,0,0,3,5,0,0,5,5,5,2.89585,17.14,8.13662,1.82949,6.65085,7.01556,2364,0.399467,0.534068,0.405426,3451,2767.47,3389.36,37,1010,505,2,0.5,1152,1124,2458,0.925956,0.97501,7118,42130,19999.8,1,0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1,0.9,0.9,0.9,1,0.9,"FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","TRUE",0.212,"newJointClass"
"32-4-8-5",2.82348,6.99335,2.20169,1.71188,2.80258,0.580126,32,0.424993,1.77242,1.37799,2836.87,5083.12,33,326.71,9.90029,2,2,1,2521,1.02563,6446,17630.2,5550.45,126,63,1243,1277,1215,0.04998,0.02499,0.505696,0.506545,0.494304,0.012297,31,0,0,0.333333,0,1,0.345322,0.000397,-0.357847,181,10.5656,181,1.43808,0,0,3,5,0,0,5,5,5,2.89585,17.131,8.12991,1.82949,6.65167,7.01724,2364,0.399467,0.531286,0.407076,3451,2767.47,3389.26,37,1010,505,2,0.5,1152,1124,2458,0.925956,0.97501,7118,42108,19983.3,1,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1,1,0.886567,0.9,0.9,0,0.9,"FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE",0.18,"newJointClass"
"CELAR6-SUB0",2.47967,13.8492,5.97699,2.83257,0.76073,0.552285,0,0.962973,2.55628,2.09552,982.147,2855.48,208,222.468,10.6008,1,2,1,861,0.981756,2153,11924.2,5146.19,0,0,207,654,670,0,0,0.236032,0.759582,0.763968,0,0,0,0,0.333333,0,1,0.410773,0.001161,-0.560914,45316,71.7194,45316,27.2111,0,5,2,0,5,0,5,5,0,2.43444,631.852,341.188,1.05048,2.59891,4.55351,638,0.350063,1.78383,1.83049,1052,957.971,4950.67,25,45316,45316,2,1,240,208,877,0.510832,1.01858,2135,554134,299222,0.10988,1,0.853816,0,0.898448,0,0,0.2364,0,0,0,0.149321,0,0.898351,0.000291,0.9,0,0.899466,0.019356,0,"TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE",0.108,"Chuffed.free"
"CELAR6-SUB4",2.48797,13.8597,5.95116,4.32977,0.965702,0.555181,0,0.910232,2.34457,2.06627,2230.8,6460.5,478,493.089,10.6008,1,2,1,1953,0.988861,4883,27068.1,11622.6,0,0,477,1476,1498,0,0,0.241519,0.75576,0.758481,0,0,0,0,0.333333,0,1,0.406462,0.000512,-0.443566,69697,112.944,69697,41.0379,0,5,2,0,5,0,5,5,0,2.46025,617.092,325.779,1.33811,2.72782,4.89414,1454,0.241222,1.6691,1.64997,2408,2120.59,11077,36,69697,69697,2,1,522,478,1975,0.506329,1.01126,4859,1218760,643414,0.413736,0.529337,0.5684,0.092868,0.5684,1,0.353555,0.458886,0.03084,0,0.164098,0.9,0.002972,0.5684,0.050574,0.595519,0.113611,0.568775,0.121227,0,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE",0.136,"newJointClass"
"CELAR7-SUB4",2.48797,13.8647,5.95117,4.32977,0.978131,0.555177,0,0.910232,2.34457,2.06627,2230.8,6460.53,478,502.714,10.6008,1,2,1,1953,0.988861,4883,27077.7,11622.6,0,0,477,1476,1498,0,0,0.241519,0.75576,0.758481,0,0,0,0,0.333333,0,1,0.406462,0.000512,-0.443566,55058400,1934.62,55058400,44.4297,0,5,2,0,5,0,5,5,0,2.46025,28459.5,28168.2,1.33811,43.521,43.9713,1454,0.241222,1.6691,1.64997,2408,2120.59,11086.6,36,55058400,55058400,2,1,522,478,1975,0.506329,1.01126,4859,56207500,55632200,0.212408,0.890272,0.74155,0.006337,1,1,0.018053,1,0,2e-05,0.11084,0.781519,0.004417,0.739538,0.9,0.847962,0.004394,0.74155,0.058811,0,"TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE",0.148,"newJointClass"
"UD3-gbac",3.44408,9.29631,3.04284,2.43475,7.90454,0.982798,0,0.663689,3.03535,2.21182,8236.46,15982.1,478,5993.94,14.0401,2,2,1,6796,1.15578,18293,63177.7,20679.2,0,0,2124,4643,3756,0,0,0.361224,0.683196,0.638776,0,0,1,29,0.034483,0.004267,1,0.251218,0.000147,-0.650171,465725000,2939.4,465725000,76.544,0,1,2,0,1,0,1,1,0,3.98061,158442,118821,1.15167,38.3883,51.1279,5365,2.26283,1.85454,2.38978,15300,9491.27,18917.1,71,465725000,465725000,2,0.126761,10172,1244,5880,1.9415,0.865215,23406,931641000,698669000,0.292131,0.724061,0.897208,0.128678,1,1,0.036466,1,1,1,1,1,0.830077,0.9,0.003133,1,0.402832,0.891252,1,0,"TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","TRUE",0.58,"newJointClass"
