"id","nvarsOrig","nclausesOrig","nvars","nclauses","reducedVars","reducedClauses","vars_clauses_ratio","POSNEG_RATIO_CLAUSE_mean","POSNEG_RATIO_CLAUSE_coeff_variation","POSNEG_RATIO_CLAUSE_min","POSNEG_RATIO_CLAUSE_entropy","VCG_CLAUSE_mean","VCG_CLAUSE_coeff_variation","VCG_CLAUSE_min","VCG_CLAUSE_max","VCG_CLAUSE_entropy","BINARYp","TRINARYp","VCG_VAR_mean","VCG_VAR_coeff_variation","VCG_VAR_min","VCG_VAR_max","VCG_VAR_entropy","POSNEG_RATIO_VAR_mean","POSNEG_RATIO_VAR_stdev","POSNEG_RATIO_VAR_min","POSNEG_RATIO_VAR_max","POSNEG_RATIO_VAR_entropy","HORNY_VAR_mean","HORNY_VAR_coeff_variation","HORNY_VAR_min","HORNY_VAR_max","HORNY_VAR_entropy","horn_clauses_fraction","VG_mean","VG_coeff_variation","VG_min","VG_max","CG_mean","CG_coeff_variation","CG_min","CG_max","CG_entropy","cluster_coeff_mean","cluster_coeff_coeff_variation","cluster_coeff_min","cluster_coeff_max","cluster_coeff_entropy","clasp1","clasp2","cryptominisat2011","ebglucose","ebminisat","glucose2","glueminisat","lingeling","lrglshr","marchrw","minisatpsm","mphaseSAT","mphaseSATm","mxc09","picosat","precosat","qutersat","rcl","restartsat","sapperlot","sol","spear.hw","spear.sw","clasp1_success","clasp2_success","cryptominisat2011_success","ebglucose_success","ebminisat_success","glucose2_success","glueminisat_success","lingeling_success","lrglshr_success","marchrw_success","minisatpsm_success","mphaseSAT_success","mphaseSATm_success","mxc09_success","picosat_success","precosat_success","qutersat_success","rcl_success","restartsat_success","sapperlot_success","sol_success","spear.hw_success","spear.sw_success","Pre","Basic","KLB","CG","Class"
"SAT_Competition2007/random/LargeSize/5SAT/v700/unif-k5-r20-v700-c14000-S643005221-14.cnf",700,14000,700,14000,0,0,0.05,0.3769,0.6479,0.2,0.8342,0.0071,0,0.0071,0.0071,0,0,0,0.0071,0.0968,0.0052,0.0097,3.6445,0.0861,0.0627,0,0.3882,3.0742,0.0014,0.227,6e-04,0.0026,2.8737,0.1935,0.0218,0.0756,0.0169,0.0274,0.0079,0.2428,0.0027,0.0167,2.9712,0.106,0.2433,0.0488,0.2857,2.2567,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,23.72,23.04,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0.03,0,0.01,20.01,"eagleup"
"SAT_Competition2007/random/LargeSize/5SAT/v800/unif-k5-r20-v800-c16000-S1058323130-08.cnf",800,16000,800,16000,0,0,0.05,0.3775,0.6501,0.2,0.837,0.0063,0,0.0063,0.0063,0,0,0,0.0063,0.105,0.004,0.0084,3.7198,0.0802,0.0621,0,0.3556,3.0232,0.0012,0.2238,4e-04,0.0021,2.8814,0.1963,0.0197,0.0837,0.0138,0.0245,0.0079,0.2428,0.0027,0.0167,2.9712,0.106,0.2433,0.0488,0.2857,2.2567,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,181.8,180.44,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0.03,0.01,0,20.01,"tnm"
"SAT_Competition2007/random/LargeSize/5SAT/v800/unif-k5-r20-v800-c16000-S1059928571-06.cnf",800,16000,800,16000,0,0,0.05,0.3755,0.6512,0.2,0.8325,0.0063,0,0.0063,0.0063,0,0,0,0.0063,0.1007,0.0044,0.0083,3.6827,0.0816,0.0616,0,0.4021,3.0233,0.0012,0.228,3e-04,0.0019,2.8554,0.1886,0.0197,0.0799,0.0146,0.0243,0.0079,0.2428,0.0027,0.0167,2.9712,0.106,0.2433,0.0488,0.2857,2.2567,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,988.27,1015.25,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0.03,0.01,0,20.01,"sparrow"
"SAT_Competition2007/random/LargeSize/5SAT/v800/unif-k5-r20-v800-c16000-S1063466123-05.cnf",800,16000,800,16000,0,0,0.05,0.3746,0.6464,0.2,0.8277,0.0063,0,0.0063,0.0063,0,0,0,0.0063,0.1005,0.0043,0.0089,3.6822,0.0788,0.0614,0,0.3721,3.0112,0.0011,0.23,4e-04,0.0022,2.834,0.1831,0.0196,0.0805,0.0144,0.0259,0.0079,0.2428,0.0027,0.0167,2.9712,0.106,0.2433,0.0488,0.2857,2.2567,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0.03,0,0.01,20.01,"eagleup"
"SAT_Competition2007/random/LargeSize/5SAT/v800/unif-k5-r20-v800-c16000-S191957358-10.cnf",800,16000,800,16000,0,0,0.05,0.375,0.6472,0.2,0.8293,0.0063,0,0.0063,0.0063,0,0,0,0.0063,0.0978,0.0046,0.0086,3.6538,0.0779,0.0597,0,0.2844,2.9891,0.0012,0.2297,4e-04,0.0022,2.8802,0.1911,0.0196,0.078,0.0155,0.0246,0.0079,0.2428,0.0027,0.0167,2.9712,0.106,0.2433,0.0488,0.2857,2.2567,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0.03,0,0.01,20.01,"gnoveltyp2"
"SAT_Competition2007/random/LargeSize/5SAT/v800/unif-k5-r20-v800-c16000-S1922669300-13.cnf",800,16000,800,16000,0,0,0.05,0.3709,0.6543,0.2,0.8225,0.0063,0,0.0063,0.0063,0,0,0,0.0063,0.0975,0.0045,0.0081,3.6563,0.0818,0.0621,0,0.3131,3.0372,0.0011,0.2303,4e-04,0.0021,2.8321,0.1821,0.0197,0.0785,0.0149,0.0244,0.0079,0.2428,0.0027,0.0167,2.9712,0.106,0.2433,0.0488,0.2857,2.2567,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,960.04,963.69,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0.02,0,0.01,20.01,"eagleup"
"SAT_Competition2007/random/LargeSize/5SAT/v800/unif-k5-r20-v800-c16000-S2109328271-14.cnf",800,16000,800,16000,0,0,0.05,0.3779,0.6489,0.2,0.8371,0.0063,0,0.0063,0.0063,0,0,0,0.0063,0.0961,0.0045,0.0082,3.6415,0.077,0.058,0,0.3143,2.9801,0.0012,0.2261,4e-04,0.0021,2.8692,0.1923,0.0196,0.0751,0.0154,0.0234,0.0079,0.2428,0.0027,0.0167,2.9712,0.106,0.2433,0.0488,0.2857,2.2567,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0.03,0,0.01,20.01,"gnoveltyp2"
"SAT_Competition2007/random/LargeSize/5SAT/v800/unif-k5-r20-v800-c16000-S409844453-15.cnf",800,16000,800,16000,0,0,0.05,0.375,0.6474,0.2,0.8294,0.0063,0,0.0063,0.0063,0,0,0,0.0063,0.1018,0.0043,0.0081,3.7022,0.0845,0.0613,0,0.3861,3.0581,0.0012,0.2268,3e-04,0.0021,2.8502,0.1879,0.0197,0.0803,0.0151,0.0239,0.0079,0.2428,0.0027,0.0167,2.9712,0.106,0.2433,0.0488,0.2857,2.2567,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,155.1,157.71,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0.03,0,0.01,20.01,"gnoveltyp2"
"SAT_Competition2007/random/LargeSize/5SAT/v800/unif-k5-r20-v800-c16000-S411047518-16.cnf",800,16000,800,16000,0,0,0.05,0.3766,0.648,0.2,0.8336,0.0063,0,0.0063,0.0063,0,0,0,0.0063,0.1034,0.0044,0.0079,3.718,0.081,0.0647,0,0.3333,3.033,0.0012,0.2298,4e-04,0.0021,2.8766,0.1909,0.0196,0.0827,0.015,0.0243,0.0079,0.2428,0.0027,0.0167,2.9712,0.106,0.2433,0.0488,0.2857,2.2567,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0.03,0,0.01,20.01,"sparrow"
"SAT_Competition2007/random/LargeSize/5SAT/v800/unif-k5-r20-v800-c16000-S451874538-03.cnf",800,16000,800,16000,0,0,0.05,0.3776,0.6517,0.2,0.838,0.0063,0,0.0063,0.0063,0,0,0,0.0063,0.098,0.0046,0.0085,3.6732,0.0806,0.0606,0,0.3737,3.0264,0.0012,0.2325,3e-04,0.0022,2.8997,0.194,0.0197,0.0788,0.0151,0.0246,0.0079,0.2428,0.0027,0.0167,2.9712,0.106,0.2433,0.0488,0.2857,2.2567,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0.03,0,0.01,20.01,"sparrow"
"SAT_Competition2007/random/LargeSize/5SAT/v800/unif-k5-r20-v800-c16000-S769702923-04.cnf",800,16000,800,16000,0,0,0.05,0.3737,0.6498,0.2,0.8273,0.0063,0,0.0063,0.0063,0,0,0,0.0063,0.0989,0.0044,0.009,3.6605,0.0776,0.0575,0,0.3069,2.9836,0.0012,0.2235,4e-04,0.002,2.8343,0.1871,0.0197,0.0798,0.0149,0.0263,0.0079,0.2428,0.0027,0.0167,2.9712,0.106,0.2433,0.0488,0.2857,2.2567,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0.03,0,0.01,20.01,"sparrow"
"SAT_Competition2007/random/LargeSize/5SAT/v900/unif-k5-r20-v900-c18000-S1175862975-06.cnf",900,18000,900,18000,0,0,0.05,0.3745,0.6502,0.2,0.8295,0.0056,0,0.0056,0.0056,0,0,0,0.0056,0.0964,0.004,0.0074,3.6467,0.0823,0.0645,0,0.3895,3.0472,0.001,0.2337,4e-04,0.0018,2.8563,0.1843,0.018,0.0791,0.0138,0.022,0.0079,0.2428,0.0027,0.0167,2.9712,0.106,0.2433,0.0488,0.2857,2.2567,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0.04,0,0.01,20.01,"eagleup"
"SAT_Competition2007/random/LargeSize/5SAT/v900/unif-k5-r20-v900-c18000-S1207324880-03.cnf",900,18000,900,18000,0,0,0.05,0.3708,0.6489,0.2,0.8196,0.0056,0,0.0056,0.0056,0,0,0,0.0056,0.0985,0.0037,0.0072,3.6787,0.0816,0.0629,0,0.3191,3.0374,0.001,0.2314,2e-04,0.0019,2.8436,0.1825,0.0179,0.0805,0.0127,0.022,0.0079,0.2428,0.0027,0.0167,2.9712,0.106,0.2433,0.0488,0.2857,2.2567,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0.05,0,0.01,20.01,"eagleup"
"SAT_Competition2007/random/LargeSize/5SAT/v900/unif-k5-r20-v900-c18000-S1285628870-05.cnf",900,18000,900,18000,0,0,0.05,0.3732,0.6486,0.2,0.8254,0.0056,0,0.0056,0.0056,0,0,0,0.0056,0.1024,0.0039,0.0074,3.7028,0.082,0.0622,0,0.4588,3.0268,0.001,0.222,3e-04,0.002,2.8277,0.1883,0.0179,0.0834,0.0134,0.0236,0.0079,0.2428,0.0027,0.0167,2.9712,0.106,0.2433,0.0488,0.2857,2.2567,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0.03,0,0.01,20.01,"sparrow"
"SAT_Competition2007/random/LargeSize/5SAT/v900/unif-k5-r20-v900-c18000-S1509822356-13.cnf",900,18000,900,18000,0,0,0.05,0.3714,0.6516,0.2,0.8225,0.0056,0,0.0056,0.0056,0,0,0,0.0056,0.1007,0.004,0.0073,3.6898,0.0777,0.0586,0,0.36,2.9855,0.001,0.2373,3e-04,0.0018,2.8619,0.1828,0.0179,0.082,0.0134,0.0222,0.0079,0.2428,0.0027,0.0167,2.9712,0.106,0.2433,0.0488,0.2857,2.2567,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0.03,0.01,0,20.01,"gnoveltyp2"
"SAT_Competition2007/random/LargeSize/5SAT/v900/unif-k5-r20-v900-c18000-S1517867865-16.cnf",900,18000,900,18000,0,0,0.05,0.3745,0.6479,0.2,0.8282,0.0056,0,0.0056,0.0056,0,0,0,0.0056,0.1,0.0039,0.0076,3.6803,0.0782,0.0607,0,0.3269,2.9886,0.001,0.2332,3e-04,0.0018,2.8678,0.1853,0.0179,0.0817,0.0134,0.0224,0.0079,0.2428,0.0027,0.0167,2.9712,0.106,0.2433,0.0488,0.2857,2.2567,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0.05,0,0.01,20.01,"sparrow"
"SAT_Competition2007/random/LargeSize/5SAT/v900/unif-k5-r20-v900-c18000-S1582455625-10.cnf",900,18000,900,18000,0,0,0.05,0.3736,0.6486,0.2,0.8264,0.0056,0,0.0056,0.0056,0,0,0,0.0056,0.1002,0.0038,0.0072,3.6858,0.0816,0.0622,0,0.3933,3.0218,0.001,0.2332,4e-04,0.0018,2.8593,0.1839,0.0179,0.0813,0.0132,0.0222,0.0079,0.2428,0.0027,0.0167,2.9712,0.106,0.2433,0.0488,0.2857,2.2567,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0.03,0.01,0,20.01,"tnm"
"SAT_Competition2007/random/LargeSize/5SAT/v900/unif-k5-r20-v900-c18000-S16540223-14.cnf",900,18000,900,18000,0,0,0.05,0.3752,0.6516,0.2,0.8319,0.0056,0,0.0056,0.0056,0,0,0,0.0056,0.1004,0.0038,0.0076,3.6829,0.0781,0.0593,0,0.3077,2.9893,0.001,0.2224,4e-04,0.0018,2.8318,0.1874,0.0179,0.082,0.0128,0.0222,0.0079,0.2428,0.0027,0.0167,2.9712,0.106,0.2433,0.0488,0.2857,2.2567,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0.03,0.01,0,20.01,"eagleup"
"SAT_Competition2007/random/LargeSize/5SAT/v900/unif-k5-r20-v900-c18000-S2050975470-04.cnf",900,18000,900,18000,0,0,0.05,0.3782,0.6507,0.2,0.839,0.0056,0,0.0056,0.0056,0,0,0,0.0056,0.1023,0.0036,0.0076,3.7046,0.0791,0.0627,0,0.3333,3.0255,0.0011,0.2408,4e-04,0.0018,2.918,0.1896,0.018,0.084,0.0126,0.0229,0.0079,0.2428,0.0027,0.0167,2.9712,0.106,0.2433,0.0488,0.2857,2.2567,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,869.9,870.51,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0.04,0,0.01,20.01,"gnoveltyp2"
"SAT_Competition2007/random/LargeSize/5SAT/v900/unif-k5-r20-v900-c18000-S422570514-15.cnf",900,18000,900,18000,0,0,0.05,0.3758,0.651,0.2,0.8332,0.0056,0,0.0056,0.0056,0,0,0,0.0056,0.1006,0.0041,0.0073,3.6923,0.0838,0.0637,0,0.3333,3.0663,0.0011,0.2166,4e-04,0.0017,2.8131,0.1908,0.0179,0.0817,0.0138,0.0221,0.0079,0.2428,0.0027,0.0167,2.9712,0.106,0.2433,0.0488,0.2857,2.2567,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0.03,0,0.01,20.01,"tnm"
"SAT_Competition2007/random/LargeSize/5SAT/v900/unif-k5-r20-v900-c18000-S453945536-08.cnf",900,18000,900,18000,0,0,0.05,0.3719,0.6477,0.2,0.8216,0.0056,0,0.0056,0.0056,0,0,0,0.0056,0.1015,0.0037,0.0072,3.7061,0.0793,0.0615,0,0.3725,3.0034,0.001,0.2362,4e-04,0.0019,2.8837,0.1879,0.0179,0.0824,0.0126,0.0221,0.0079,0.2428,0.0027,0.0167,2.9712,0.106,0.2433,0.0488,0.2857,2.2567,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0.04,0.01,0.01,20.01,"sparrow"
"SAT_Competition2007/random/LargeSize/7SAT/v140/unif-k7-r85-v140-c11900-S1048256369-15.cnf",140,11900,140,11900,0,0,0.0118,0.312,0.676,0.1429,0.9988,0.05,0,0.05,0.05,0,0,0,0.05,0.0381,0.0451,0.0574,4.1166,0.0362,0.0289,0,0.133,2.1989,0.003,0.1829,0.0017,0.0044,3.2307,0.0608,0.0117,0,0.0117,0.0117,0.0079,0.2428,0.0027,0.0167,2.9712,0.106,0.2433,0.0488,0.2857,2.2567,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,94.49,114.1,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0.03,0,0.01,20.18,"sattimep"
"SAT_Competition2007/random/LargeSize/7SAT/v140/unif-k7-r85-v140-c11900-S120857050-04.cnf",140,11900,140,11900,0,0,0.0118,0.3138,0.6798,0.1429,1.0066,0.05,0,0.05,0.05,0,0,0,0.05,0.0377,0.0458,0.0561,4.0416,0.0327,0.025,0,0.1289,2.1009,0.0031,0.1631,0.0018,0.0042,3.1059,0.0613,0.0117,0,0.0117,0.0117,0.0079,0.2428,0.0027,0.0167,2.9712,0.106,0.2433,0.0488,0.2857,2.2567,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,174.16,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0.03,0,0.01,20.18,"eagleup"
"SAT_Competition2007/random/LargeSize/7SAT/v140/unif-k7-r85-v140-c11900-S1215030506-14.cnf",140,11900,140,11900,0,0,0.0118,0.3158,0.6773,0.1429,1.0113,0.05,0,0.05,0.05,0,0,0,0.05,0.0429,0.0446,0.0578,4.1999,0.0282,0.0234,0,0.1284,1.9724,0.0031,0.1682,0.0019,0.0043,3.1071,0.0623,0.0117,0,0.0117,0.0117,0.0079,0.2428,0.0027,0.0167,2.9712,0.106,0.2433,0.0488,0.2857,2.2567,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,665.32,903.76,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0.04,0,0,20.16,"sattime"
"SAT_Competition2007/random/LargeSize/7SAT/v140/unif-k7-r85-v140-c11900-S1426208256-08.cnf",140,11900,140,11900,0,0,0.0118,0.312,0.6841,0.1429,1.0031,0.05,0,0.05,0.05,0,0,0,0.05,0.0352,0.0462,0.0545,4.0529,0.0336,0.0227,0,0.1256,2.0786,0.0032,0.1691,0.0018,0.0051,3.0974,0.0637,0.0117,0,0.0117,0.0117,0.0079,0.2428,0.0027,0.0167,2.9712,0.106,0.2433,0.0488,0.2857,2.2567,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,712.15,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0.03,0,0.01,20.22,"eagleup"
"SAT_Competition2007/random/LargeSize/7SAT/v140/unif-k7-r85-v140-c11900-S1826229031-16.cnf",140,11900,140,11900,0,0,0.0118,0.3142,0.6808,0.1429,1.0082,0.05,0,0.05,0.05,0,0,0,0.05,0.0416,0.0445,0.055,4.2278,0.0342,0.0244,0,0.0988,2.1359,0.0032,0.1517,0.0022,0.0049,3.0481,0.0643,0.0117,0,0.0117,0.0117,0.0079,0.2428,0.0027,0.0167,2.9712,0.106,0.2433,0.0488,0.2857,2.2567,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,119.57,216.04,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0.03,0,0.01,20.14,"sattimep"
"SAT_Competition2007/random/LargeSize/7SAT/v140/unif-k7-r85-v140-c11900-S1998470614-06.cnf",140,11900,140,11900,0,0,0.0118,0.313,0.6819,0.1429,1.005,0.05,0,0.05,0.05,0,0,0,0.05,0.0408,0.0449,0.0547,4.1202,0.0314,0.0245,0,0.1207,2.0569,0.0031,0.1802,0.0018,0.0043,3.1283,0.0621,0.0117,0,0.0117,0.0117,0.0079,0.2428,0.0027,0.0167,2.9712,0.106,0.2433,0.0488,0.2857,2.2567,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,403.44,554.12,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0.03,0.01,0,20.03,"sattime"
"SAT_Competition2007/random/LargeSize/7SAT/v140/unif-k7-r85-v140-c11900-S2026599491-05.cnf",140,11900,140,11900,0,0,0.0118,0.311,0.6812,0.1429,0.9985,0.05,0,0.05,0.05,0,0,0,0.05,0.0417,0.0456,0.0574,4.1609,0.0324,0.0237,0,0.1278,2.068,0.0031,0.1557,0.0018,0.0045,3.0035,0.0615,0.0117,0,0.0117,0.0117,0.0079,0.2428,0.0027,0.0167,2.9712,0.106,0.2433,0.0488,0.2857,2.2567,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,255.59,115.67,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0.03,0,0,20.14,"sattime"
