"id","nvarsOrig","nclausesOrig","nvars","nclauses","reducedVars","reducedClauses","vars_clauses_ratio","POSNEG_RATIO_CLAUSE_mean","POSNEG_RATIO_CLAUSE_coeff_variation","POSNEG_RATIO_CLAUSE_min","POSNEG_RATIO_CLAUSE_entropy","VCG_CLAUSE_mean","VCG_CLAUSE_coeff_variation","VCG_CLAUSE_min","VCG_CLAUSE_max","VCG_CLAUSE_entropy","BINARYp","TRINARYp","VCG_VAR_mean","VCG_VAR_coeff_variation","VCG_VAR_min","VCG_VAR_max","VCG_VAR_entropy","POSNEG_RATIO_VAR_mean","POSNEG_RATIO_VAR_stdev","POSNEG_RATIO_VAR_min","POSNEG_RATIO_VAR_max","POSNEG_RATIO_VAR_entropy","HORNY_VAR_mean","HORNY_VAR_coeff_variation","HORNY_VAR_min","HORNY_VAR_max","HORNY_VAR_entropy","horn_clauses_fraction","VG_mean","VG_coeff_variation","VG_min","VG_max","CG_mean","CG_coeff_variation","CG_min","CG_max","CG_entropy","cluster_coeff_mean","cluster_coeff_coeff_variation","cluster_coeff_min","cluster_coeff_max","cluster_coeff_entropy","QuteRSat_2011.05.12_fixed_","RestartSAT_B95","SAT07referencesolverminisat_SAT2007","SApperloT2010_2011.05.15_fixed_","glucose_2","jMiniSat_2011","sathys_2011.04.01","QuteRSat_2011.05.12_fixed__success","RestartSAT_B95_success","SAT07referencesolverminisat_SAT2007_success","SApperloT2010_2011.05.15_fixed__success","glucose_2_success","jMiniSat_2011_success","sathys_2011.04.01_success","Pre","Basic","KLB","CG","Class"
"./SAT02/handmade/zhang-lintao/xor-chain/x1_40.shuffled.cnf",118,314,79,296,0.4937,0.0608,0.2669,0.3851,0.8726,0,1.2485,0.0489,0.0885,0.038,0.0506,0.396,0,0.1351,0.0489,0.1341,0.0405,0.0541,0.6639,0,0,0,0,0,0.015,0.4495,0.0068,0.027,1.2311,0.3074,0.019,0.0864,0.0169,0.0203,0.0686,0.1238,0.0507,0.0777,1.3229,0.4433,0.0581,0.4,0.4805,1.6317,1.08983,452.51,116.587,2878.35,238.859,350.308,649.253,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE",0,0,0,0,"MPhaseSAT_2011.02.15"
"./SAT02/handmade/zhang-lintao/xor-chain/x1_80.shuffled.cnf",238,634,168,632,0.4167,0.0032,0.2658,0.3892,0.8484,0,1.23,0.0231,0.0858,0.0179,0.0238,0.3798,0,0.1266,0.0231,0.1315,0.019,0.0253,0.6518,0,0,0,0,0,0.0076,0.4339,0.0032,0.0127,1.4492,0.3339,0.0089,0.0857,0.0079,0.0095,0.0323,0.1287,0.0237,0.0364,1.4206,0.4452,0.0681,0.4,0.5325,1.6011,3.58645,5000,5000,5000,5000,5000,5000,"TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0,0,0,0.01,"MPhaseSAT_2011.02.15"
"./SAT03/handmade/anton/SAT/SGI_30_80_15_90_4-dir.shuffled-as.sat03-6.cnf",450,28508,435,28058,0.0345,0.016,0.0155,0.4921,1.0138,0,0.7656,0.0055,1.6885,0.0046,0.1333,0.0719,0.9893,0.9893,0.0055,0.1525,0.0034,0.0074,3.4695,0.65,0.0613,0.5,0.8219,2.765,0.0035,0.3653,0.0012,0.0065,3.9239,0.7612,0.0155,0,0.0155,0.0155,0.0206,0.645,0.0128,0.0694,0.8158,0.1766,0.2851,0.0435,0.3333,0.7701,5000,400.485,5000,604.253,5000,5000,38.1682,"FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE",0.07,0.01,0,60.61,"sattime_2011.03.02"
"./SAT03/handmade/anton/UNSAT/SGI_30_50_30_20_1-log.shuffled-as.sat03-107.cnf",150,56970,150,56970,0,0,0.0026,0.2464,0.8062,0,1.3541,0.0666,0.0162,0.0333,0.0667,0.0083,0,0,0.0666,0.2157,0.0379,0.0983,2.0084,0.047,0.0229,0.0028,0.0689,1.3313,7e-04,0.2672,3e-04,0.0011,2.9504,0.0104,0.0026,0,0.0026,0.0026,0.0206,0.645,0.0128,0.0694,0.8158,0.1766,0.2851,0.0435,0.3333,0.7701,5000,4859.18,1565.15,5000,2133.3,5000,5000,"FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE",0.27,0.01,0.06,63.71,"PicoSAT_941"
"./SAT03/handmade/anton/UNSAT/SGI_30_50_30_20_3-log.shuffled-as.sat03-109.cnf",150,58358,150,58358,0,0,0.0026,0.245,0.8063,0,1.349,0.0666,0.016,0.0333,0.0667,0.0081,0,0,0.0666,0.2016,0.038,0.1071,1.727,0.0417,0.0297,0.0013,0.0858,1.7367,7e-04,0.2644,2e-04,0.0011,3.0141,0.0106,0.0026,0,0.0026,0.0026,0.0206,0.645,0.0128,0.0694,0.8158,0.1766,0.2851,0.0435,0.3333,0.7701,5000,5000,4978.11,5000,4121.23,5000,5000,"FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE",0.27,0.01,0.07,63.44,"SAT09referencesolverclasp_1.2.0.SAT09.32"
"./SAT03/handmade/anton/UNSAT/SGI_30_50_30_20_5-log.shuffled-as.sat03-111.cnf",150,55222,150,55222,0,0,0.0027,0.2473,0.8027,0,1.3548,0.0666,0.0165,0.0333,0.0667,0.0085,0,0,0.0666,0.2775,0.0401,0.1131,2.0433,0.0603,0.0411,0,0.1204,1.5326,7e-04,0.2621,4e-04,0.0011,2.9679,0.0105,0.0027,0,0.0027,0.0027,0.0206,0.645,0.0128,0.0694,0.8158,0.1766,0.2851,0.0435,0.3333,0.7701,5000,5000,4281.81,5000,5000,5000,5000,"FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE",0.26,0.01,0.06,63.56,"SAT09referencesolverclasp_1.2.0.SAT09.32"
"./SAT03/handmade/anton/UNSAT/SGI_30_60_20_50_3-dir.shuffled-as.sat03-114.cnf",600,49070,580,48470,0.0345,0.0124,0.012,0.4921,1.0111,0,0.8149,0.0046,1.8278,0.0034,0.1,0.1227,0.9787,0.9787,0.0046,0.1659,0.0028,0.0071,4.206,0.458,0.0837,0.2718,0.6349,3.0492,0.0026,0.3897,9e-04,0.0056,4.3811,0.7464,0.0119,0,0.0119,0.0119,0.0206,0.645,0.0128,0.0694,0.8158,0.1766,0.2851,0.0435,0.3333,0.7701,5000,5000,5000,5000,5000,5000,5000,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0.26,0,0.02,60.01,"clasp_2.0.R4092.crafted"
"./SAT03/handmade/anton/UNSAT/SGI_30_60_24_40_2-log.shuffled-as.sat03-119.cnf",120,48342,120,48342,0,0,0.0025,0.2441,0.8074,0,1.3464,0.0833,0.0158,0.0417,0.0833,0.0079,0,0,0.0833,0.207,0.0497,0.1134,2.1089,0.0753,0.0345,0.0387,0.1409,1.899,8e-04,0.2977,2e-04,0.0012,2.8674,0.0094,0.0025,0,0.0025,0.0025,0.0206,0.645,0.0128,0.0694,0.8158,0.1766,0.2851,0.0435,0.3333,0.7701,5000,5000,5000,5000,5000,5000,5000,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0.22,0.01,0.05,62.06,"SAT09referencesolverclasp_1.2.0.SAT09.32"
"./SAT03/handmade/anton/UNSAT/SGI_30_60_28_40_7-log.shuffled-as.sat03-127.cnf",140,58376,140,58376,0,0,0.0024,0.2485,0.8024,0,1.3553,0.0714,0.0155,0.0357,0.0714,0.0076,0,0,0.0714,0.1802,0.0472,0.0972,2.0951,0.0606,0.0257,0.0218,0.0938,1.7102,8e-04,0.3043,2e-04,0.0013,3.1342,0.0108,0.0024,0,0.0024,0.0024,0.0206,0.645,0.0128,0.0694,0.8158,0.1766,0.2851,0.0435,0.3333,0.7701,5000,5000,5000,5000,5000,5000,5000,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0.27,0.01,0.07,61.05,"SAT09referencesolverclasp_1.2.0.SAT09.32"
"./SAT03/handmade/anton/UNSAT/SGI_30_60_29_30_6-dir.shuffled-as.sat03-130.cnf",870,69964,841,69094,0.0345,0.0126,0.0122,0.4941,1.0077,0,0.8081,0.0032,1.9496,0.0024,0.069,0.1198,0.98,0.98,0.0032,0.1795,0.0015,0.005,4.3147,0.4506,0.0543,0.2952,0.6012,2.9186,0.0017,0.3926,4e-04,0.0038,4.4349,0.7352,0.0122,0,0.0122,0.0122,0.0206,0.645,0.0128,0.0694,0.8158,0.1766,0.2851,0.0435,0.3333,0.7701,5000,5000,5000,5000,5000,5000,5000,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0.39,0.01,0.03,60.01,"clasp_2.0.R4092.crafted"
"./SAT03/handmade/anton/UNSAT/SGI_30_70_15_90_1-dir.shuffled-as.sat03-136.cnf",450,31962,435,31512,0.0345,0.0143,0.0138,0.4902,1.0134,0,0.8437,0.0066,1.8311,0.0046,0.1333,0.1431,0.9723,0.9723,0.0066,0.1313,0.0046,0.009,3.6208,0.3715,0.0848,0.2308,0.5865,2.8225,0.0033,0.3882,0.0013,0.0067,4.0122,0.7269,0.0138,0,0.0138,0.0138,0.0206,0.645,0.0128,0.0694,0.8158,0.1766,0.2851,0.0435,0.3333,0.7701,5000,5000,5000,5000,5000,5000,5000,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0.18,0,0.01,60.01,"Sol_2011.04.04"
"./SAT03/handmade/anton/UNSAT/SGI_30_70_15_90_1-log.shuffled-as.sat03-137.cnf",75,25452,75,25452,0,0,0.0029,0.2468,0.807,0,1.3554,0.1333,0.0172,0.0667,0.1333,0.0091,0,0,0.1333,0.0715,0.1077,0.1442,1.252,0.0679,0.0567,0.0051,0.1597,1.4595,0.0014,0.2023,0.0011,0.0022,2.4308,0.0107,0.0029,0,0.0029,0.0029,0.0206,0.645,0.0128,0.0694,0.8158,0.1766,0.2851,0.0435,0.3333,0.7701,5000,5000,5000,5000,5000,5000,5000,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0.11,0,0.03,60.44,"SAT09referencesolverclasp_1.2.0.SAT09.32"
"./SAT03/handmade/anton/UNSAT/SGI_30_70_18_80_10-dir.shuffled-as.sat03-140.cnf",540,40510,522,39970,0.0345,0.0135,0.0131,0.4856,1.0233,0,0.845,0.0058,1.7708,0.0038,0.1111,0.1663,0.9642,0.9642,0.0058,0.1506,0.0035,0.0083,3.9417,0.2911,0.0864,0.1321,0.459,3.0958,0.0028,0.3923,0.001,0.0056,4.7618,0.7307,0.008,0.1712,0.0049,0.0117,0.0206,0.645,0.0128,0.0694,0.8158,0.1766,0.2851,0.0435,0.3333,0.7701,5000,5000,5000,5000,5000,5000,5000,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0.29,0.01,0.01,60.04,"clasp_2.0.R4092.crafted"
"./SAT03/handmade/anton/UNSAT/SGI_30_70_19_80_8-log.shuffled-as.sat03-143.cnf",95,36888,95,36888,0,0,0.0026,0.2437,0.8114,0,1.3492,0.1052,0.016,0.0526,0.1053,0.0081,0,0,0.1052,0.1413,0.0711,0.1204,1.6892,0.0642,0.0436,0.0183,0.136,1.6947,0.0011,0.3199,6e-04,0.0021,2.7985,0.0107,0.0025,0,0.0025,0.0025,0.0206,0.645,0.0128,0.0694,0.8158,0.1766,0.2851,0.0435,0.3333,0.7701,5000,5000,4526.03,5000,5000,5000,5000,"FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE",0.16,0.01,0.03,60.22,"SAT09referencesolverclasp_1.2.0.SAT09.32"
"./SAT03/handmade/anton/UNSAT/SGI_30_70_20_60_10-dir.shuffled-as.sat03-144.cnf",600,46074,580,45474,0.0345,0.0132,0.0128,0.4885,1.0163,0,0.8556,0.0051,1.8913,0.0034,0.1,0.1562,0.9697,0.9697,0.0051,0.1382,0.0036,0.0071,4.2017,0.328,0.0591,0.1861,0.422,2.8961,0.0025,0.3911,0.001,0.005,4.3551,0.7195,0.0127,0,0.0127,0.0127,0.0206,0.645,0.0128,0.0694,0.8158,0.1766,0.2851,0.0435,0.3333,0.7701,5000,5000,5000,5000,5000,5000,5000,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0.32,0,0.02,60.01,"clasp_2.0.R4092.crafted"
"./SAT03/handmade/anton/UNSAT/SGI_30_70_20_70_1-dir.shuffled-as.sat03-146.cnf",600,46988,580,46388,0.0345,0.0129,0.0125,0.4862,1.0222,0,0.8367,0.005,1.7616,0.0034,0.1,0.1486,0.9694,0.9694,0.005,0.1589,0.0033,0.0073,4.1117,0.3519,0.09,0.1386,0.4982,3.0694,0.0024,0.4245,8e-04,0.005,4.7716,0.7058,0.0079,0.1884,0.0043,0.0125,0.0206,0.645,0.0128,0.0694,0.8158,0.1766,0.2851,0.0435,0.3333,0.7701,5000,5000,5000,5000,5000,5000,5000,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0.29,0,0.02,61.06,"clasp_2.0.R4092.crafted"
"./SAT03/handmade/anton/UNSAT/SGI_30_70_21_60_7-log.shuffled-as.sat03-151.cnf",105,40110,105,40110,0,0,0.0026,0.2476,0.8095,0,1.3609,0.0952,0.0162,0.0476,0.0952,0.0082,0,0,0.0952,0.1562,0.0551,0.1219,1.9103,0.0732,0.0402,0.0109,0.1387,1.4088,0.0011,0.2799,6e-04,0.0019,2.5575,0.0114,0.0026,0,0.0026,0.0026,0.0206,0.645,0.0128,0.0694,0.8158,0.1766,0.2851,0.0435,0.3333,0.7701,5000,5000,5000,5000,5000,5000,5000,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0.17,0.01,0.04,62.28,"CryptoMiniSat_Strange.Night2.st_fixed_"
"./SAT03/handmade/anton/UNSAT/SGI_30_70_22_70_7-dir.shuffled-as.sat03-154.cnf",660,56654,638,55994,0.0345,0.0118,0.0114,0.4902,1.0131,0,0.8433,0.0045,1.8073,0.0031,0.0909,0.1452,0.9718,0.9718,0.0045,0.1706,0.0028,0.007,4.2935,0.3685,0.0939,0.1359,0.59,2.9916,0.0022,0.4319,7e-04,0.0051,4.6571,0.7131,0.0091,0.1915,0.0046,0.0114,0.0206,0.645,0.0128,0.0694,0.8158,0.1766,0.2851,0.0435,0.3333,0.7701,5000,5000,5000,5000,5000,5000,5000,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0.36,0.01,0.01,60.01,"CryptoMiniSat_Strange.Night2.st_fixed_"
"./SAT03/handmade/anton/UNSAT/SGI_30_70_26_40_6-dir.shuffled-as.sat03-163.cnf",780,66810,754,66030,0.0345,0.0118,0.0114,0.4897,1.0161,0,0.8223,0.0037,1.9114,0.0027,0.0769,0.1369,0.9756,0.9756,0.0037,0.199,0.0021,0.0058,4.5707,0.3938,0.0811,0.1948,0.5629,3.1332,0.0019,0.4367,7e-04,0.0044,4.6273,0.7118,0.0114,0,0.0114,0.0114,0.0206,0.645,0.0128,0.0694,0.8158,0.1766,0.2851,0.0435,0.3333,0.7701,5000,5000,5000,5000,5000,5000,5000,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0.43,0.01,0.02,60.01,"clasp_2.0.R4092.crafted"
"./SAT03/handmade/anton/UNSAT/SGI_30_70_26_60_1-dir.shuffled-as.sat03-167.cnf",780,65612,754,64832,0.0345,0.012,0.0116,0.4865,1.0202,0,0.8673,0.004,1.891,0.0027,0.0769,0.1686,0.966,0.966,0.004,0.1358,0.0028,0.0062,4.1532,0.2823,0.0682,0.1489,0.4545,2.9436,0.0019,0.3804,6e-04,0.004,4.5603,0.7289,0.0094,0.0741,0.0079,0.0116,0.0206,0.645,0.0128,0.0694,0.8158,0.1766,0.2851,0.0435,0.3333,0.7701,5000,5000,5000,5000,5000,5000,5000,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0.58,0.01,0.03,60.01,"clasp_2.0.R4092.crafted"
"./SAT03/handmade/anton/UNSAT/SGI_30_70_27_50_3-dir.shuffled-as.sat03-169.cnf",810,68270,783,67460,0.0345,0.012,0.0116,0.4927,1.0105,0,0.8136,0.0034,1.9099,0.0026,0.0741,0.1182,0.9798,0.9798,0.0034,0.1887,0.0021,0.0057,4.3862,0.4523,0.0719,0.2845,0.5939,3.1132,0.0019,0.4136,6e-04,0.0042,4.7054,0.7508,0.0116,0,0.0116,0.0116,0.0206,0.645,0.0128,0.0694,0.8158,0.1766,0.2851,0.0435,0.3333,0.7701,5000,5000,5000,5000,5000,5000,5000,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0.37,0.01,0.02,60.01,"clasp_2.0.R4092.crafted"
"./SAT03/handmade/anton/UNSAT/SGI_30_70_29_50_3-dir.shuffled-as.sat03-179.cnf",870,73400,841,72530,0.0345,0.012,0.0116,0.4914,1.0092,0,0.8655,0.0036,1.8499,0.0024,0.069,0.1647,0.9662,0.9662,0.0036,0.1868,0.0021,0.0057,4.4708,0.2957,0.074,0.1061,0.4774,3.0575,0.0016,0.4467,5e-04,0.0039,4.835,0.6839,0.0077,0.1384,0.0063,0.0116,0.0206,0.645,0.0128,0.0694,0.8158,0.1766,0.2851,0.0435,0.3333,0.7701,5000,5000,5000,5000,5000,5000,5000,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0.65,0.01,0.03,60.01,"clasp_2.0.R4092.crafted"
"./SAT03/handmade/anton/UNSAT/SGI_30_80_17_90_7-log.shuffled-as.sat03-190.cnf",85,29282,85,29282,0,0,0.0029,0.2457,0.8047,0,1.3505,0.1176,0.017,0.0588,0.1176,0.009,0,0,0.1176,0.0569,0.1017,0.1301,1.318,0.0632,0.027,0.0163,0.0919,1.6542,0.0011,0.2366,4e-04,0.0018,2.3439,0.0097,0.0029,0,0.0029,0.0029,0.0206,0.645,0.0128,0.0694,0.8158,0.1766,0.2851,0.0435,0.3333,0.7701,5000,5000,5000,5000,5000,5000,5000,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0.12,0.01,0.02,62.83,"CryptoMiniSat_Strange.Night2.st_fixed_"
"./SAT03/handmade/anton/UNSAT/SGI_30_80_28_70_8-dir.shuffled-as.sat03-215.cnf",840,72688,812,71848,0.0345,0.0117,0.0113,0.4914,1.0135,0,0.8062,0.0033,1.9141,0.0025,0.0714,0.1175,0.9797,0.9797,0.0033,0.1862,0.0022,0.0055,4.3094,0.4433,0.1013,0.2574,0.6211,2.8978,0.0018,0.415,6e-04,0.0044,4.6747,0.7483,0.0113,0,0.0113,0.0113,0.0206,0.645,0.0128,0.0694,0.8158,0.1766,0.2851,0.0435,0.3333,0.7701,5000,5000,5000,5000,5000,5000,5000,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0.37,0.01,0.05,60.01,"CryptoMiniSat_Strange.Night2.st_fixed_"
