"id","nvarsOrig","nclausesOrig","nvars","nclauses","reducedVars","reducedClauses","Pre.featuretime","vars.clauses.ratio","POSNEG.RATIO.CLAUSE.mean","POSNEG.RATIO.CLAUSE.coeff.variation","POSNEG.RATIO.CLAUSE.entropy","VCG.CLAUSE.mean","VCG.CLAUSE.coeff.variation","VCG.CLAUSE.min","VCG.CLAUSE.max","VCG.CLAUSE.entropy","BINARY.","TRINARY.","Basic.featuretime","VCG.VAR.mean","VCG.VAR.coeff.variation","VCG.VAR.min","VCG.VAR.max","VCG.VAR.entropy","POSNEG.RATIO.VAR.mean","POSNEG.RATIO.VAR.stdev","POSNEG.RATIO.VAR.min","POSNEG.RATIO.VAR.max","POSNEG.RATIO.VAR.entropy","HORNY.VAR.mean","HORNY.VAR.coeff.variation","HORNY.VAR.min","HORNY.VAR.max","HORNY.VAR.entropy","horn.clauses.fraction","VG.mean","VG.coeff.variation","VG.min","VG.max","KLB.featuretime","CG.mean","CG.coeff.variation","CG.min","CG.max","CG.entropy","cluster.coeff.mean","cluster.coeff.coeff.variation","cluster.coeff.min","cluster.coeff.max","cluster.coeff.entropy","CG.featuretime","ADS.cryptominisat","ADS.cryptominisat.autotune","ADS.dccaSatToRiss","ADS.glucose.adapt","ADS.glucose.community.switching","BreakIDGlucose2","CCAglucose2015","GlueMiniSat_2.2.10","GlueMiniSat_2.2.10.5","Nigma.1.2.86","glucose.default","glueminisat.Actmini","multi.sat.g2_0","multi.sat.g2_2","ratselfax_cnf_215_final","riss_505_1","riss_505_2","satUZK.seq","ADS.cryptominisat_success","ADS.cryptominisat.autotune_success","ADS.dccaSatToRiss_success","ADS.glucose.adapt_success","ADS.glucose.community.switching_success","BreakIDGlucose2_success","CCAglucose2015_success","GlueMiniSat_2.2.10_success","GlueMiniSat_2.2.10.5_success","Nigma.1.2.86_success","glucose.default_success","glueminisat.Actmini_success","multi.sat.g2_0_success","multi.sat.g2_2_success","ratselfax_cnf_215_final_success","riss_505_1_success","riss_505_2_success","satUZK.seq_success","Class"
"008-80-8.cnf",13408,478484,12698,306923,0.055914,0.558971,0.6,0.041372,0.375423,0.589521,2.190098,0.000453,0.201317,0.000158,0.001575,1.444261,0.001111,0.03814,0.02,0.000453,0.440466,5.2e-05,0.000883,3.726415,0.117434,0.068549,0,0.672727,2.815588,7.4e-05,0.497857,3e-06,0.000189,3.286863,0.193573,6.4e-05,0.418565,1.6e-05,0.000137,0.24,-1,0,-1,0,-512,-1,0,-1,0,0,20.02,307.748,386.32,3541.28,995.87,1605.01,648.941,1275.24,1122.1,1124.14,755.47,667.466,475.988,1084.22,581.337,3600,1342.6,768.257,3600,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","Lingeling_sr15bal"
"009-23-64.cnf",4288,132576,3571,73596,0.200784,0.801402,0.14,0.048522,0.370493,0.607362,2.176452,0.001591,0.218628,0.00056,0.00196,1.49784,0.004878,0.070602,0.02,0.001591,0.49918,8.2e-05,0.003628,4.171619,0.131231,0.083645,0,0.672727,3.102403,0.000267,0.507218,2.7e-05,0.000761,3.266572,0.204223,0.000227,0.434511,6.8e-05,0.000476,0.02,-1,0,-1,0,-512,-1,0,-1,0,0,20.02,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,2874.99,3600,3600,3600,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","or.tools"
"009-80-4.cnf",13408,478480,12702,307263,0.055582,0.557233,0.66,0.041339,0.375429,0.589395,2.190147,0.000453,0.201279,0.000157,0.001575,1.44391,0.001094,0.037948,0.02,0.000453,0.439967,5.2e-05,0.000882,3.718191,0.117464,0.068569,0,0.672727,2.814753,7.4e-05,0.497492,3e-06,0.000189,3.280216,0.193551,6.4e-05,0.419412,1.6e-05,0.00014,0.3,-1,0,-1,0,-512,-1,0,-1,0,0,20.02,157.636,260.051,2935.61,278.009,1505.75,316.697,907.172,471.173,442.815,132.443,317.813,125.222,173.544,172.177,3600,514.582,643.114,503.426,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","Lingeling_sr15baq"
"009-80-8.cnf",13408,478484,12701,307256,0.055665,0.557281,0.64,0.041337,0.375397,0.589364,2.189576,0.000453,0.201166,0.000157,0.001338,1.443282,0.001107,0.038011,0.04,0.000453,0.43984,5.2e-05,0.000882,3.714765,0.117448,0.068598,0,0.672727,2.814633,7.4e-05,0.497023,7e-06,0.000189,3.279493,0.193571,6.3e-05,0.416978,1.6e-05,0.000107,0.28,-1,0,-1,0,-512,-1,0,-1,0,0,20.02,242.155,421.74,3169.93,909.785,2140.83,1001.94,1083.34,1087.84,1114.37,783.997,1000.01,742.766,576.521,251.455,3600,930.923,1220.68,3600,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","Lingeling_sr15bal"
"010-22-144.cnf",4128,126564,3267,60949,0.263545,1.076556,0.14,0.053602,0.373284,0.613987,2.184193,0.001698,0.229889,0.000612,0.002143,1.543789,0.007022,0.087368,0,0.001698,0.573079,0.000115,0.004249,4.410164,0.129488,0.087504,0,0.672727,3.219694,0.000305,0.522844,1.6e-05,0.000886,3.308465,0.218937,0.00026,0.452984,8.2e-05,0.000541,0.02,-1,0,-1,0,-512,-1,0,-1,0,0,20.02,3600,2693.37,3600,888.431,3600,3600,3600,2878.63,3600,3600,3600,3600,3600,3600,3600,314.169,3600,3600,"FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","or.tools"
"010-23-80.cnf",4288,132592,3532,70830,0.214043,0.871975,0.14,0.049866,0.372051,0.609493,2.179991,0.001596,0.220658,0.000566,0.001982,1.509649,0.0048,0.074827,0,0.001596,0.512824,8.5e-05,0.00377,4.317149,0.130017,0.084543,0,0.672727,3.148631,0.000276,0.510024,2.8e-05,0.000734,3.301809,0.209403,0.000232,0.436147,7.1e-05,0.000466,0.04,-1,0,-1,0,-512,-1,0,-1,0,0,20.02,3600,3600,3600,3600,3600,3600,3600,2166.7,3600,3600,3600,3600,3600,3600,3600,3357.41,3600,3600,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","newJointClass"
"010-80-12.cnf",13408,478488,12706,307415,0.055249,0.556489,0.64,0.041332,0.375395,0.589479,2.190128,0.000453,0.201261,0.000157,0.001338,1.444064,0.001178,0.038046,0.04,0.000453,0.440026,3.9e-05,0.000882,3.71838,0.117458,0.068513,0,0.672727,2.814855,7.4e-05,0.497368,3e-06,0.000189,3.279882,0.193575,6.4e-05,0.419148,1.6e-05,0.000124,0.28,-1,0,-1,0,-512,-1,0,-1,0,0,20.02,941.822,887.317,3600,1066.18,2684.41,1142.74,1658.63,1655.5,1662.4,894.172,1183.14,1788.53,1260.36,2256.05,3600,1103.08,2039.03,2848.3,"TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","COMiniSatPS_Subdwarf"
"10pipe_q0_k.cnf",77639,2082017,46760,2015434,0.660372,0.033037,4.36,0.023201,0.874156,0.353557,0.755776,6.9e-05,2.629748,4.3e-05,0.005624,0.542012,0.915094,0.928225,0.14,6.9e-05,3.273243,3e-06,0.006132,4.980205,0.485141,0.332453,0,0.978339,3.944913,4e-05,2.526249,0,0.001635,4.814041,0.927887,0.000115,2.166107,3e-06,0.004702,3.4,-1,0,-1,0,-512,-1,0,-1,0,0,21.78,173.942,504.957,3600,2492.02,122.289,265.151,724.784,188.497,190.47,3600,303.116,184.047,2906.52,535.051,3600,190.883,200.247,3600,"TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","newJointClass"
"11pipe_k.cnf",89315,5584003,79604,5548259,0.121991,0.006442,24.18,0.014348,0.939246,0.242617,0.41604,3.6e-05,2.970654,2.5e-05,0.003706,0.254165,0.967924,0.971648,0.4,3.6e-05,6.636064,1e-06,0.007762,5.232508,0.569973,0.28279,0,1,4.226605,2.4e-05,6.463624,0,0.005048,4.954115,0.971555,5.4e-05,4.060701,1e-06,0.006433,9.72,0,0,0,0,-512,0,0,0,0,0,20.58,939.585,702.73,3600,3600,690.24,1836.49,2135.98,873.289,875.84,3600,1836.38,1210.66,3600,2353.8,3600,1095.16,1396.58,3600,"TRUE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","Lingeling_sr15bal"
"13pipe_q0_k.cnf",176066,5761591,100858,5603534,0.745682,0.028207,13.42,0.017999,0.897949,0.312085,0.656808,3.2e-05,3.110023,2e-05,0.003976,0.47977,0.925306,0.936539,0.4,3.2e-05,3.88835,1e-06,0.00411,5.079427,0.509769,0.350061,0,0.9875,3.825304,1.9e-05,2.999947,0,0.001114,4.9288,0.935852,5.3e-05,2.535993,1e-06,0.003298,14.8,-1,0,-1,0,-512,-1,0,-1,0,0,21.78,1064.84,699.121,3600,1303.71,903.477,1459.03,2174.27,1002.78,1011.81,2901.49,2273.82,985.767,2345.84,1954.74,3600,817.947,909.346,3600,"TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","Lingeling_sr15baq"
"38bits_10.dimacs.cnf",448,12700,448,12700,0,0,0,0.035276,0.326502,0.694315,2.588577,0.0161,0.292955,0.004464,0.040179,2.099954,0.006693,0.050079,0,0.0161,1.165392,0.000709,0.080945,5.211916,0.093763,0.107243,0,0.785714,3.105172,0.0012,0.588438,7.9e-05,0.00378,3.359375,0.103701,0.002603,0.40679,0.000315,0.005354,0.02,-1,0,-1,0,-512,-1,0,-1,0,0,20.02,5.21994,5.37042,1056.35,30.7425,0.9026,28.5193,520.469,31.5079,34.9287,302.546,29.2453,38.5087,7.64871,6.9236,173.963,2.5347,48.7817,11.3869,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","newJointClass"
"40bits_10.dimacs.cnf",446,12980,446,12980,0,0,0.02,0.034361,0.325051,0.694805,2.587668,0.016224,0.287485,0.004484,0.042601,2.088379,0.005624,0.046533,0,0.016224,1.134492,0.000693,0.079199,5.20226,0.103594,0.119541,0,0.785714,3.198443,0.001151,0.603405,7.7e-05,0.003698,3.346724,0.098844,0.002546,0.409844,0.000462,0.005239,0,-1,0,-1,0,-512,-1,0,-1,0,0,20.04,26.2189,29.7884,1087.83,18.684,1.9058,38.2508,533.851,10.2395,9.81008,326.317,35.5695,13.442,19.6033,13.891,453.44,11.1141,56.5751,5.56992,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","Lingeling_sr15baq"
"42bits_12.dimacs.cnf",538,14509,538,14509,0,0,0.02,0.03708,0.328695,0.695605,2.582675,0.013199,0.295389,0.003717,0.037175,2.099064,0.006961,0.050245,0,0.013199,1.183408,0.000689,0.070853,5.210225,0.096719,0.111241,0,0.8125,3.139222,0.000992,0.591719,6.9e-05,0.003033,3.294266,0.104418,0.002264,0.410677,0.000414,0.004756,0.02,-1,0,-1,0,-512,-1,0,-1,0,0,20.02,165.813,64.7277,1079.95,91.9477,136.699,89.0736,556.596,35.3445,34.5231,317.171,88.7024,136.473,126.288,75.8746,1289.79,125.176,58.0916,177.164,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","newJointClass"
"44bits_11.dimacs.cnf",609,15417,609,15417,0,0,0.02,0.039502,0.332837,0.68922,2.578391,0.011497,0.301856,0.003284,0.034483,2.105694,0.00733,0.052929,0,0.011497,1.269805,0.000649,0.070117,5.042724,0.08939,0.103253,0,0.8,3.05968,0.00096,0.60631,0.000195,0.003308,3.320044,0.114743,0.002104,0.425231,0.000389,0.0048,0.02,-1,0,-1,0,-512,-1,0,-1,0,0,20.06,95.1489,163.391,1427.27,114.832,414.563,487.793,637.432,86.1775,82.9106,461.092,528.146,29.5307,211.745,270.085,3178.98,244.935,292.107,363.237,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","newJointClass"
"46bits_11.dimacs.cnf",689,16922,689,16922,0,0,0.02,0.040716,0.33789,0.67891,2.575809,0.010078,0.304212,0.002903,0.03193,2.107786,0.006914,0.055135,0,0.010078,1.238947,0.000532,0.063881,5.160659,0.086172,0.101913,0,0.793103,3.029594,0.000852,0.596657,0.000177,0.002955,3.284871,0.115589,0.001971,0.415856,0.000355,0.004314,0.02,-1,0,-1,0,-512,-1,0,-1,0,0,20.06,956.228,718.014,1099.64,70.7778,342.102,393.276,801.415,652.596,614.953,1029.13,414.206,497.58,637.837,412.788,3600,203.713,304.034,844.582,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","COMiniSatPS_Subdwarf"
"46bits_12.dimacs.cnf",697,17080,697,17080,0,0,0.02,0.040808,0.337537,0.680843,2.574136,0.009949,0.304359,0.002869,0.031564,2.106092,0.007494,0.054859,0,0.009949,1.2376,0.000527,0.06329,5.165745,0.086698,0.10318,0,0.806452,3.049958,0.000822,0.598959,0.000176,0.002986,3.257578,0.113232,0.001954,0.416319,0.000351,0.004274,0.02,-1,0,-1,0,-512,-1,0,-1,0,0,20.1,205.944,112.376,1252.07,180.638,242.453,278.689,664.976,184.696,181.877,604.64,258.675,70.2128,235.231,80.5607,3188.78,227.762,260.625,410.633,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","COMiniSatPS_Main_Sequence"
"46bits_14.dimacs.cnf",690,16938,690,16938,0,0,0.02,0.040737,0.338938,0.676713,2.576477,0.01007,0.303927,0.002899,0.031884,2.107389,0.006908,0.055319,0,0.01007,1.238833,0.000531,0.063821,5.177148,0.087181,0.10473,0,0.785714,3.038781,0.000849,0.604958,0.000177,0.002893,3.288048,0.115185,0.001964,0.419197,0.000354,0.00431,0.02,-1,0,-1,0,-512,-1,0,-1,0,0,20.1,382.721,195.062,1611.97,60.0738,935.613,53.1525,646.235,1038.46,992.292,1135.88,56.3898,389.645,367.231,99.9485,3600,1112.81,1313.09,1096.66,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","newJointClass"
"48bits_11.dimacs.cnf",687,18258,687,18258,0,0,0.02,0.037627,0.331463,0.686297,2.58271,0.010343,0.299137,0.002911,0.033479,2.10275,0.006025,0.04765,0,0.010343,1.246321,0.000548,0.059207,5.154577,0.088702,0.106281,0,0.793103,3.055292,0.000796,0.610226,0.000164,0.002739,3.300165,0.106255,0.00186,0.412125,0.000329,0.004108,0.02,-1,0,-1,0,-512,-1,0,-1,0,0,20.08,898.058,559.134,1303.44,44.9041,360.444,68.1905,721.823,1303.54,1293.24,402.087,67.0355,523.167,1544.13,336.012,3600,38.1993,163.015,3226.73,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","newJointClass"
"48bits_12.dimacs.cnf",685,18047,685,18047,0,0,0.04,0.037956,0.335121,0.683407,2.586073,0.010342,0.298923,0.00292,0.033577,2.10039,0.005874,0.048706,0,0.010342,1.24406,0.000554,0.059899,5.222931,0.085657,0.104197,0,0.785714,3.033849,0.000826,0.639796,0.000166,0.002937,3.338533,0.109436,0.001864,0.417898,0.000332,0.004156,0,-1,0,-1,0,-512,-1,0,-1,0,0,20.08,289.935,1883.46,1503.44,475.491,1975.29,1623.36,3177.88,791.614,713.492,3600,1480.76,1507.94,1820.18,2195.3,3600,1655.44,3216.56,2499.72,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","newJointClass"
