"id","f_1","f_2","f_3","f_4","f_5","f_6","f_7","f_8","f_9","f_10","f_11","f_12","f_13","f_14","f_15","f_16","f_17","f_18","f_19","f_20","f_21","f_22","f_23","f_24","f_25","f_29","f_30","f_31","f_32","f_33","f_34","f_35","f_36","f_37","CCEHC2akms","CCLS2akms","Naps.1.02.ms","WMaxSatz.","WMaxSatz09","WPM3.2015.co","ahms.1.70","ahms.ls.1.70","maxino16.dis","CCEHC2akms_success","CCLS2akms_success","Naps.1.02.ms_success","WMaxSatz._success","WMaxSatz09_success","WPM3.2015.co_success","ahms.1.70_success","ahms.ls.1.70_success","maxino16.dis_success","base","Class"
"1502.wcsp.log.wcnf",311,534,0.39139,426.79425,708.56213,1,2000,0.5824,0.00912,0.63859,0.00187,0.02809,0.02622,0.00912,0.47866,0.00322,0.01929,0.01608,0.5063,0.39244,0,0.88889,0.88889,0.44719,0.88893,0.20037,0.47566,0.58614,0.00187,0,0.00187,0.00187,0,0.39139,0.55,0.51,1.57,1800,1800,0,0.87,0.25,0,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0,"Open.WBO16"
"1504.wcsp.dir.wcnf",1577,6917,0.08747,471.97354,752.11377,1,2000,0.22799,0.00135,0.8343,0.00014,0.00998,0.00983,0.00135,0.29058,0.00063,0.00254,0.0019,0.32728,0.92528,0,1,1,0.23695,1.54214,0.08747,0.82565,0.95316,0.00111,0,0,0.00998,0.00998,0.85254,1800,1800,54.85,1800,1800,1.53,1800,1800,2.08,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0,"mscg2015b"
"1504.wcsp.log.wcnf",929,6593,0.09176,471.97354,752.11377,1,2000,0.14091,0.00391,0.61657,0.00015,0.01062,0.01047,0.00391,0.33025,0.00108,0.00646,0.00538,0.6903,0.27845,0,0.98551,0.98551,0.6615,0.44347,0.04262,0.19475,0.36038,0.00015,0,0.00015,0.00015,0,0.09176,1800,1800,117.1,1800,1800,11.58,1800,1800,3.73,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0.01,"mscg2015a"
"1506.wcsp.dir.wcnf",2620,25308,0.03714,556.17871,823.34717,1,2000,0.10352,0.00084,0.98189,4e-05,0.00838,0.00834,0.00084,0.23931,0.00038,0.00153,0.00115,0.27751,1.15365,0,1,1,0.19117,1.62148,0.03714,0.7892,0.97787,0.00075,0,0,0.00834,0.00834,0.91461,1800,1800,1800,1800,1800,847.14,1800,1800,1800,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.02,"QMaxSAT14"
"1506.wcsp.log.wcnf",1500,24748,0.03798,556.17871,823.34717,1,2000,0.06061,0.00262,0.69127,4e-05,0.01382,0.01378,0.00262,0.27962,0.00067,0.004,0.00333,0.71041,0.26332,0,0.99242,0.99242,0.68715,0.35333,0.01535,0.0956,0.27788,4e-05,0,4e-05,4e-05,0,0.03798,1800,1800,1800,1800,1800,1800,1800,1800,1800,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.03,"QMaxSAT14"
"1aabfc32-d491-11df-9a24-00163e3d3b7c_l2.wcnf",11827,68299,0.11297,3116.11304,11625.45117,4,392344,0.17317,0.00022,5.43743,1e-05,0.0752,0.07518,0.00022,0.47129,8e-05,0.00786,0.00778,0.42418,0.52459,0.01351,1,0.98649,0.52256,0.54807,0.15769,0.459,0.87309,6e-05,0,1e-05,0.0048,0.00479,0.45807,1800,1800,1800,1800,1800,23.09,1800,1800,6.31,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0.07,"LMHS.2016"
"26f3d4cc-d470-11df-9e6c-00163e3d3b7c_l2.wcnf",11302,63379,0.11403,2868.34326,10323.33984,4,255300,0.17832,0.00021,5.48971,2e-05,0.07626,0.07624,0.00022,0.45444,9e-05,0.00779,0.0077,0.42363,0.51259,0.01724,1,0.98276,0.51783,0.53561,0.1621,0.48401,0.95028,7e-05,0,2e-05,0.00677,0.00675,0.4833,1800,1800,1800,1800,1800,21.8,1800,1800,4.24,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0.07,"maxhs.b"
"28.wcsp.dir.wcnf",404,7180,0.03203,1418.07825,732.72321,1,2000,0.05627,0.00511,0.73664,0.00014,0.01643,0.0163,0.00511,0.18247,0.00248,0.0099,0.00743,0.47385,0.90442,0,1,1,0.45046,0.80401,0.03203,0.90975,0.99192,0.00362,0,0,0.01128,0.01128,0.7461,1800,1800,572.7,1800,1800,356.53,1800,1800,1800,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,"newJointClass"
"28.wcsp.log.wcnf",288,7122,0.03229,1418.07825,732.72321,1,2000,0.04044,0.01083,0.69093,0.00014,0.02598,0.02584,0.01083,0.25086,0.00347,0.01736,0.01389,0.80344,0.26081,0,0.99153,0.99153,0.75107,0.31765,0.02415,0.20121,0.65838,0.00014,0,0.00014,0.00014,0,0.03229,1800,1800,1184.47,1800,1800,1800,1800,1800,1800,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.01,"newJointClass"
"29.wcsp.dir.wcnf",139,711,0.11533,245.01219,428.80453,1,1000,0.1955,0.01394,0.72693,0.00141,0.03938,0.03797,0.01394,0.24112,0.00719,0.02878,0.02158,0.47521,0.79508,0,1,1,0.38889,1.01704,0.11533,0.97328,0.97328,0.0103,1.01721,0,0.03516,0.03516,0.77356,0.42,0.44,0.13,0.04,0.04,0.02,1.16,0.04,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,"maxino16.c10"
"29.wcsp.log.wcnf",101,692,0.1185,245.01219,428.80453,1,1000,0.14595,0.02899,0.9279,0.00145,0.09682,0.09538,0.02899,0.33011,0.0099,0.0396,0.0297,0.67766,0.40989,0,0.96429,0.96429,0.69075,0.47016,0.09104,0.3237,0.65751,0.00145,0,0.00145,0.00145,0,0.1185,1.88,1.76,0.1,0.09,0.09,0.02,0.29,0.06,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,"Open.WBO16"
"29180036-5408-11df-9f57-00163e7a6f5e_l1.wcnf",4531,25216,0.10093,2512.89233,7112.23389,8,85972,0.17969,5e-04,3.73835,8e-05,0.07384,0.07376,5e-04,0.42602,0.00022,0.01104,0.01081,0.48718,0.39332,0.02326,1,0.97674,0.56048,0.47979,0.19349,0.59014,0.98386,0.00021,0,4e-05,0.0144,0.01436,0.56409,1800,1800,1800,1800,1800,3.3,1800,1800,0.44,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0.02,"maxhs.b"
"29180036-5408-11df-9f57-00163e7a6f5e_l2.wcnf",4545,26734,0.09531,2510.13306,7108.49463,8,85972,0.17001,0.00048,3.63999,7e-05,0.06969,0.06961,0.00048,0.44673,0.00022,0.011,0.01078,0.54179,0.3878,0.02326,1,0.97674,0.58485,0.47913,0.23842,0.61289,0.98474,0.00021,0,4e-05,0.01358,0.01354,0.58828,1800,1800,1800,1800,1800,3.13,1800,1800,0.44,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0.02,"maxhs.b"
"2c3aece6-c8b2-11df-a040-00163e3d3b7c_l1.wcnf",11237,67515,0.10753,2790.03735,10067.46387,4,255320,0.16644,0.00023,5.63906,3e-05,0.07169,0.07166,0.00023,0.48929,9e-05,0.00632,0.00623,0.46377,0.43306,0.025,1,0.975,0.55091,0.57051,0.18544,0.50891,0.74034,7e-05,0,1e-05,0.00946,0.00945,0.47641,1800,1800,1800,1800,1800,16.98,1800,1800,3.06,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0.07,"maxhs.b"
"2c3aece6-c8b2-11df-a040-00163e3d3b7c_l2.wcnf",14193,84489,0.09892,2801.81152,9874.93555,4,255320,0.16799,0.00018,5.96626,2e-05,0.06603,0.06601,0.00018,0.50005,7e-05,0.00634,0.00627,0.4991,0.42135,0.02381,1,0.97619,0.56353,0.56897,0.20558,0.49959,0.74407,5e-05,0,1e-05,0.00759,0.00757,0.47064,1800,1800,1800,1800,1800,17.63,1800,1800,3.84,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0.09,"maxhs.b"
"3e4f8550-0b33-11df-942d-00163e1d94dc_l1.wcnf",1243,6248,0.16133,1860.23914,6999.61133,12,80864,0.19894,0.00193,1.71078,0.00032,0.07298,0.07266,0.00193,0.66555,8e-04,0.03781,0.03701,0.40382,0.60788,0.025,0.99781,0.97281,0.38519,0.79298,0.16293,0.73031,0.7985,0.00104,0,0,0.07282,0.07282,0.73031,171,1800,781.94,370.81,375.43,0.89,5.29,5.06,0.16,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,"maxino16.c10"
"3e4f8550-0b33-11df-942d-00163e1d94dc_l2.wcnf",1243,6248,0.16133,1860.23914,6999.61133,12,80864,0.19894,0.00193,1.71078,0.00032,0.07298,0.07266,0.00193,0.66555,8e-04,0.03781,0.03701,0.40382,0.60788,0.025,0.99781,0.97281,0.38519,0.79298,0.16293,0.73031,0.7985,0.00104,0,0,0.07282,0.07282,0.73031,167.67,1800,749.93,374.05,376.22,0.9,5.01,4.98,0.16,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,"maxino16.c10"
"404.wcsp.dir.wcnf",187,1066,0.09381,1.63,0.4828,1,2,0.17542,0.01057,0.74596,0.00188,0.03002,0.02814,0.01057,0.23665,0.00535,0.02139,0.01604,0.48794,0.73003,0.04167,0.96875,0.92708,0.5272,0.70087,0.09381,0.95591,0.9728,0.00687,0.7976,0.00094,0.02158,0.02064,0.68949,1800,1800,0.21,1800,1800,0.03,992.37,419.99,0.01,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0,"Open.WBO16"
"404.wcsp.log.wcnf",129,1037,0.09643,1.63,0.4828,1,2,0.1244,0.02118,0.61305,0.00289,0.05593,0.05304,0.02118,0.30063,0.00775,0.03101,0.02326,0.79148,0.19216,0.5,0.96875,0.46875,0.76631,0.40469,0.06847,0.3703,0.82932,0.00096,0,0.00096,0.00096,0,0.09643,871.57,860.62,0.19,1800,1800,0.03,1311.29,1278.29,0.01,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0,"maxino16.c10"
"408.wcsp.dir.wcnf",392,3213,0.06225,46.55,206.96817,1,1000,0.122,0.00535,0.77998,0.00031,0.02085,0.02054,0.00535,0.23979,0.00255,0.0102,0.00765,0.4593,0.83645,0,0.98507,0.98507,0.52013,0.66359,0.06225,0.85901,0.98008,0.00355,0,0.00031,0.0112,0.01089,0.69312,1800,1800,7.13,1800,1800,0.17,1800,1800,0.09,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0,"mscg2015a"
"408.wcsp.log.wcnf",264,3149,0.06351,46.55,206.96817,1,1000,0.08384,0.01135,0.60881,0.00032,0.02953,0.02922,0.01135,0.32067,0.00379,0.02273,0.01894,0.80488,0.2175,0,0.98507,0.98507,0.77795,0.34873,0.04319,0.30105,0.73071,0.00032,0,0.00032,0.00032,0,0.06351,1800,1800,3.85,1800,1800,8.17,1800,1800,0.09,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0,"mscg2015b"
"412.wcsp.dir.wcnf",666,7396,0.04056,161.61,365.90497,1,1000,0.09005,0.00307,0.77481,0.00027,0.01176,0.01149,0.00307,0.19383,0.0015,0.00601,0.0045,0.3866,0.98987,0.01639,0.98851,0.97211,0.41315,0.84543,0.04056,0.93091,0.9835,0.00241,0,0.00014,0.00811,0.00798,0.80706,1800,1800,13.31,1800,1800,0.6,1800,1800,0.17,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0,"mscg2015a"
"412.wcsp.log.wcnf",422,7274,0.04124,161.61,365.90497,1,1000,0.05801,0.00751,0.58752,0.00055,0.02021,0.01966,0.00751,0.26348,0.00237,0.01422,0.01185,0.79135,0.20753,0.34426,0.98851,0.64424,0.76402,0.33748,0.02447,0.19673,0.64215,0.00014,0,0.00014,0.00014,0,0.04124,1800,1800,18.43,1800,1800,5.94,1800,1800,0.12,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0.01,"mscg2015a"
"414.wcsp.dir.wcnf",856,14703,0.02476,166.47803,370.30386,1,1000,0.05822,0.00271,1.31908,0.00014,0.01884,0.0187,0.00271,0.23187,0.00117,0.00467,0.0035,0.35609,1.05795,0.00361,0.99614,0.99253,0.33442,0.95768,0.02476,0.66789,0.98885,0.0023,1.40699,7e-05,0.01857,0.0185,0.8569,1800,1800,23.51,1800,1800,0.78,1800,1800,0.18,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0.01,"mscg2015a"
"414.wcsp.log.wcnf",528,14539,0.02504,166.47803,370.30386,1,1000,0.03632,0.00729,0.84277,0.00014,0.02387,0.02373,0.00729,0.31301,0.00189,0.01136,0.00947,0.78179,0.267,0.12186,0.99614,0.87428,0.7481,0.29139,0.01376,0.11363,0.4252,7e-05,0,7e-05,7e-05,0,0.02504,1800,1800,17.45,1800,1800,24.47,1800,1800,0.2,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0.02,"newJointClass"
"42.wcsp.dir.wcnf",361,2073,0.09165,1384.82629,763.05884,1,2000,0.17414,0.00552,0.79384,0.00048,0.02219,0.02171,0.00552,0.24178,0.00277,0.01108,0.00831,0.43566,0.81433,0,1,1,0.32296,1.20854,0.09165,0.94163,0.9725,0.00422,1.01121,0,0.02026,0.02026,0.79788,1800,1800,7.77,1800,1800,0.58,1800,1800,0.47,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0,"newJointClass"
"42.wcsp.log.wcnf",247,2016,0.09425,1384.82629,763.05884,1,2000,0.12252,0.0129,0.87746,5e-04,0.03671,0.03621,0.0129,0.3099,0.00405,0.02024,0.01619,0.71929,0.28117,0,0.97826,0.97826,0.6662,0.44499,0.06597,0.26091,0.50546,5e-04,0,5e-04,5e-04,0,0.09425,1800,1800,13.17,1800,1800,11.47,1800,1800,5.1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0,"maxino16.c10"
"4a69cf16-c731-11df-9182-00163e3d3b7c_l1.wcnf",811,3975,0.16277,1595.8949,3169.17969,20,38308,0.20403,0.00306,1.68008,5e-04,0.12704,0.12654,0.00306,0.45799,0.00123,0.0111,0.00986,0.47499,0.48461,0.04762,0.99802,0.9504,0.43033,0.74242,0.16755,0.62541,0.77082,0.00132,3.3877,0.00025,0.12679,0.12654,0.62063,248.28,1800,1800,1800,1800,0.23,31.25,29.5,0.12,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0,"Open.WBO16"
"4a69cf16-c731-11df-9182-00163e3d3b7c_l2.wcnf",13023,79735,0.1126,3030.32397,11017.91992,4,392344,0.16333,2e-04,4.56163,1e-05,0.07358,0.07357,2e-04,0.4968,8e-05,0.00722,0.00714,0.41826,0.55163,0.01667,1,0.98333,0.51216,0.58398,0.15041,0.52973,0.70211,7e-05,0,1e-05,0.07357,0.07356,0.52949,1800,1800,1800,1800,1800,26.44,1800,1800,11.6,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0.09,"maxino16.c10"
"4ede8d96-c17a-11df-a7c5-00163e3d3b7c_l1.wcnf",598,2772,0.16775,1566.39783,3495.20117,20,31156,0.21573,0.00388,1.56841,0.00072,0.12734,0.12662,0.00388,0.42777,0.00167,0.01338,0.01171,0.45113,0.50953,0.04167,0.99717,0.9555,0.4113,0.74832,0.17208,0.67821,0.86291,0.00195,2.72373,0.00036,0.12698,0.12662,0.66811,278.87,396.03,1800,1800,1800,0.2,3.59,3.52,0.07,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0,"mscg2015a"
"5.wcsp.dir.wcnf",1059,14908,0.02073,1.21683,0.66457,1,5,0.07104,0.00192,0.83805,7e-05,0.01046,0.0104,0.00192,0.16359,0.00094,0.00378,0.00283,0.21646,1.27572,0.00641,1,0.99359,0.06028,3.42977,0.02073,0.95861,0.98323,0.00182,0,0,0.0104,0.0104,0.9617,1800,1800,73.44,1800,1800,22.76,1800,1800,1800,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.01,"QMaxSAT16UC"
"5.wcsp.log.wcnf",559,14658,0.02108,1.21683,0.66457,1,5,0.03814,0.00699,0.63913,7e-05,0.01521,0.01515,0.00699,0.11972,0.00179,0.00894,0.00716,0.6796,0.18912,0,0.99375,0.99375,0.66598,0.37816,0.00403,0.0382,0.07259,7e-05,0,7e-05,7e-05,0,0.02108,1800,1800,378.23,1800,1800,1800,1800,1800,1800,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.02,"QMaxSAT14"
"503.wcsp.dir.wcnf",317,992,0.14415,141.32169,346.25342,1,1000,0.31956,0.0065,0.65136,0.00101,0.03024,0.02923,0.0065,0.32975,0.00315,0.01262,0.00946,0.42777,0.70532,0.05556,1,0.94444,0.39365,0.97762,0.14415,0.85484,0.94153,0.00453,0.80482,0,0.02218,0.02218,0.76109,1800,1800,0.58,1800,1800,0.02,1800,1800,0.01,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0,"Open.WBO16"
"503.wcsp.log.wcnf",201,934,0.1531,141.32169,346.25342,1,1000,0.2152,0.01513,0.52454,0.00214,0.04069,0.03854,0.01513,0.36531,0.00498,0.02985,0.02488,0.7307,0.19601,0.46667,0.96667,0.5,0.67482,0.50994,0.09101,0.31478,0.6349,0.00107,0,0.00107,0.00107,0,0.1531,1800,1800,0.52,1800,1800,0.02,1800,1800,0.01,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0,"Open.WBO16"
"505.wcsp.dir.wcnf",552,3536,0.06787,143.1375,348.11182,1,1000,0.15611,0.00388,0.82538,0.00057,0.02319,0.02262,0.00388,0.26221,0.00181,0.00725,0.00543,0.3871,0.90741,0.0122,0.98361,0.97141,0.3907,0.90323,0.06787,0.82183,0.97059,0.00294,0,0.00028,0.02291,0.02262,0.79468,1800,1800,4.13,1800,1800,0.17,1800,1800,0.07,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0,"mscg2015a"
"505.wcsp.log.wcnf",344,3432,0.06993,143.1375,348.11182,1,1000,0.10023,0.00967,0.57599,0.00058,0.02972,0.02914,0.00967,0.32232,0.00291,0.01744,0.01453,0.76852,0.2235,0.28889,0.98361,0.69472,0.7327,0.37829,0.03963,0.20396,0.57255,0.00029,0,0.00029,0.00029,0,0.06993,1800,1800,5.7,1800,1800,2.52,1800,1800,0.06,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0,"newJointClass"
"507.wcsp.dir.wcnf",704,8280,0.03756,136.74277,341.10745,1,1000,0.08502,0.00323,1.23644,0.00024,0.02754,0.02729,0.00323,0.24293,0.00142,0.00568,0.00426,0.38143,0.98344,0.00439,0.99398,0.98959,0.38412,0.87456,0.03756,0.70725,0.98418,0.00255,1.3489,0.00012,0.02645,0.02633,0.80688,1800,1800,24.9,1800,1800,0.79,1800,1800,0.12,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0.01,"mscg2015a"
"507.wcsp.log.wcnf",442,8149,0.03816,136.74277,341.10745,1,1000,0.05424,0.00821,0.82766,0.00025,0.03387,0.03362,0.00821,0.32985,0.00226,0.01357,0.01131,0.78603,0.25607,0.1685,0.99398,0.82548,0.74919,0.31578,0.02209,0.1599,0.49748,0.00012,0,0.00012,0.00012,0,0.03816,1800,1800,31.61,1800,1800,14.12,1800,1800,0.14,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0.01,"mscg2015a"
"509.wcsp.dir.wcnf",804,12395,0.02808,159.68678,364.07489,1,1000,0.06486,0.00288,1.30955,0.00016,0.02049,0.02033,0.00288,0.23514,0.00124,0.00498,0.00373,0.36657,1.03137,0.00394,0.99576,0.99183,0.35501,0.91536,0.02808,0.67092,0.98774,0.00238,1.40007,8e-05,0.01977,0.01969,0.83824,1800,1800,87.9,1800,1800,0.74,1800,1800,0.17,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0.01,"mscg2015a"
"509.wcsp.log.wcnf",500,12243,0.02842,159.68678,364.07489,1,1000,0.04084,0.00757,0.84654,0.00016,0.02597,0.02581,0.00757,0.31974,0.002,0.012,0.01,0.78545,0.26369,0.13281,0.99576,0.86295,0.75036,0.29602,0.01601,0.12758,0.44973,8e-05,0,8e-05,8e-05,0,0.02842,1800,1800,221.73,1800,1800,1.94,1800,1800,1.39,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0.01,"mscg2015a"
"54.wcsp.dir.wcnf",154,508,0.13189,1.59701,0.4905,1,2,0.30315,0.01317,0.80939,0.00197,0.05315,0.05118,0.01317,0.31378,0.00649,0.02597,0.01948,0.37165,0.79815,0,1,1,0.2815,1.26715,0.13189,0.89764,0.94291,0.01017,1.005,0,0.04528,0.04528,0.84252,0.35,0.33,0.07,0.09,0.11,0.01,3.01,2.29,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,"Open.WBO16"
